국제수지 계정별,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2013. 1/4,2013. 2/4,2013. 3/4,2013. 4/4,2014. 1/4,2014. 2/4,2014. 3/4,2014. 4/4,2015. 1/4,2015. 2/4,2015. 3/4,2015. 4/4,2016. 1/4,2016. 2/4,2016. 3/4,2016. 4/4,2017. 1/4,2017. 2/4,2017. 3/4,2017. 4/4,2018. 1/4,2018. 2/4,2018. 3/4,2018. 4/4,2019. 1/4,2019. 2/4,2019. 3/4,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
경상수지,7189.4,2752.4,2212.5,6740.2,5039.9,9608.2,6824.8,6964.6,6389.3,7847.7,10724,5891.6,6263.7,1837.7,4812.5,6182.8,6875.5,9148.3,7768.8,6198.8,6793.9,7418.7,8604.5,10582.7,6805.4,7076,6136.4,9761.5,7221.6,7958.8,11546.2,9367.2,8119.4,10600.3,9561,9727.7,8042.5,7317.4,7927.5,11122.8,4184.3,10491,12409.7,8831.8,5410.1,7517.5,7476.8,7873.3,7361.5,3401.7,7438.6,5140.3,3184,4262.1,7008.9,7467.4,6139.4,12337.7,6890,7474.3,4486.5,2556.9,3226.7,5210.4,1490.4,8792.3,7980.1,8874.4,8581.2,11235.5,9473.6,5130.6,4914.4,3296.4,3850.3,5039.6,-393.2,5175.5,5665.3,6584.6,4860.7,7759.1,7827.2,5974.8,11705.1,21472.9,21201.6,22879.3,12833,23792.6,20411.4,25992.6,22973.9,26726.6,28086.9,27331.2,26367.7,27085,21759.4,22711.6,15980.6,14455,25944.5,18850.8,10994,18262.8,28691.1,19518.6,12186.3,10447.6,19204.4,48790.6,77258.9,83029.6,105118.6,97923.7,75230.9,77466.5
상품수지,7275.6,3766.1,3077.7,6898.9,5314.8,9172.1,5502.5,7232.6,7012.2,8338.5,9536,7817.1,6590.5,3674.4,5930.7,7450.3,9833.7,8560.9,6088.3,5421.5,6749.3,8012.6,7730.6,9364.2,7328.5,6718.7,6870.5,10495.9,11734.5,8584.8,12773.4,10181.4,8652.3,12026.3,10843.3,10448.6,10945.3,8255,8143.3,13316.3,9893.3,10237.7,12413.1,10486.8,6791,9894.6,8874.9,9453.1,8702.6,6687.5,9432.3,8579.6,10925.8,7675.6,8702.4,9920.7,8647.3,14522.7,9417.9,11165.6,7915.5,7338,4793.3,9216.5,9402.2,10550.2,9413.5,10685.3,10927.6,13105.2,10522.2,7504.9,6627.9,5752.9,5424.4,8338.7,5608.9,5503.1,6269.3,6182.4,4630.9,8698.7,8028.2,7390.9,13742.7,19989.4,22583.3,23943.6,17055.4,24482.9,20183.4,24423.3,24085.1,33092.7,30860,32237.2,29714.6,32544.1,27172.4,27030.6,24699.4,27303.8,33090.7,28499,21347.8,29365.9,34718.1,24655,19516,17381.3,19512,48589.3,80259,86145,120275,116461.7,113592.9,110086.8
일반상품수지,6293.2,2437,2084.5,5842.7,4088.1,7832.2,4282,5909.3,5841.7,7042,8258.6,6682.6,5380,2242.9,4672.4,5950.6,8113.3,6940.1,4694.7,4824,6180,7508.5,7230,8930.4,6774.4,6134.7,6362.3,9865.5,10819.8,7959,12154.7,9733.8,8005,11430.4,10029.7,9754.3,10344.1,7398.4,7427,12203.1,8837.1,9064.5,11273.7,9600.4,5603.5,9082.2,8349,9054,8197.2,5909.8,8765.3,7755.5,10040.5,6706,7717.6,9474.9,8508.6,13453.9,8324.5,9893.6,6404.6,6324.6,4023.2,8317.6,8483.9,9625.9,8564.6,9634.9,9876.1,11784.5,8819.7,6011.3,5201.3,4659.1,4527.6,7249.1,4533.1,4310,5157.2,4888.8,3600.7,7395.6,6645.6,6094.7,10364.2,16202.3,18793,20321.2,12865.9,19748.1,18512.5,22934.8,22362.5,30933.5,29169.2,30128.1,27028.5,29175.3,24286.1,25600.2,22430.6,24464.1,31437.4,24622.7,18665.4,26674.4,31295.5,20032.3,16435.8,14000.3,15885.1,36914.1,65680.7,74061.3,112593.3,106090.1,102954.8,96667.6
비화폐용금수지,85,26.8,73.8,19.6,-11.8,-36.8,-13.9,3.4,-18.7,9.9,-50.6,-15.7,-16.9,-50.7,-6,-10.3,3,5.1,9.5,-57.7,-0.5,-54.2,-47.1,-25,20.7,-24.4,-40.2,-47.3,-21.1,-33,-34.6,-69.3,-25.5,2.1,64.1,-32.2,-14.6,12.8,34.9,31.9,76.9,64.2,46.3,66.7,31.9,11,31,-89.1,-46.9,-12.9,-35,-1.2,-41.3,-17.4,-29.8,-533.8,-786.6,-27.8,-0.4,-8.4,-60.4,-63.4,-23.8,-44.4,-12.2,-37.9,-47.8,-75.6,-97.1,-56.8,-37.4,-2.5,62.5,22.8,102.3,75.3,28.2,-28.6,-0.3,-6.9,-63.5,21.9,-41.2,-20.5,120.2,-62.5,-5.4,-83.2,-67,17.6,-112.4,-51.4,-111.9,-88.7,-92.7,17.3,79.6,187.4,109.6,-105,-49.1,-88.5,-1348.2,-69.2,-131.6,-97.9,-229.5,22.6,200.4,-0.7,-48.5,1587.9,-30.9,-213.2,-276,271.6,-1555,-436.4
서비스수지,-476.5,-1540.2,-1133.2,43.8,513.7,-15.8,193.8,-834.5,-858.9,-315.6,412.3,-2085.6,-708.6,-1720.8,-527.8,-603.6,-213.8,276.4,118.1,413.4,-339.4,-410.1,210.5,87.4,-580.4,-1902.1,-1666.5,-488.6,-824.2,-25,-2094.9,-1500.6,-931.5,-1256.8,-1432.2,-1233.4,-1270,-1808.4,-1053.1,-849.5,-1670.3,-1129.8,-1280.1,-1418,-1453.4,-2545.8,-1771.7,-1703.2,-655.1,-4174.6,-2198.4,-3020.4,-2494.3,-2807.2,-2809.6,-3304.6,-2309,-3002.5,-3602.5,-3303.6,-3707.4,-4654.4,-2723.5,-2314,-1970.1,-1930.4,-2230.8,-2837.4,-2127.7,-2479.1,-2055,-2193.6,-1853.4,-3534.5,-1543,-2100.8,-1269.5,-950.6,-2139.4,-1547.7,-1557.5,-2261.7,-1718.7,-1893.9,-2629.6,691.7,-2009,-2381.9,-2852.2,180.7,-336.1,-282.5,-4057.2,-2944.1,-3688.9,-3935.6,-3711,-4080.2,-5417.2,-4130,-9393.4,-8111.1,-8616.1,-10613.5,-9691.9,-6131.3,-7444.2,-6102,-7178.3,-4359.5,-5366.9,-5057.5,-6328.8,-3290.1,-14625.8,-17338.4,-36734.1,-29369.4
가공서비스수지,-330.2,-493.4,-446.6,-441.8,-456.2,-397.7,-406.6,-597.9,-418.7,-416.1,-445.7,-532.4,-654.8,-687.7,-425.9,-437.8,-496.2,-426.2,-485,-552.3,-416,-424.1,-413.4,-384.3,-495.1,-521.7,-497,-459,-427.7,-450.8,-500.2,-573.1,-430.6,-517.9,-524.1,-567.6,-625.8,-619.5,-421.4,-464.1,-418.4,-446.4,-487,-445.5,-470.4,-500.1,-497.1,-478.5,-513.5,-667.4,-484,-515.2,-557.5,-475.3,-552.9,-576.6,-563.2,-763.8,-492.6,-657.3,-649.2,-742.8,-622.9,-526.6,-544.8,-574,-592.4,-585.5,-638.7,-620.5,-640.6,-642.9,-593.1,-832.8,-450.6,-517,-588.2,-601.6,-614.6,-668.5,-598.6,-557.2,-593.7,-499,-1381.8,-1260.5,-1432.7,-1632.9,-1551.4,-1407.4,-1392.4,-1292.8,-1477.7,-1378.7,-1521.6,-1717.5,-1505,-1351.8,-1416,-1489.1,-1666.6,-1585.7,-1903.6,-1799.1,-1892.3,-1711.2,-1844.7,-1876.6,-1800.4,-1804.4,-1824.3,-6652.6,-5707.9,-5644,-6095.5,-5761.9,-6955,-7324.8
운송수지,726.4,241.5,507.6,836,696.9,816.8,893,333.3,853.6,656.6,538.1,478.9,488.3,405.7,587,634.8,482.2,645.2,788.8,417.7,816.4,431.9,325.5,497.8,160.9,394.6,666.4,341.2,564.1,734.7,141.5,93,492.9,469.4,407.2,317.4,28.5,3.4,15.6,95.4,-10.5,-133.7,-178.6,-267.5,39.7,-174.5,-112.1,-366.6,-239.1,-305.1,-528,-535.8,-276.2,-599.4,-513.7,-442.5,-335.8,-509.6,-380.6,-555.3,-436.4,-459.2,-449.8,-222.8,-376.3,-388.9,-179.2,-282.9,-148.1,217.5,-207,-70.4,59.3,-312.3,-214.5,-138,-46.9,-209.7,20.8,-208.8,38.3,-16.6,-36.1,-209.5,1585.1,2406.7,1843.5,1505.3,1627.5,1916.2,1666,984.2,1402.2,1440.3,1055.3,753.1,114.4,-322.8,-402.3,-717.8,-1368.9,-1389.3,-1287.9,-1372.3,-1131.8,-944.4,-213.5,-218.1,-664.8,-235.8,-187.1,10131.4,7340.6,6193.9,4650.9,-1328.5,-5418.4,-2507.8
여행수지,-904.1,-965,-578.7,-341.7,-382.2,-511.3,-303.2,-814.7,-965.2,-512.6,-468.7,-590.7,-821.2,-995.2,-553,-326.1,-593.5,-528,-531.6,-564.4,-754.1,-239.4,-179.8,53.1,-520.2,-1095.3,-537.4,-407.2,-629.9,-450.6,-1091.5,-1500.4,-1133.5,-827.1,-953.5,-810.6,-1034.5,-912.1,-526,-657.7,-682.8,-323.8,-821.4,-1415.4,-1397.6,-1234.2,-537.3,-784.6,-1064.5,-1472.6,-1248,-1421.6,-1376.8,-1572.3,-1443.4,-1856.8,-1462,-1326.5,-1752.2,-1612.4,-1779.1,-2368.1,-1518.5,-1427.7,-1017.4,-1320.8,-1088,-1404,-1583.2,-1178.1,-850.1,-1350.6,-1459.2,-1531.7,-838.3,-171.6,-435.4,-752.6,-1126.8,-1127.7,-985,-807.8,-815,-953.7,-1885.4,-1196.7,-2292.5,-1880.6,-1874.3,-1653.1,-1557.9,-646.9,-2039.9,-2172,-3461,-2798.6,-2095.8,-1828,-4047.2,-2386.4,-4142.2,-4392.5,-4645.3,-5143.7,-5314.3,-3426.2,-4165.3,-3659.9,-2541.6,-2314.8,-2920.5,-7372,-7255.2,-5732.2,-10471.5,-10357.4,-18323.7,-16565.7
건설수지,1655.6,1601.7,1431.1,1224.9,1220.5,1251.5,1352.9,1077.1,1145.5,1032.3,1437.7,994.7,1752.6,1099.4,1249.3,1016.8,1608.7,1115.4,1499.6,1740.2,987.5,1026.9,1264.7,897.4,1782,930.6,584.8,816.4,768.9,715.5,716.9,922,709.7,822,772.3,652.7,1231.6,692,704.5,933.9,553.3,835.1,752.8,775.9,775.7,653.1,639,795.8,1445.4,590.8,611.4,654.1,627.7,523.7,836.5,609.9,739,682.3,463.9,603.6,935,921.3,658.6,742.1,662.2,837.7,705.7,704.6,1101.7,725.6,800.4,701.5,1157.4,941.2,696.8,574.8,637.3,1045.5,857,869,695.9,855.1,714.4,721.6,4257.7,3824.9,3254.9,4185,3365.5,4223.7,3754.6,3944.1,2331.8,2201.3,2453.7,2656.6,2330.4,2141.2,2204.7,2880.2,1856.3,1987.9,2031.2,2002.5,2322,2205.6,2531.9,2659.3,2212.8,2539.8,2420,16345.4,15522.5,15287.9,9643.4,9556.5,7877.9,9718.8
보험서비스수지,9.6,-47.9,-42.4,-44.4,-7.9,-25.9,-34,38.6,6,15.4,-41.7,-49.1,-41.3,-7.8,-22.7,-32,14.7,51.8,14.6,41.6,-3.7,-10.9,-11.5,16.8,9.1,-0.1,5.9,3.7,-49.2,-19.2,-44.3,24.9,-20.1,-28.1,-15.9,-1.8,47.2,-35.3,-24.5,-13.5,-66,-38.4,-25.2,-25.9,-27.8,-45.1,7.1,20.2,-8.9,-3.7,-31.5,-26,15.3,-25.7,-28.2,-18.4,-26.5,-20.1,78.6,-48.2,28.4,-5.9,-14.9,-12.4,-55,69,-14.1,-6.5,-33.8,-15.1,68.9,92.2,34.5,-12.9,-22.1,-16.1,-21.5,-19.8,-0.1,-36.6,-32,-12.8,-0.9,20.5,-134.7,-67.8,60,-132.1,-62.5,81.1,27,14.4,9.5,-112.7,-23.3,29.5,-73.3,-129.6,-98.8,18.4,-61.2,-38.6,-65,58.8,-33.2,-0.1,-55.4,195.6,-51.1,-41.4,-81.4,-304.4,-274.6,60,-97,-283.3,-106,106.9
