"계정항목별","지역코드별",2012,2013,2014,2015,2016,2017,2018
"금융계정","총계",35204.8,61964.6,68463.6,90731.9,92196.1,80068.2,59438.7
"금융계정","미국",4168.8,11442.6,23522,15285.8,51379.6,40262.9,34863.9
"금융계정","중국",5756.8,15159.7,15725.6,6665.6,6837.2,7432.9,-4856
"금융계정","일본",-4357.8,4453.5,1450.9,-1802.7,3384.4,3696.8,1053.9
"금융계정","EU",16433.7,10912.4,15453,30634.4,2831.3,4637.4,23508.9
"금융계정","동남아",8789.4,15942.9,8380.6,2428.2,1123.7,8478.3,-3222.6
"금융계정","중동",-2596.5,1383.5,-378.5,7692.4,14131.2,-1136.6,3193.9
"금융계정","중남미",3759,6268.5,6283.9,7300.2,3602.8,9185.1,8253
"금융계정","기타",3251.4,-3598.5,-1973.9,22528,8905.9,7511.4,-3356.3
"직접투자","총계",21102.8,15551.2,18724.9,19583,17785.2,16156.5,26037.8
"직접투자","미국",1630.7,-543.5,4425.9,5166,8306.8,11199.5,10286.4
"직접투자","중국",6188.8,6765.4,5740.7,5099,5744,3930.2,3027.3
"직접투자","일본",-5290.6,-3839.5,-1657.3,-120.5,-1672.6,-2235.1,-1891.8
"직접투자","EU",5825.3,2773.7,1021.6,4088.1,1282.6,-4185.9,2121.1
"직접투자","동남아",6088.5,3645.3,2347,2482.3,3407.4,4416.9,5708.9
"직접투자","중동",488.6,989.6,-114.9,-102.4,-48.6,95.4,136.4
"직접투자","중남미",1268.9,2236.7,2432.3,-370.6,973.7,839.5,4231.7
"직접투자","기타",4902.6,3523.5,4529.6,3341.1,-208.1,2096,2417.8
"직접투자(자산)","총계",30598.7,28317.8,27998.5,23687.1,29889.5,34069.4,38220.4
"직접투자(자산)","미국",4880,3442.9,7107,6185.4,9590.7,12206.7,8421.2
"직접투자(자산)","중국",5749.2,7223.4,6314.1,6344.5,7081.9,4964,4366.3
"직접투자(자산)","일본",209.2,1066.6,834.4,324.7,28,577.6,888.2
"직접투자(자산)","EU",6112.6,4583.1,2247.3,2948.1,4943.6,3530.9,7081.5
"직접투자(자산)","동남아",6644.4,4985.3,4749,4640.8,6582.5,7176,7807.6
"직접투자(자산)","중동",505.6,-35.5,-80.7,-178.7,228.1,842,437.1
"직접투자(자산)","중남미",1395.7,2393.6,2402.7,-186.7,1226.9,1811.5,4877.4
"직접투자(자산)","기타",5102,4658.4,4424.7,3609,207.8,2960.7,4341.1
"직접투자(부채)","총계",9495.9,12766.6,9273.6,4104.1,12104.3,17912.9,12182.6
"직접투자(부채)","미국",3249.3,3986.4,2681.1,1019.4,1283.9,1007.2,-1865.2
"직접투자(부채)","중국",-439.6,458,573.4,1245.5,1337.9,1033.8,1339
"직접투자(부채)","일본",5499.8,4906.1,2491.7,445.2,1700.6,2812.7,2780
"직접투자(부채)","EU",287.3,1809.4,1225.7,-1140,3661,7716.8,4960.4
"직접투자(부채)","동남아",555.9,1340,2402,2158.5,3175.1,2759.1,2098.7
"직접투자(부채)","중동",17,-1025.1,34.2,-76.3,276.7,746.6,300.7
"직접투자(부채)","중남미",126.8,156.9,-29.6,183.9,253.2,972,645.7
"직접투자(부채)","기타",199.4,1134.9,-104.9,267.9,415.9,864.7,1923.3
"증권투자","총계",-6747.8,9344.5,30608.9,49529.8,66970.2,57853,47420.7
"증권투자","미국",-5479.5,6457,15239.5,6489.1,33656.2,25266.9,15376.7
"증권투자","중국",-2113.2,-2013.8,856.8,3376,3102.8,-579.3,-3168.7
"증권투자","일본",-267.6,1653.2,-204.1,-2172.6,4677.3,2531.5,3493.5
