,BJD_CODE,KAPT_NAME,KAPT_CODE,BJD_NAME
,4139010100,은계어반리더스아파트,A10025100,경기도 시흥시 대야동
9,4817013100,포레나신진주아파트,A10025102,경상남도 진주시 가좌동
,4115011200,쌍용더플래티넘고산엔에이치에프,A10025103,경기도 의정부시 고산동
2,1174010300,고덕센트럴 아이파크,A10025104,서울특별시 강동구 상일동
,4215011400,강릉아이파크,A10025105,강원도 강릉시 송정동
,4518012700,정읍 첨단Lh행복주택아파트,A10025106,전라북도 정읍시 신정동
,4213033023,반도유보라아이비파크1단지아파트,A10025107,강원도 원주시 지정면 가곡리
,4127110300,e-편한세상 상록아파트,A10025108,경기도 안산상록구 사동
5,2617010100,지원더뷰오션2차,A10025109,부산광역시 동구 초량동
1,4717011000,신원아침도시 에듀포레,A10025110,경상북도 안동시 용상동
,2914011900,화정동 도나우프리 아파트,A10025111,광주광역시 서구 화정동
0,1174010300,고덕롯데캐슬베네루체,A10025112,서울특별시 강동구 상일동
,4115010100,한원힐트리움 더테라스,A10025113,경기도 의정부시 의정부동
4,1153011200,항동중흥S클래스베르데카운티,A10025115,서울특별시 구로구 항동
15,1154510200,이편한세상독산더타워아파트,A10025116,서울특별시 금천구 독산동
,4213033023,롯데캐슬골드파크1차아파트,A10025117,강원도 원주시 지정면 가곡리
0,4812110200,중동유니시티4단지,A10025118,경상남도 창원의창구 중동
,4213033023,롯데캐슬골드파크2차아파트,A10025119,강원도 원주시 지정면 가곡리
16,1156013300,지밸리소홈,A10025122,서울특별시 영등포구 대림동
,4511114100,효천리버클래스,A10025123,전라북도 전주완산구 효자동2가
,4418010500,보령 명천시티프라디움,A10025124,충청남도 보령시 명천동
1,4812710400,메트로시티석전,A10025125,경상남도 창원마산회원구 석전동
15,2729011500,상인역모아엘가파크뷰,A10025126,대구광역시 달서구 상인동
,4215037022,강릉영진코아루비치테라스,A10025128,강원도 강릉시 연곡면 영진리
,2917010100,중흥동 동우아스트로아파트,A10025129,광주광역시 북구 중흥동
2,1141012000,DMC에코자이,A10025130,서울특별시 서대문구 남가좌동
4,2623010400,범일역이즈아파트,A10025131,부산광역시 부산진구 범천동
3,4827010800,밀양강푸르지오,A10025132,경상남도 밀양시 가곡동
26,1135010500,상계역센트럴푸르지오아파트,A10025133,서울특별시 노원구 상계동
,4311112400,동남칸타빌더테라스2단지,A10025134,충청북도 청주상당구 용암동
16,2647010200,시청역 비스타동원아파트,A10025135,부산광역시 연제구 연산동
,4161025027,광주역우방아이유쉘아파트,A10025136,경기도 광주시 오포읍 양벌리
7,1126010600,신내글로리움아파트,A10025137,서울특별시 중랑구 신내동
,2920010900,우산동 동부센트레빌,A10025138,광주광역시 광산구 우산동
,4311112400,칸타빌더테라스1차,A10025139,충청북도 청주상당구 용암동
,4217010100,동해 ES아뜨리움아파트,A10025141,강원도 동해시 천곡동
,4136011100,별내우미린스타포레아파트,A10025142,경기도 남양주시 별내동
,4611015800,에메랄드 퀸 주상복합아파트,A10025143,전라남도 목포시 상동
0,4717011300,강변늘푸른타운,A10025145,경상북도 안동시 운흥동
0,5011025926,제주 더오름카운티원,A10025146,제주특별자치도 제주시 조천읍 대흘리
1,4824010400,삼천포예미지아파트,A10025149,경상남도 사천시 동금동
,4128113200,고양향동LH1단지,A10025150,경기도 고양덕양구 향동동
,4122033029,고덕국제신도시 제일풍경채아파트,A10025151,경기도 평택시 고덕면 여염리
0,4833010400,양산 지안스로가아파트,A10025152,경상남도 양산시 북부동
,4119010800,중동해링턴플레이스,A10025153,경기도 부천시 중동
0,2644011000,명지화전지구우방아이유쉘아파트,A10025154,부산광역시 강서구 화전동
,4148025622,파주법원LH1단지,A10025155,경기도 파주시 법원읍 법원리
,4311311400,지웰시티 푸르지오 아파트,A10025156,충청북도 청주흥덕구 복대동
2,4719035025,구미확장단지골드디움아파트,A10025158,경상북도 구미시 산동면 신당리
