시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
강원도 강릉시 견소동,202,202,0,송정한신,84.945,201212,4,"8,740",1,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,39.08,201212,7,"6,200",6,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,84.915,201212,19,"11,900",11,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,84.945,201212,24,"10,000",8,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,116.175,201212,28,"11,000",9,1997,경강로2539번길 8
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201212,2,"12,500",12,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201212,11,"15,450",6,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201212,13,"17,200",14,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201212,29,"16,200",7,2005,경강로2539번길 22
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,13,"28,678",2,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201212,17,"26,789",1,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,84.9866,201212,20,"23,500",9,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,21,"28,500",1,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201212,21,"25,243",1,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201212,21,"29,035",5,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,21,"30,579",3,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,21,"29,032",4,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,26,"29,033",5,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,26,"27,132",2,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201212,26,"29,035",4,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201212,26,"27,134",2,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201212,26,"29,033",3,2009,화부산로99번길 12
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,164.0098,201212,26,"29,035",3,2009,화부산로99번길 12
