,CODE_HEAT,SUBWAY_STATION,SUBWAY_LINE,DISPOSAL_TYPE,CODE_ECON,KAPTD_CCCNT,WELFARE_FACILITY,KAPT_BCOMPANY,KAPT_USEDATE,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,CODE_HALL,CODE_SALE,EDUCATION_FACILITY,KAPT_CODE
0,개별난방,경복궁역,3호선,"도포식,분무식",종합계약,256,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",풍림산업(주),2008-07-11,5분이내,5~10분이내,복도식,분양,"초등학교(매동초,대신초) 중학교(배화여자중,청운중) 고등학교(배화여자고,덕성여고) 대학교(배화여자대,경기대, 상명대)",A11005401
0,개별난방,경복궁역,3호선,"도포식,분무식",종합계약,82,"관리사무소, 주민공동시설",쌍용건설,2004-05-17,5~10분이내,5~10분이내,계단식,분양,초등학교(매동초교) 중학교(배화여중) 고등학교(배화여고) 대학교(배화여대),A11007001
0,개별난방,종로3가역,"1호선, 3호선, 5호선","도포식,분무식,기구설치식,독이식",단일계약,56,"관리사무소, 자전거보관소",현대건설,2003-11-29,5~10분이내,5~10분이내,복도식,분양,"초등학교(교동초등학교, 운현초등학교) 대학교(덕성여자대학교교육대학원)",A11034001
0,개별난방,종로5가,1호선,분무식,종합계약,81,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",(주)효성건설,2006-10-27,5~10분이내,5~10분이내,계단식,분양,"초등학교(서울사대부속,효제) 중학교(서울사대부속여) 대학교(서울의과대학,가톨릭대학,한국방송통신대)",A11041001
0,개별난방,종로 5가역,1호선,"도포식,분무식",종합계약,32,"관리사무소, 주민공동시설, 자전거보관소",신홍선건설,2017-01-20,5분이내,5~10분이내,타워형,분양,"초등학교(효제초등학교) 대학교(방송통신대, 서울대병원의대)",A10027162
0,개별난방,한성대입구,4호선,"도포식,분무식",단일계약,66,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",아남건설(주),1995-12-22,5~10분이내,5~10분이내,계단식,분양,"초등학교(혜화) 중학교(경신,동성) 고등학교(서울과학,경신,동성) 대학교(가톨릭대,성균관대,한성대)",A11052201
0,개별난방,동묘앞,"1호선, 6호선","도포식,분무식,독이식",단일계약,80,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",두산건설(주),1999-04-30,5분이내,5분이내,혼합식,분양,초등학교(창신) 고등학교(성동기계공고) 대학교(국립의료원간호대학),A11054101
0,개별난방,창신,"1호선, 6호선","분무식,독이식",단일계약,60,"관리사무소, 노인정, 어린이놀이터",쌍용건설,1992-11-25,5분이내,5분이내,혼합식,분양,초등학교(명신) 고등학교(서일정보산업고) 대학교(한성대),A11054301
0,개별난방,창신,6호선,"분무식,독이식",단일계약,14,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",쌍용건설,1993-10-12,5분이내,5분이내,혼합식,분양,"초등학교(명신) 중학교(한성중학교) 고등학교(서일정보산업고,한성고등학교) 대학교(한성대)",A11077101
0,개별난방,동묘앞,"1호선, 6호선","분무식,기구부착식,독이식",종합계약,88,"관리사무소, 주민공동시설, 자전거보관소",롯데건설,2004-09-09,5~10분이내,5분이내,타워형,분양,"초등학교(창신,숭신) 중학교(숭인) 고등학교(대광중고교)",A11087601
