월별,대출금리
2006년 01월,5.64
2006년 02월,5.58
2006년 03월,5.46
2006년 04월,5.42
2006년 05월,5.41
2006년 06월,5.48
2006년 07월,5.79
2006년 08월,5.86
2006년 09월,5.77
2006년 10월,5.69
2006년 11월,5.69
2006년 12월,5.88
2007년 01월,6.11
2007년 02월,6.18
2007년 03월,6.2
2007년 04월,6.13
2007년 05월,6.17
2007년 06월,6.13
2007년 07월,6.24
2007년 08월,6.38
2007년 09월,6.52
2007년 10월,6.55
2007년 11월,6.59
2007년 12월,6.85
2008년 01월,7.08
2008년 02월,6.72
2008년 03월,6.7
2008년 04월,6.8
2008년 05월,6.79
2008년 06월,6.77
2008년 07월,6.92
2008년 08월,7.16
2008년 09월,7.25
2008년 10월,7.58
2008년 11월,7.42
2008년 12월,6.81
2009년 01월,5.63
2009년 02월,5.38
2009년 03월,5.43
2009년 04월,5.3
2009년 05월,5.25
2009년 06월,5.25
2009년 07월,5.29
2009년 08월,5.45
2009년 09월,5.77
2009년 10월,5.9
2009년 11월,5.87
2009년 12월,5.9
2010년 01월,5.88
2010년 02월,5.75
2010년 03월,5.47
2010년 04월,5.07
2010년 05월,4.78
2010년 06월,4.62
2010년 07월,4.7
2010년 08월,4.81
2010년 09월,4.8
2010년 10월,4.74
2010년 11월,4.65
2010년 12월,4.67
2011년 01월,4.8
2011년 02월,4.86
2011년 03월,4.89
2011년 04월,4.88
2011년 05월,4.9
2011년 06월,4.87
2011년 07월,4.9
2011년 08월,4.97
2011년 09월,5
2011년 10월,5.01
2011년 11월,5.01
2011년 12월,4.95
2012년 01월,5.06
2012년 02월,5.02
2012년 03월,5
2012년 04월,4.94
2012년 05월,4.85
2012년 06월,4.76
2012년 07월,4.64
2012년 08월,4.41
2012년 09월,4.29
2012년 10월,4.23
2012년 11월,4.19
2012년 12월,4.16
2013년 01월,4.17
2013년 02월,4.06
2013년 03월,3.97
2013년 04월,3.86
2013년 05월,3.77
2013년 06월,3.73
2013년 07월,3.77
2013년 08월,3.8
2013년 09월,3.82
2013년 10월,3.81
2013년 11월,3.77
2013년 12월,3.74
2014년 01월,3.75
2014년 02월,3.71
2014년 03월,3.69
2014년 04월,3.69
2014년 05월,3.63
2014년 06월,3.58
2014년 07월,3.53
2014년 08월,3.5
2014년 09월,3.5
2014년 10월,3.38
2014년 11월,3.3
2014년 12월,3.33
2015년 01월,3.34
2015년 02월,3.24
2015년 03월,2.97
2015년 04월,2.81
2015년 05월,3.06
2015년 06월,3.01
2015년 07월,2.96
2015년 08월,2.94
2015년 09월,2.92
2015년 10월,2.9
2015년 11월,3.04
2015년 12월,3.12
2016년 01월,3.1
2016년 02월,2.99
2016년 03월,2.97
2016년 04월,2.93
2016년 05월,2.89
2016년 06월,2.77
2016년 07월,2.66
2016년 08월,2.7
2016년 09월,2.8
2016년 10월,2.89
2016년 11월,3.04
2016년 12월,3.13
2017년 01월,3.16
2017년 02월,3.19
2017년 03월,3.21
2017년 04월,3.21
2017년 05월,3.26
2017년 06월,3.22
2017년 07월,3.28
2017년 08월,3.28
2017년 09월,3.24
2017년 10월,3.33
2017년 11월,3.39
2017년 12월,3.42
2018년 01월,3.47
2018년 02월,3.46
2018년 03월,3.45
2018년 04월,3.47
2018년 05월,3.49
2018년 06월,3.46
2018년 07월,3.44
2018년 08월,3.36
2018년 09월,3.29
2018년 10월,3.31
2018년 11월,3.28
2018년 12월,3.19
2019년 01월,3.12
2019년 02월,3.08
2019년 03월,3.04
2019년 04월,2.98
2019년 05월,2.93
2019년 06월,2.74
2019년 07월,2.64
2019년 08월,2.47
2019년 09월,2.51
2019년 10월,2.5
2019년 11월,2.45
