기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2010.1/4	합계	4,121,193	10,464,171	5,181,117	5,283,054	10,208,670	5,059,504	5,149,166	255,501	121,613	133,888	17,289	605.25	2.48	956,414
2010.1/4	종로구	74,300	177,023	88,225	88,798	168,158	84,088	84,070	8,865	4,137	4,728	7,404	23.91	2.26	20,925
2010.1/4	중구	58,472	138,102	69,175	68,927	129,786	65,216	64,570	8,316	3,959	4,357	13,865	9.96	2.22	16,208
2010.1/4	용산구	107,407	250,844	123,295	127,549	238,366	116,764	121,602	12,478	6,531	5,947	11,471	21.87	2.22	28,436
2010.1/4	성동구	126,942	316,113	158,228	157,885	308,144	154,389	153,755	7,969	3,839	4,130	18,762	16.85	2.43	30,704
2010.1/4	광진구	156,264	386,292	190,823	195,469	373,586	185,087	188,499	12,706	5,736	6,970	22,640	17.06	2.39	30,765
2010.1/4	동대문구	153,517	374,039	187,583	186,456	361,812	182,250	179,562	12,227	5,333	6,894	26,340	14.2	2.36	40,300
2010.1/4	중랑구	172,270	431,283	215,350	215,933	426,422	213,434	212,988	4,861	1,916	2,945	23,318	18.5	2.48	40,019
2010.1/4	성북구	193,148	484,359	239,324	245,035	475,888	235,634	240,254	8,471	3,690	4,781	19,717	24.57	2.46	49,999
2010.1/4	강북구	136,703	342,669	169,573	173,096	339,150	168,275	170,875	3,519	1,298	2,221	14,513	23.61	2.48	39,312
2010.1/4	도봉구	138,629	371,095	183,426	187,669	368,492	182,419	186,073	2,603	1,007	1,596	17,925	20.7	2.66	36,736
2010.1/4	노원구	225,259	614,603	300,833	313,770	610,201	298,947	311,254	4,402	1,886	2,516	17,344	35.44	2.71	55,384
2010.1/4	은평구	187,028	474,165	233,565	240,600	469,329	231,489	237,840	4,836	2,076	2,760	15,969	29.69	2.51	50,026
2010.1/4	서대문구	137,069	336,490	164,179	172,311	327,159	160,145	167,014	9,331	4,034	5,297	19,116	17.6	2.39	38,016
2010.1/4	마포구	165,741	392,087	191,157	200,930	383,741	187,154	196,587	8,346	4,003	4,343	16,425	23.87	2.32	38,803
2010.1/4	양천구	181,789	504,928	251,129	253,799	499,674	248,745	250,929	5,254	2,384	2,870	29,004	17.41	2.75	37,676
2010.1/4	강서구	221,823	578,257	285,170	293,087	572,003	282,164	289,839	6,254	3,006	3,248	13,960	41.42	2.58	48,288
2010.1/4	구로구	167,571	449,187	227,014	222,173	421,762	212,934	208,828	27,425	14,080	13,345	22,326	20.12	2.52	37,938
2010.1/4	금천구	100,333	262,337	133,998	128,339	244,079	124,473	119,606	18,258	9,525	8,733	20,180	13	2.43	23,006
2010.1/4	영등포구	167,918	440,863	222,237	218,626	404,914	203,892	201,022	35,949	18,345	17,604	17,947	24.57	2.41	40,865
2010.1/4	동작구	163,306	407,966	200,772	207,194	397,620	196,115	201,505	10,346	4,657	5,689	24,954	16.35	2.43	40,518
2010.1/4	관악구	242,646	546,814	277,116	269,698	529,371	268,892	260,479	17,443	8,224	9,219	18,493	29.57	2.18	48,018
2010.1/4	서초구	166,889	432,888	209,928	222,960	427,172	207,135	220,037	5,716	2,793	2,923	9,210	47	2.56	34,584
2010.1/4	강남구	230,004	570,913	275,164	295,749	563,657	271,453	292,204	7,256	3,711	3,545	14,441	39.54	2.45	41,923
2010.1/4	송파구	260,851	689,909	338,182	351,727	682,110	334,732	347,378	7,799	3,450	4,349	20,365	33.88	2.61	50,722
2010.1/4	강동구	185,314	490,945	245,671	245,274	486,074	243,678	242,396	4,871	1,993	2,878	19,973	24.58	2.62	37,243
2010.2/4	합계	4,116,225	10,447,719	5,172,523	5,275,196	10,194,327	5,051,806	5,142,521	253,392	120,717	132,675	17,262	605.25	2.48	966,441
2010.2/4	종로구	74,061	176,143	87,686	88,457	167,370	83,638	83,732	8,773	4,048	4,725	7,368	23.91	2.26	21,087
2010.2/4	중구	58,425	137,785	69,065	68,720	129,535	65,148	64,387	8,250	3,917	4,333	13,834	9.96	2.22	16,310
2010.2/4	용산구	107,298	250,345	122,990	127,355	238,027	116,545	121,482	12,318	6,445	5,873	11,448	21.87	2.22	28,608
2010.2/4	성동구	126,484	315,005	157,680	157,325	307,273	153,979	153,294	7,732	3,701	4,031	18,696	16.85	2.43	30,943
2010.2/4	광진구	156,034	385,166	190,275	194,891	372,609	184,598	188,011	12,557	5,677	6,880	22,574	17.06	2.39	31,039
2010.2/4	동대문구	153,338	373,501	187,216	186,285	361,310	181,927	179,383	12,191	5,289	6,902	26,302	14.2	2.36	40,794
2010.2/4	중랑구	171,924	429,677	214,626	215,051	424,892	212,771	212,121	4,785	1,855	2,930	23,231	18.5	2.47	40,409
2010.2/4	성북구	192,902	483,595	239,013	244,582	475,192	235,339	239,853	8,403	3,674	4,729	19,686	24.57	2.46	50,473
2010.2/4	강북구	137,232	343,442	169,940	173,502	339,935	168,656	171,279	3,507	1,284	2,223	14,546	23.61	2.48	39,943
2010.2/4	도봉구	138,068	369,434	182,671	186,763	366,892	181,710	185,182	2,542	961	1,581	17,845	20.7	2.66	37,114
2010.2/4	노원구	224,846	613,120	299,949	313,171	608,787	298,114	310,673	4,333	1,835	2,498	17,302	35.44	2.71	55,808
2010.2/4	은평구	187,511	475,538	234,103	241,435	470,694	232,027	238,667	4,844	2,076	2,768	16,015	29.69	2.51	50,684
2010.2/4	서대문구	136,273	334,709	163,307	171,402	325,545	159,340	166,205	9,164	3,967	5,197	19,015	17.6	2.39	38,309
2010.2/4	마포구	165,451	391,578	190,848	200,730	383,309	186,886	196,423	8,269	3,962	4,307	16,403	23.87	2.32	39,163
2010.2/4	양천구	181,080	502,933	250,091	252,842	497,741	247,736	250,005	5,192	2,355	2,837	28,889	17.41	2.75	38,053
2010.2/4	강서구	221,607	577,806	284,880	292,926	571,544	281,874	289,670	6,262	3,006	3,256	13,950	41.42	2.58	48,828
2010.2/4	구로구	167,611	448,882	226,992	221,890	421,714	212,949	208,765	27,168	14,043	13,125	22,311	20.12	2.52	38,333
2010.2/4	금천구	100,284	261,435	133,727	127,708	243,329	124,233	119,096	18,106	9,494	8,612	20,111	13	2.43	23,199
2010.2/4	영등포구	167,383	439,489	221,670	217,819	403,586	203,286	200,300	35,903	18,384	17,519	17,891	24.57	2.41	41,061
2010.2/4	동작구	163,434	407,947	200,743	207,204	397,621	196,082	201,539	10,326	4,661	5,665	24,953	16.35	2.43	40,917
2010.2/4	관악구	242,572	545,594	276,434	269,160	528,330	268,256	260,074	17,264	8,178	9,086	18,452	29.57	2.18	48,627
2010.2/4	서초구	166,901	433,435	210,158	223,277	427,821	207,414	220,407	5,614	2,744	2,870	9,221	47	2.56	35,172
2010.2/4	강남구	229,487	570,163	274,694	295,469	562,859	270,918	291,941	7,304	3,776	3,528	14,422	39.54	2.45	42,356
2010.2/4	송파구	260,214	688,764	337,529	351,235	681,036	334,131	346,905	7,728	3,398	4,330	20,331	33.88	2.62	51,300
2010.2/4	강동구	185,805	492,233	246,236	245,997	487,376	244,249	243,127	4,857	1,987	2,870	20,025	24.58	2.62	37,911
2010.3/4	합계	4,114,216	10,437,326	5,165,474	5,271,852	10,186,556	5,046,415	5,140,141	250,770	119,059	131,711	17,245	605.25	2.48	974,256
