"행정구역","2011년01월_총인구수","2011년01월_세대수","2011년01월_세대당 인구","2011년02월_총인구수","2011년02월_세대수","2011년02월_세대당 인구","2011년03월_총인구수","2011년03월_세대수","2011년03월_세대당 인구","2011년04월_총인구수","2011년04월_세대수","2011년04월_세대당 인구","2011년05월_총인구수","2011년05월_세대수","2011년05월_세대당 인구","2011년06월_총인구수","2011년06월_세대수","2011년06월_세대당 인구","2011년07월_총인구수","2011년07월_세대수","2011년07월_세대당 인구","2011년08월_총인구수","2011년08월_세대수","2011년08월_세대당 인구","2011년09월_총인구수","2011년09월_세대수","2011년09월_세대당 인구","2011년10월_총인구수","2011년10월_세대수","2011년10월_세대당 인구","2011년11월_총인구수","2011년11월_세대수","2011년11월_세대당 인구","2011년12월_총인구수","2011년12월_세대수","2011년12월_세대당 인구","2012년01월_총인구수","2012년01월_세대수","2012년01월_세대당 인구","2012년02월_총인구수","2012년02월_세대수","2012년02월_세대당 인구","2012년03월_총인구수","2012년03월_세대수","2012년03월_세대당 인구","2012년04월_총인구수","2012년04월_세대수","2012년04월_세대당 인구","2012년05월_총인구수","2012년05월_세대수","2012년05월_세대당 인구","2012년06월_총인구수","2012년06월_세대수","2012년06월_세대당 인구","2012년07월_총인구수","2012년07월_세대수","2012년07월_세대당 인구","2012년08월_총인구수","2012년08월_세대수","2012년08월_세대당 인구","2012년09월_총인구수","2012년09월_세대수","2012년09월_세대당 인구","2012년10월_총인구수","2012년10월_세대수","2012년10월_세대당 인구","2012년11월_총인구수","2012년11월_세대수","2012년11월_세대당 인구","2012년12월_총인구수","2012년12월_세대수","2012년12월_세대당 인구","2013년01월_총인구수","2013년01월_세대수","2013년01월_세대당 인구","2013년02월_총인구수","2013년02월_세대수","2013년02월_세대당 인구","2013년03월_총인구수","2013년03월_세대수","2013년03월_세대당 인구","2013년04월_총인구수","2013년04월_세대수","2013년04월_세대당 인구","2013년05월_총인구수","2013년05월_세대수","2013년05월_세대당 인구","2013년06월_총인구수","2013년06월_세대수","2013년06월_세대당 인구","2013년07월_총인구수","2013년07월_세대수","2013년07월_세대당 인구","2013년08월_총인구수","2013년08월_세대수","2013년08월_세대당 인구","2013년09월_총인구수","2013년09월_세대수","2013년09월_세대당 인구","2013년10월_총인구수","2013년10월_세대수","2013년10월_세대당 인구","2013년11월_총인구수","2013년11월_세대수","2013년11월_세대당 인구","2013년12월_총인구수","2013년12월_세대수","2013년12월_세대당 인구"
"전국  (0000000000000)","50,534,731","19,869,849","      2.54","50,555,262","19,891,086","      2.54","50,575,130","19,906,696","      2.54","50,594,424","19,923,412","      2.54","50,613,213","19,935,590","      2.54","50,627,347","19,945,050","      2.54","50,641,565","19,952,383","      2.54","50,662,739","19,968,170","      2.54","50,681,829","19,985,664","      2.54","50,699,478","20,004,361","      2.53","50,717,719","20,019,850","      2.53","50,734,284","20,033,142","      2.53","50,750,837","20,038,189","      2.53","50,767,313","20,061,711","      2.53","50,783,029","20,081,106","      2.53","50,801,531","20,094,955","      2.53","50,819,380","20,109,711","      2.53","50,832,898","20,122,836","      2.53","50,851,082","20,137,163","      2.53","50,871,606","20,153,476","      2.52","50,891,223","20,167,152","      2.52","50,912,264","20,182,469","      2.52","50,930,805","20,196,798","      2.52","50,948,272","20,211,770","      2.52","50,965,180","20,223,716","      2.52","50,991,003","20,248,440","      2.52","51,003,843","20,273,632","      2.52","51,018,468","20,295,992","      2.51","51,034,494","20,316,172","      2.51","51,047,880","20,337,060","      2.51","51,064,841","20,353,395","      2.51","51,081,507","20,373,300","      2.51","51,098,531","20,393,578","      2.51","51,115,702","20,418,259","      2.50","51,127,984","20,437,628","      2.50","51,141,463","20,456,588","      2.50"
"서울특별시  (1100000000)","10,312,835","4,223,301","      2.44","10,314,245","4,225,512","      2.44","10,307,783","4,221,613","      2.44","10,301,829","4,219,198","      2.44","10,295,643","4,214,866","      2.44","10,288,284","4,210,104","      2.44","10,282,472","4,206,353","      2.44","10,277,507","4,204,155","      2.44","10,271,880","4,201,510","      2.44","10,266,174","4,199,109","      2.44","10,257,741","4,195,791","      2.44","10,249,679","4,192,752","      2.44","10,250,134","4,191,988","      2.45","10,251,297","4,194,856","      2.44","10,245,782","4,192,477","      2.44","10,241,387","4,190,283","      2.44","10,237,054","4,188,758","      2.44","10,232,281","4,187,283","      2.44","10,227,761","4,186,203","      2.44","10,223,243","4,185,964","      2.44","10,219,334","4,185,440","      2.44","10,212,445","4,182,937","      2.44","10,205,843","4,180,568","      2.44","10,195,318","4,177,970","      2.44","10,195,064","4,178,537","      2.44","10,196,434","4,181,574","      2.44","10,192,057","4,182,314","      2.44","10,185,955","4,182,017","      2.44","10,181,807","4,181,819","      2.43","10,176,560","4,181,577","      2.43","10,172,002","4,181,320","      2.43","10,168,997","4,183,132","      2.43","10,166,691","4,184,537","      2.43","10,162,099","4,185,280","      2.43","10,154,180","4,184,122","      2.43","10,143,645","4,182,351","      2.43"
"부산광역시  (2600000000)","3,566,560","1,371,509","      2.60","3,566,480","1,373,295","      2.60","3,564,873","1,374,241","      2.59","3,563,042","1,375,107","      2.59","3,562,985","1,376,830","      2.59","3,563,295","1,378,685","      2.58","3,560,813","1,378,565","      2.58","3,558,372","1,378,849","      2.58","3,556,565","1,379,448","      2.58","3,554,635","1,380,183","      2.58","3,553,997","1,381,372","      2.57","3,550,963","1,381,257","      2.57","3,549,501","1,381,019","      2.57","3,548,640","1,382,268","      2.57","3,547,141","1,383,129","      2.56","3,545,806","1,383,742","      2.56","3,543,688","1,383,896","      2.56","3,542,239","1,384,518","      2.56","3,542,218","1,385,771","      2.56","3,541,431","1,386,827","      2.55","3,540,802","1,387,335","      2.55","3,540,098","1,387,958","      2.55","3,539,273","1,388,602","      2.55","3,538,484","1,389,526","      2.55","3,538,191","1,390,482","      2.54","3,539,455","1,392,593","      2.54","3,538,285","1,394,327","      2.54","3,537,758","1,395,693","      2.53","3,536,426","1,396,943","      2.53","3,534,500","1,398,062","      2.53","3,532,994","1,398,777","      2.53","3,531,796","1,399,919","      2.52","3,531,643","1,401,269","      2.52","3,530,579","1,402,700","      2.52","3,529,884","1,404,011","      2.51","3,527,635","1,404,663","      2.51"
"대구광역시  (2700000000)","2,512,071","935,007","      2.69","2,512,321","935,938","      2.68","2,511,231","935,956","      2.68","2,510,773","936,270","      2.68","2,510,644","936,704","      2.68","2,510,243","936,991","      2.68","2,509,833","937,457","      2.68","2,510,079","938,200","      2.68","2,509,609","939,045","      2.67","2,509,297","939,807","      2.67","2,508,935","940,328","      2.67","2,507,271","940,770","      2.67","2,508,370","941,488","      2.66","2,508,563","942,909","      2.66","2,507,586","943,293","      2.66","2,507,310","943,826","      2.66","2,507,022","944,380","      2.65","2,506,977","945,175","      2.65","2,506,969","945,747","      2.65","2,507,715","946,764","      2.65","2,507,791","947,187","      2.65","2,507,571","947,745","      2.65","2,507,910","948,321","      2.64","2,505,644","948,652","      2.64","2,504,945","949,135","      2.64","2,505,040","950,116","      2.64","2,504,623","951,239","      2.63","2,504,888","952,603","      2.63","2,505,083","954,131","      2.63","2,503,728","954,909","      2.62","2,503,604","955,615","      2.62","2,503,400","956,366","      2.62","2,503,679","957,448","      2.61","2,503,648","958,738","      2.61","2,503,283","959,457","      2.61","2,501,588","960,265","      2.61"
"인천광역시  (2800000000)","2,761,122","1,060,116","      2.60","2,765,025","1,062,076","      2.60","2,768,648","1,063,075","      2.60","2,772,131","1,064,368","      2.60","2,775,394","1,065,565","      2.60","2,779,133","1,067,133","      2.60","2,782,458","1,068,484","      2.60","2,786,717","1,070,305","      2.60","2,790,226","1,071,976","      2.60","2,794,493","1,074,318","      2.60","2,798,762","1,076,471","      2.60","2,801,274","1,077,563","      2.60","2,804,287","1,078,500","      2.60","2,808,286","1,080,401","      2.60","2,811,410","1,081,754","      2.60","2,815,158","1,083,488","      2.60","2,818,348","1,085,300","      2.60","2,820,994","1,086,762","      2.60","2,824,150","1,088,559","      2.59","2,828,342","1,090,342","      2.59","2,831,729","1,092,022","      2.59","2,836,080","1,094,054","      2.59","2,840,308","1,095,983","      2.59","2,843,981","1,097,491","      2.59","2,846,899","1,098,867","      2.59","2,850,543","1,100,751","      2.59","2,853,489","1,102,546","      2.59","2,856,667","1,104,798","      2.59","2,859,335","1,106,340","      2.58","2,861,722","1,108,281","      2.58","2,864,951","1,110,028","      2.58","2,867,429","1,111,667","      2.58","2,870,125","1,113,335","      2.58","2,873,451","1,115,516","      2.58","2,876,797","1,117,478","      2.57","2,879,782","1,118,988","      2.57"
"광주광역시  (2900000000)","1,456,308","541,247","      2.69","1,458,195","542,255","      2.69","1,458,326","542,647","      2.69","1,458,814","543,475","      2.68","1,459,615","544,285","      2.68","1,459,862","544,876","      2.68","1,461,368","545,633","      2.68","1,462,915","546,882","      2.68","1,463,432","547,471","      2.67","1,464,073","548,210","      2.67","1,464,516","548,675","      2.67","1,463,464","549,105","      2.67","1,465,313","549,621","      2.67","1,466,516","550,922","      2.66","1,466,810","551,779","      2.66","1,466,676","551,847","      2.66","1,466,464","552,239","      2.66","1,466,388","552,657","      2.65","1,467,030","553,169","      2.65","1,467,979","553,780","      2.65","1,468,777","554,176","      2.65","1,469,614","554,688","      2.65","1,470,669","555,377","      2.65","1,469,216","555,538","      2.64","1,470,061","556,033","      2.64","1,470,969","556,633","      2.64","1,470,979","557,409","      2.64","1,471,324","558,212","      2.64","1,471,801","558,883","      2.63","1,471,867","559,606","      2.63","1,472,357","560,156","      2.63","1,472,807","560,805","      2.63","1,473,229","561,431","      2.62","1,473,576","562,285","      2.62","1,473,689","563,078","      2.62","1,472,910","563,599","      2.61"
"대전광역시  (3000000000)","1,504,617","556,329","      2.70","1,506,136","557,532","      2.70","1,506,995","558,301","      2.70","1,507,751","558,930","      2.70","1,509,032","560,058","      2.69","1,509,963","560,935","      2.69","1,510,468","561,419","      2.69","1,511,531","562,159","      2.69","1,512,557","563,285","      2.69","1,513,877","564,638","      2.68","1,514,979","565,439","      2.68","1,515,603","566,324","      2.68","1,517,299","567,349","      2.67","1,518,651","569,064","      2.67","1,519,490","570,007","      2.67","1,520,628","570,860","      2.66","1,521,659","571,755","      2.66","1,522,595","572,411","      2.66","1,522,581","572,926","      2.66","1,522,189","573,311","      2.66","1,522,880","573,847","      2.65","1,523,647","574,436","      2.65","1,524,566","575,014","      2.65","1,524,583","575,600","      2.65","1,525,888","576,298","      2.65","1,527,383","577,469","      2.64","1,527,857","578,317","      2.64","1,528,578","579,119","      2.64","1,529,085","579,989","      2.64","1,529,655","580,723","      2.63","1,530,226","581,470","      2.63","1,530,908","582,064","      2.63","1,531,418","582,711","      2.63","1,532,456","583,581","      2.63","1,533,114","584,215","      2.62","1,532,811","584,877","      2.62"
"울산광역시  (3100000000)","1,127,337","406,038","      2.78","1,127,647","406,599","      2.77","1,128,324","407,260","      2.77","1,129,038","407,954","      2.77","1,129,612","408,484","      2.77","1,130,832","409,215","      2.76","1,131,325","409,702","      2.76","1,131,979","410,235","      2.76","1,132,910","410,836","      2.76","1,134,125","411,674","      2.75","1,134,904","412,091","      2.75","1,135,494","412,561","      2.75","1,136,464","413,114","      2.75","1,136,948","414,142","      2.75","1,137,918","415,381","      2.74","1,139,628","416,576","      2.74","1,140,673","417,317","      2.73","1,140,954","417,814","      2.73","1,141,483","418,391","      2.73","1,142,528","419,394","      2.72","1,143,464","419,957","      2.72","1,145,096","420,865","      2.72","1,146,555","421,545","      2.72","1,147,256","422,177","      2.72","1,148,130","422,783","      2.72","1,148,713","423,523","      2.71","1,150,215","425,127","      2.71","1,150,708","425,672","      2.70","1,151,340","426,252","      2.70","1,152,039","427,102","      2.70","1,152,765","427,823","      2.69","1,154,208","428,973","      2.69","1,154,382","429,345","      2.69","1,154,956","429,874","      2.69","1,155,867","430,697","      2.68","1,156,480","431,595","      2.68"
"세종특별자치시  (3600000000)","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","0","0","      0.00","103,127","43,364","      2.38","106,625","44,460","      2.40","108,027","44,934","      2.40","109,823","45,493","      2.41","111,191","45,914","      2.42","113,117","46,592","      2.43","113,911","46,817","      2.43","115,269","47,246","      2.44","115,955","47,492","      2.44","116,345","47,671","      2.44","116,842","47,902","      2.44","117,012","47,994","      2.44","117,369","48,142","      2.44","117,939","48,319","      2.44","118,273","48,419","      2.44","118,745","48,624","      2.44","119,309","48,860","      2.44","122,153","50,045","      2.44"
"경기도  (4100000000)","11,801,232","4,530,271","      2.60","11,815,120","4,536,302","      2.60","11,829,316","4,540,195","      2.61","11,841,400","4,544,305","      2.61","11,854,092","4,547,939","      2.61","11,862,889","4,550,160","      2.61","11,874,213","4,553,412","      2.61","11,887,932","4,558,574","      2.61","11,898,590","4,563,230","      2.61","11,908,014","4,567,952","      2.61","11,920,340","4,573,060","      2.61","11,937,415","4,579,405","      2.61","11,948,596","4,581,590","      2.61","11,961,481","4,588,065","      2.61","11,972,408","4,592,491","      2.61","11,984,985","4,596,720","      2.61","11,998,173","4,601,413","      2.61","12,009,150","4,605,492","      2.61","12,021,422","4,609,946","      2.61","12,035,714","4,615,762","      2.61","12,047,601","4,620,473","      2.61","12,060,335","4,626,371","      2.61","12,071,878","4,632,096","      2.61","12,093,299","4,639,665","      2.61","12,107,216","4,644,387","      2.61","12,123,024","4,651,451","      2.61","12,133,590","4,657,095","      2.61","12,144,383","4,662,907","      2.60","12,156,714","4,669,308","      2.60","12,167,575","4,675,231","      2.60","12,181,553","4,680,917","      2.60","12,193,532","4,687,386","      2.60","12,203,080","4,693,661","      2.60","12,211,807","4,700,260","      2.60","12,219,786","4,706,010","      2.60","12,234,630","4,712,324","      2.60"
