"행정구역(시군구)별","이동규모별","항목","단위","2015. 06 월",
"전국","계","총전입","건","398436",
"전국","계","총전출","건","398436",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","135663",
"전국","계","시도내-시군구간전입","건","114738",
"전국","계","시도내-시군구간전출","건","114738",
"전국","계","시도간전입","건","148035",
"전국","계","시도간전출","건","148035",
"전국","1인","총전입","건","270725",
"전국","1인","총전출","건","270725",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","73942",
"전국","1인","시도내-시군구간전입","건","78279",
"전국","1인","시도내-시군구간전출","건","78279",
"전국","1인","시도간전입","건","118504",
"전국","1인","시도간전출","건","118504",
"전국","2인","총전입","건","51227",
"전국","2인","총전출","건","51227",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","21618",
"전국","2인","시도내-시군구간전입","건","15113",
"전국","2인","시도내-시군구간전출","건","15113",
"전국","2인","시도간전입","건","14496",
"전국","2인","시도간전출","건","14496",
"전국","3인","총전입","건","38780",
"전국","3인","총전출","건","38780",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","19072",
"전국","3인","시도내-시군구간전입","건","11372",
"전국","3인","시도내-시군구간전출","건","11372",
"전국","3인","시도간전입","건","8336",
"전국","3인","시도간전출","건","8336",
"전국","4인","총전입","건","29553",
"전국","4인","총전출","건","29553",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","16320",
"전국","4인","시도내-시군구간전입","건","7947",
"전국","4인","시도내-시군구간전출","건","7947",
"전국","4인","시도간전입","건","5286",
"전국","4인","시도간전출","건","5286",
"전국","5인","총전입","건","6674",
"전국","5인","총전출","건","6674",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","3858",
"전국","5인","시도내-시군구간전입","건","1683",
"전국","5인","시도내-시군구간전출","건","1683",
"전국","5인","시도간전입","건","1133",
"전국","5인","시도간전출","건","1133",
"전국","6인","총전입","건","1165",
"전국","6인","총전출","건","1165",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","693",
"전국","6인","시도내-시군구간전입","건","267",
"전국","6인","시도내-시군구간전출","건","267",
"전국","6인","시도간전입","건","205",
"전국","6인","시도간전출","건","205",
"전국","7인","총전입","건","221",
"전국","7인","총전출","건","221",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","116",
"전국","7인","시도내-시군구간전입","건","52",
"전국","7인","시도내-시군구간전출","건","52",
"전국","7인","시도간전입","건","53",
"전국","7인","시도간전출","건","53",
"전국","8인","총전입","건","60",
"전국","8인","총전출","건","60",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","29",
"전국","8인","시도내-시군구간전입","건","15",
"전국","8인","시도내-시군구간전출","건","15",
"전국","8인","시도간전입","건","16",
"전국","8인","시도간전출","건","16",
"전국","9인","총전입","건","29",
"전국","9인","총전출","건","29",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","15",
"전국","9인","시도내-시군구간전입","건","8",
"전국","9인","시도내-시군구간전출","건","8",
"전국","9인","시도간전입","건","6",
"전국","9인","시도간전출","건","6",
"전국","10인이상","총전입","건","2",
"전국","10인이상","총전출","건","2",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","0",
"전국","10인이상","시도내-시군구간전입","건","2",
"전국","10인이상","시도내-시군구간전출","건","2",
"전국","10인이상","시도간전입","건","0",
"전국","10인이상","시도간전출","건","0",
"서울특별시","계","총전입","건","81876",
"서울특별시","계","총전출","건","88539",
"서울특별시","계","순이동","건","-6663",
"서울특별시","계","시도내-시군구내이동","건","23275",
"서울특별시","계","시도내-시군구간전입","건","31686",
"서울특별시","계","시도내-시군구간전출","건","31686",
"서울특별시","계","시도간전입","건","26915",
"서울특별시","계","시도간전출","건","33578",
"서울특별시","1인","총전입","건","54896",
"서울특별시","1인","총전출","건","57401",
"서울특별시","1인","순이동","건","-2505",
"서울특별시","1인","시도내-시군구내이동","건","11534",
"서울특별시","1인","시도내-시군구간전입","건","20931",
"서울특별시","1인","시도내-시군구간전출","건","20931",
"서울특별시","1인","시도간전입","건","22431",
"서울특별시","1인","시도간전출","건","24936",
"서울특별시","2인","총전입","건","10560",
"서울특별시","2인","총전출","건","12405",
"서울특별시","2인","순이동","건","-1845",
"서울특별시","2인","시도내-시군구내이동","건","3972",
"서울특별시","2인","시도내-시군구간전입","건","4403",
"서울특별시","2인","시도내-시군구간전출","건","4403",
"서울특별시","2인","시도간전입","건","2185",
"서울특별시","2인","시도간전출","건","4030",
"서울특별시","3인","총전입","건","8279",
"서울특별시","3인","총전출","건","9606",
"서울특별시","3인","순이동","건","-1327",
"서울특별시","3인","시도내-시군구내이동","건","3640",
"서울특별시","3인","시도내-시군구간전입","건","3367",
"서울특별시","3인","시도내-시군구간전출","건","3367",
"서울특별시","3인","시도간전입","건","1272",
"서울특별시","3인","시도간전출","건","2599",
"서울특별시","4인","총전입","건","6534",
"서울특별시","4인","총전출","건","7322",
"서울특별시","4인","순이동","건","-788",
"서울특별시","4인","시도내-시군구내이동","건","3253",
"서울특별시","4인","시도내-시군구간전입","건","2456",
"서울특별시","4인","시도내-시군구간전출","건","2456",
"서울특별시","4인","시도간전입","건","825",
"서울특별시","4인","시도간전출","건","1613",
"서울특별시","5인","총전입","건","1319",
"서울특별시","5인","총전출","건","1472",
"서울특별시","5인","순이동","건","-153",
"서울특별시","5인","시도내-시군구내이동","건","711",
"서울특별시","5인","시도내-시군구간전입","건","439",
"서울특별시","5인","시도내-시군구간전출","건","439",
"서울특별시","5인","시도간전입","건","169",
