,행정기관,전국  (0000000000000),서울특별시  (1100000000),부산광역시  (2600000000),대구광역시  (2700000000),인천광역시  (2800000000),광주광역시  (2900000000),대전광역시  (3000000000),울산광역시  (3100000000),경기도  (4100000000),강원도  (4200000000),충청북도  (4300000000),충청남도  (4400000000),전라북도  (4500000000),전라남도  (4600000000),경상북도  (4700000000),경상남도  (4800000000),제주특별자치도  (5000000000),
2008년01월,세대수,"18,721,576","4,054,493","1,302,391","885,410","997,976","504,514","526,393","381,843","4,192,984","595,111","575,234","798,402","702,086","766,250","1,046,540","1,179,819","212,130",
2008년02월,세대수,"18,758,432","4,063,444","1,304,171","886,796","1,000,370","505,337","527,121","382,870","4,202,192","596,425","576,627","800,715","703,172","766,853","1,047,492","1,182,268","212,579",
2008년03월,세대수,"18,769,915","4,064,117","1,303,348","886,308","1,001,175","505,326","526,884","383,509","4,204,362","597,641","577,538","802,618","703,819","767,948","1,048,684","1,184,012","212,626",
2008년04월,세대수,"18,800,520","4,070,294","1,304,963","887,087","1,003,780","505,888","527,496","384,450","4,214,771","598,960","578,742","801,827","704,522","768,846","1,049,854","1,186,073","212,967",
2008년05월,세대수,"18,825,958","4,074,917","1,305,456","887,599","1,005,724","506,327","527,917","385,159","4,224,675","600,063","580,013","802,367","704,877","769,145","1,050,606","1,187,968","213,145",
2008년06월,세대수,"18,843,468","4,075,336","1,305,575","887,349","1,007,585","506,956","527,995","385,442","4,231,393","601,594","580,901","803,595","705,598","769,677","1,051,300","1,189,819","213,353",
2008년07월,세대수,"18,874,775","4,080,453","1,306,862","888,625","1,009,869","508,108","528,616","386,268","4,241,665","602,580","581,916","804,931","706,266","770,343","1,052,193","1,192,385","213,695",
2008년08월,세대수,"18,901,557","4,084,567","1,307,764","889,848","1,011,078","508,972","529,355","387,200","4,251,427","603,187","583,134","805,985","706,884","770,839","1,053,107","1,194,447","213,763",
2008년09월,세대수,"18,933,297","4,089,495","1,308,991","891,440","1,012,444","510,116","529,990","388,011","4,261,760","604,201","584,603","807,536","707,834","771,532","1,054,465","1,196,942","213,937",
2008년10월,세대수,"18,965,400","4,094,350","1,310,342","892,849","1,013,104","511,325","530,811","388,876","4,272,292","605,201","586,107","809,060","708,828","772,224","1,056,030","1,199,856","214,145",
2008년11월,세대수,"18,988,564","4,096,637","1,311,302","894,280","1,013,834","512,052","531,466","389,310","4,280,197","606,317","586,929","810,284","709,718","772,729","1,057,219","1,201,877","214,413",
2008년12월,세대수,"19,005,339","4,097,562","1,311,724","894,969","1,014,755","513,021","531,682","389,735","4,284,475","606,950","587,411","812,871","710,550","773,087","1,058,099","1,203,767","214,681",
2009년01월,세대수,"19,002,793","4,097,606","1,310,710","895,374","1,014,274","512,952","531,775","389,634","4,283,844","606,401","587,426","812,958","710,362","773,064","1,057,591","1,204,053","214,769",
