○ 유형별 매매가격 대비 전세가격 비율 [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주택유형,지역,항목,단위,2012. 01 월,2012. 02 월,2012. 03 월,2012. 04 월,2012. 05 월,2012. 06 월,2012. 07 월,2012. 08 월,2012. 09 월,2012. 10 월,2012. 11 월,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월
아파트,전국,매매가격 대비 전세가격,,63.42326596,63.48840534,63.53677771,63.65111608,63.79381335,63.93760747,64.02303014,64.22057617,64.58220516,65.01082512,65.39475446,65.0067314,65.37509028,65.70192818,66.0657087,66.42027826,66.53378596,66.68215657,66.96885308,67.42466655,67.82491391,68.17274876,68.46006804,68.70328803,69.05989325,69.32865038,69.55751607,69.64861836,69.6895689,69.76015831,69.84409161,69.929335,70.01247451,70.09615046,70.2050329,70.33515967,70.45027573,70.57085069,70.72089258,70.90555465,71.02650233,71.14469742,72.88312199,72.93923879,73.05270661,73.15084119,73.31022863,73.44866123,73.5594074,73.73480767,73.87640913,74.03516155,74.14687286,74.30396763,74.38911,74.4486631,74.45368679,74.48464085,74.50244889,74.55563574,74.58101221,74.63375584,74.68892609,74.71059182,74.7036952,74.62881017,74.55262988,74.43867621,74.44128935,74.42420111,74.4098395,75.33813112,75.18496744,74.93986188,74.72630133,74.536188,74.3421362,74.18880728,74.05435575,73.92786804,73.66067901,73.51036437,73.43557842,73.36436185,71.59757139,71.55131267,71.51857437,71.49878392,71.50328523,71.48839645,71.4788155,71.48536377,71.51389807,71.5520747,71.56989756,71.49213362
아파트,수도권,매매가격 대비 전세가격,,56.60059433,56.73352688,56.85039827,56.95877101,57.11203774,57.33889656,57.45912337,57.73474275,58.3584386,59.05841623,59.5780213,59.23106648,59.74762749,60.18645344,60.68881718,61.14372738,61.23305888,61.42126982,61.89971291,62.63792211,63.2962846,63.86940852,64.3749886,64.80124421,65.39928915,65.84684825,66.22766789,66.36143149,66.43521004,66.55176518,66.7698868,66.93134719,67.08667635,67.24393906,67.45799556,67.71012494,67.93478514,68.16477099,68.42163922,68.74832862,68.98096546,69.20782476,71.99956051,72.12137359,72.335032,72.50472628,72.8126664,73.01814107,73.17122611,73.41551193,73.60140965,73.81088873,73.93408078,74.13778312,74.20351001,74.26587736,74.29331202,74.30639947,74.28643241,74.31602679,74.33635048,74.39616785,74.44460644,74.45964669,74.45046748,74.31707273,74.20685464,74.01984378,74.01578047,73.95315829,73.88087294,75.51036611,75.14229167,74.6183983,74.20029967,73.83696615,73.47464917,73.19225006,72.94153403,72.65667592,72.11916693,71.83963344,71.66676199,71.49460784,68.27044922,68.14975627,68.04341467,67.96094289,67.95155838,67.92457034,67.88161772,67.88408548,67.90327105,67.95430184,67.96114867,67.82156816
아파트,지방,매매가격 대비 전세가격,,70.26667495,70.26381511,70.24348026,70.3638024,70.49589808,70.55637503,70.60688777,70.72612314,70.82488874,70.98132624,71.22916746,70.81761141,71.03686455,71.25103158,71.47538393,71.71903899,71.85682464,71.96518722,72.05933008,72.23155916,72.37260495,72.49420244,72.56234222,72.62175618,72.73590541,72.82510798,72.90138012,72.94964154,72.95762588,72.98205607,72.9256563,72.93450022,72.94527725,72.95519027,72.95864687,72.96647894,72.9425108,72.95468636,72.99888952,73.04283728,73.05312837,73.06366383,73.73059878,73.72370234,73.74107136,73.77056874,73.78747039,73.86159893,73.93173536,74.04106336,74.14017762,74.25027507,74.3509745,74.46336515,74.56713007,74.62398386,74.60598151,74.65390202,74.70758198,74.78317264,74.81334733,74.8593736,74.92093636,74.94889376,74.94416473,74.92484157,74.88098418,74.83640691,74.84536013,74.87151171,74.91215551,75.17484599,75.22542564,75.24462125,75.22497035,75.19907616,75.16454598,75.13358037,75.10935186,75.13300515,75.12208944,75.09427904,75.11248177,75.13695775,74.72713293,74.75088863,74.78738316,74.82655208,74.84411469,74.84060674,74.86241589,74.87280237,74.91013029,74.93621602,74.96436317,74.9447452
아파트,6대광역시,매매가격 대비 전세가격,,67.79635684,67.79732866,67.92816938,68.08739412,68.27835554,68.34077485,68.40718582,68.55873216,68.7987044,69.02783657,69.36451828,68.78935906,69.04565586,69.32943209,69.63870869,69.92548418,70.0824228,70.22442781,70.39865151,70.70356796,70.95167859,71.14427473,71.31613741,71.46748743,71.60995351,71.7834335,71.9901836,72.03944368,72.06154598,72.09613361,72.11234869,72.12954405,72.15223534,72.18252603,72.2063629,72.22335815,72.13999397,72.16666669,72.23243778,72.3184741,72.35622537,72.38379972,73.45791754,73.46940615,73.49500982,73.51687753,73.55451604,73.63397994,73.73566618,73.88752038,73.99145274,74.10999773,74.22059085,74.30806746,74.3519858,74.3862025,74.30808057,74.29513896,74.28140008,74.28320477,74.30419347,74.38511813,74.43557212,74.49771866,74.52026316,74.51841898,74.48208493,74.38025835,74.3410314,74.31505782,74.32959235,74.76335412,74.71932125,74.65948136,74.59038839,74.51583168,74.36436824,74.32722886,74.26551984,74.23633216,74.16799264,74.04172555,73.94625359,73.83054083,73.26784959,73.25693199,73.26295924,73.2632332,73.282394,73.26649571,73.24554183,73.2274588,73.19270622,73.18213989,73.13619031,73.03252013
아파트,5대광역시,매매가격 대비 전세가격,,70.78787055,70.7159696,70.86035446,71.03904279,71.19917585,71.19958338,71.23691762,71.31823471,71.51291382,71.68013739,71.88278582,71.40056294,71.59539864,71.83224879,72.06108961,72.35769542,72.50925997,72.62248039,72.75306027,72.97177159,73.15662756,73.25577434,73.32760235,73.39677322,73.52854733,73.64288544,73.73729216,73.77069582,73.78069624,73.7928385,73.76262153,73.75968021,73.75307645,73.75309916,73.74071366,73.72900926,73.68231138,73.67177404,73.69631027,73.71196671,73.69161432,73.66707012,73.92955471,73.90198569,73.88638698,73.88883925,73.89727303,73.9822392,74.09346912,74.23856113,74.32542107,74.42393389,74.5144691,74.56968716,74.59317427,74.60102652,74.51375342,74.47837355,74.44603894,74.44089275,74.45917199,74.49180071,74.53812612,74.59075084,74.60463351,74.5808774,74.52823523,74.42452023,74.38646513,74.36380456,74.39490656,74.07120189,74.03592763,73.9883437,73.92803829,73.8646865,73.71383305,73.67779479,73.61765339,73.58989857,73.49752682,73.35830691,73.26850805,73.19171421,72.60099424,72.61702095,72.6562788,72.70355643,72.73460659,72.7405371,72.71279484,72.67583145,72.63445009,72.60008109,72.54167802,72.42279903
아파트,9개도,매매가격 대비 전세가격,,64.01825385,64.09102295,64.06776603,64.19468592,64.3025831,64.47124831,64.57239672,64.78983196,65.08481432,65.52880365,65.85500948,65.49098004,65.85573425,66.12027533,66.45779945,66.81627344,66.94293139,67.07466453,67.28881143,67.67425169,68.0419642,68.37819655,68.64224671,68.85978696,69.1945742,69.48355833,69.72220836,69.8413214,69.89350571,69.99243384,70.09979424,70.22713161,70.35550413,70.46860314,70.61076016,70.76613747,70.93439897,71.06978578,71.23601229,71.43993897,71.58538204,71.7273718,73.77478553,73.83942382,73.95723118,74.06882361,74.17974355,74.31515173,74.40094916,74.52535826,74.67752103,74.85942372,74.99310745,75.15477747,75.2868242,75.40437919,75.47609269,75.59072669,75.67006582,75.76758235,75.79618743,75.84457327,75.91146389,75.95634818,76.00198969,75.99261123,75.92649915,75.84223113,75.83740903,75.83618021,75.8296332,77.34240763,77.26362043,77.06607068,76.89138076,76.72370714,76.579277,76.41591021,76.27424528,76.16480677,75.95929788,75.80876679,75.70476658,75.6252488,74.58554162,74.55349678,74.53001057,74.49983772,74.49257175,74.4731326,74.47470056,74.50131441,74.57800561,74.69372488,74.79529864,74.80542699
아파트,8개도,매매가격 대비 전세가격,,69.80082824,69.85967762,69.69211563,69.76026983,69.86730559,69.98147283,70.04376456,70.19689144,70.20992915,70.35672602,70.64496075,70.37896333,70.61814505,70.80761676,71.02434674,71.2196968,71.34359321,71.44647344,71.50440018,71.62860114,71.72621484,71.86670894,71.93059571,71.97944417,72.05333485,72.12072729,72.18488023,72.25542529,72.26813032,72.30970204,72.24062855,72.27499541,72.31515934,72.33941819,72.35858769,72.38567213,72.43165495,72.46523761,72.52791607,72.59729375,72.63530844,72.67551787,73.82612646,73.83681311,73.88039951,73.93232462,73.95559361,74.02027409,74.05401125,74.12972504,74.23879724,74.35650538,74.46237964,74.61964458,74.78665159,74.87771293,74.99804982,75.11676109,75.24154606,75.38979709,75.43273284,75.4930885,75.58220176,75.64189715,75.70157205,75.73040998,75.70563078,75.71352483,75.75785351,75.82130716,75.86245724,76.61000014,76.72069879,76.80856781,76.82649081,76.83821015,76.92154698,76.91182869,76.93937754,77.01910221,77.08189171,77.13060467,77.19216847,77.26527324,77.15354934,77.17409188,77.21198703,77.2614728,77.27654234,77.27588183,77.34341284,77.39857318,77.5025769,77.57819647,77.67260649,77.73279017
아파트,서울,매매가격 대비 전세가격,,54.2711726,54.4213579,54.54652259,54.54743331,54.71363944,54.91954624,54.98963525,55.20474357,55.97176634,56.68991704,57.32712949,57.19412638,57.76206676,58.34453907,58.87608918,59.2956284,59.29266822,59.5010861,60.1963899,61.1165531,61.87160294,62.51993382,63.07569291,63.55274951,64.30659816,64.67967165,64.92456281,65.0160364,65.06527241,65.12105187,65.26244906,65.35937852,65.42993814,65.52442377,65.68078181,65.93118138,66.15393352,66.39701466,66.64794802,66.94857932,67.14182229,67.34439237,69.41666384,69.52611753,69.78093343,69.97200351,70.50574058,70.76049987,70.96705715,71.34519944,71.52011939,71.67365752,71.71133689,71.97141728,71.96900512,71.87451973,71.8836225,71.71768871,71.58469323,71.59000402,71.61675188,71.63768706,71.68679954,71.64721992,71.54893759,71.19905549,71.03571493,70.80243745,70.896352,70.83381126,70.72655825,70.689959,70.06895324,69.34495832,68.74251809,68.27445383,67.8660774,67.55954249,67.3478208,67.00483975,66.17638398,65.94651194,65.91759415,65.88549633,59.36119928,59.18162194,59.04925496,59.05408679,59.08599451,59.10637399,59.08488461,59.07684411,59.05888677,58.92294418,58.76294285,58.42601419
아파트,강북권역,매매가격 대비 전세가격,,57.8377047,57.99506257,58.02675696,58.03568255,58.1341301,58.20582534,58.22644404,58.42987223,58.92422915,59.44767354,59.92481054,60.12905079,60.57101166,61.19311089,61.85093594,62.34960636,62.52030992,62.67969032,63.23642563,64.11474385,64.96348573,65.55235785,66.24671046,66.68427864,67.2052833,67.57709777,67.91973802,68.12727917,68.25220681,68.36699318,68.57211847,68.73975398,68.88456945,69.03495007,69.20006243,69.40865759,69.61290497,69.78740985,70.00350629,70.30770465,70.49075237,70.66338011,72.57340857,72.7351311,73.03708549,73.33312409,73.69239381,73.94698373,74.13013929,74.27392201,74.40002976,74.49088038,74.59543193,74.70206711,74.77271221,74.74048465,74.70082395,74.60654687,74.50505603,74.49208881,74.50358199,74.53081529,74.5507626,74.51260225,74.38718897,74.04358874,73.71100771,73.4540853,73.53184525,73.500324,73.42015795,73.95487533,73.62595395,73.13706593,72.69361804,72.41622711,72.1453317,71.84458934,71.56930084,71.11537236,70.22638589,69.91606562,69.81603093,69.78883417,61.6982316,61.60283636,61.45854866,61.42550859,61.46275183,61.48922255,61.47106482,61.43624646,61.37029681,61.21910177,61.05570232,60.88691498
아파트,도심권,매매가격 대비 전세가격,,50.52082242,50.52082242,50.6833026,50.69743501,50.83258715,50.88012156,51.02002229,51.41157035,51.51840751,51.69518214,52.52470269,52.25469609,52.57634435,52.86789067,53.52883054,54.37637519,54.65947543,54.91088737,55.47183695,56.37479846,56.85934225,57.58720923,58.28004114,58.65598772,59.4198982,59.81902023,60.1436766,60.45849599,60.67210738,60.89528382,61.05267458,61.2085768,61.39685616,61.5084279,61.58775035,61.98745058,62.32810558,62.48806781,62.6693199,62.82997521,62.88417701,63.0137437,65.88164943,65.9718094,66.04211001,66.23216316,66.3579855,66.44254178,66.50767329,66.58386656,66.67470509,66.72572787,66.83157368,66.8600558,66.91628753,66.89209253,66.82629212,66.81091552,66.81793264,66.85283598,66.87853386,66.92565378,66.93783418,66.92125044,66.87572299,66.60630957,66.39842058,66.09044015,66.13516542,66.1211857,66.0357386,65.96849984,65.39846659,64.35810359,63.7037267,63.33242899,63.0327086,62.84901441,62.50479995,61.76736968,61.13152735,60.93582582,60.79451908,60.67348708,54.99202334,54.90766236,54.78389996,54.74362495,54.72465405,54.70893791,54.64683228,54.55067542,54.46855137,54.30467189,54.18014288,54.05940709
