날짜,현재가,변동 %,,,
2006년 1월,"1,399.83",1.48%,,,
2006년 2월,"1,371.59",-2.02%,,,
2006년 3월,"1,359.60",-0.87%,,,
2006년 4월,"1,419.73",4.42%,,,
2006년 5월,"1,317.70",-7.19%,,,
2006년 6월,"1,295.15",-1.71%,,,
2006년 7월,"1,297.82",0.21%,,,
2006년 8월,"1,352.74",4.23%,,,
2006년 9월,"1,371.41",1.38%,,,
2006년 10월,"1,364.55",-0.50%,,,
2006년 11월,"1,432.21",4.96%,,,
2006년 12월,"1,434.46",0.16%,,,
2007년 10월,"2,064.85",6.08%,,,
2007년 11월,"1,906.00",-7.69%,,,
2007년 12월,"1,897.13",-0.47%,,,
2007년 1월,"1,360.23",-5.17%,,,
2007년 2월,"1,417.34",4.20%,,,
2007년 3월,"1,452.55",2.48%,,,
2007년 4월,"1,542.24",6.17%,,,
2007년 5월,"1,700.91",10.29%,,,
2007년 6월,"1,743.60",2.51%,,,
2007년 7월,"1,933.27",10.88%,,,
2007년 8월,"1,873.24",-3.11%,,,
2007년 9월,"1,946.48",3.91%,,,
2008년 10월,"1,113.06",-23.13%,,,
2008년 11월,"1,076.07",-3.32%,,,
2008년 12월,"1,124.47",4.50%,,,
2008년 1월,"1,624.68",-14.36%,,,
2008년 2월,"1,711.62",5.35%,,,
2008년 3월,"1,703.99",-0.45%,,,
2008년 4월,"1,825.47",7.13%,,,
2008년 5월,"1,852.02",1.45%,,,
2008년 6월,"1,674.92",-9.56%,,,
2008년 7월,"1,594.67",-4.79%,,,
2008년 8월,"1,474.24",-7.55%,,,
2008년 9월,"1,448.06",-1.78%,,,
2009년 10월,"1,580.69",-5.53%,,,
2009년 11월,"1,555.60",-1.59%,,,
2009년 12월,"1,682.77",8.17%,,,
2009년 1월,"1,162.11",3.35%,,,
2009년 2월,"1,063.03",-8.53%,,,
2009년 3월,"1,206.26",13.47%,,,
2009년 4월,"1,369.36",13.52%,,,
2009년 5월,"1,395.89",1.94%,,,
2009년 6월,"1,390.07",-0.42%,,,
2009년 7월,"1,557.29",12.03%,,,
2009년 8월,"1,591.85",2.22%,,,
2009년 9월,"1,673.14",5.11%,,,
2010년 10월,"1,882.95",0.54%,,,
2010년 11월,"1,904.63",1.15%,,,
2010년 12월,"2,051.00",7.68%,,,
2010년 1월,"1,602.43",-4.77%,,,
2010년 2월,"1,594.58",-0.49%,,,
2010년 3월,"1,692.85",6.16%,,,
2010년 4월,"1,741.56",2.88%,,,
2010년 5월,"1,641.25",-5.76%,,,
2010년 6월,"1,698.29",3.48%,,,
2010년 7월,"1,759.33",3.59%,,,
2010년 8월,"1,742.75",-0.94%,,,
2010년 9월,"1,872.81",7.46%,,,
2011년 10월,"1,909.03",7.88%,,,
2011년 11월,"1,847.51",-3.22%,,,
2011년 12월,"1,825.74",-1.18%,,,
2011년 1월,"2,069.73",0.91%,,,
2011년 2월,"1,939.30",-6.30%,,,
2011년 3월,"2,106.70",8.63%,,,
2011년 4월,"2,192.36",4.07%,,,
2011년 5월,"2,142.47",-2.28%,,,
2011년 6월,"2,100.69",-1.95%,,,
2011년 7월,"2,133.21",1.55%,,,
2011년 8월,"1,880.11",-11.86%,,,
2011년 9월,"1,769.65",-5.88%,,,
2012년 10월,"1,912.06",-4.22%,,,
2012년 11월,"1,932.90",1.09%,,,
2012년 12월,"1,997.05",3.32%,,,
2012년 1월,"1,955.79",7.12%,,,
2012년 2월,"2,030.25",3.81%,,,
2012년 3월,"2,014.04",-0.80%,,,
2012년 4월,"1,981.99",-1.59%,,,
2012년 5월,"1,843.47",-6.99%,,,
2012년 6월,"1,854.01",0.57%,,,
2012년 7월,"1,881.99",1.51%,,,
2012년 8월,"1,905.12",1.23%,,,
2012년 9월,"1,996.21",4.78%,,,
2013년 10월,"2,030.09",1.66%,,,
2013년 11월,"2,044.87",0.73%,,,
2013년 12월,"2,011.34",-1.64%,,,
2013년 1월,"1,961.94",-1.76%,,,
2013년 2월,"2,026.49",3.29%,,,
2013년 3월,"2,004.89",-1.07%,,,
2013년 4월,"1,963.95",-2.04%,,,
2013년 5월,"2,001.05",1.89%,,,
2013년 6월,"1,863.32",-6.88%,,,
2013년 7월,"1,914.03",2.72%,,,
2013년 8월,"1,926.36",0.64%,,,
2013년 9월,"1,996.96",3.66%,,,
2014년 10월,"1,964.43",-2.76%,,,
2014년 11월,"1,980.78",0.83%,,,
2014년 12월,"1,915.59",-3.29%,,,
2014년 1월,"1,941.15",-3.49%,,,
2014년 2월,"1,979.99",2.00%,,,
2014년 3월,"1,985.61",0.28%,,,
2014년 4월,"1,961.79",-1.20%,,,
2014년 5월,"1,994.96",1.69%,,,
2014년 6월,"2,002.21",0.36%,,,
2014년 7월,"2,076.12",3.69%,,,
2014년 8월,"2,068.54",-0.37%,,,
2014년 9월,"2,020.09",-2.34%,,,
2015년 10월,"2,029.47",3.40%,,,
2015년 11월,"1,991.97",-1.85%,,,
2015년 12월,"1,961.31",-1.54%,,,
2015년 1월,"1,949.26",1.76%,,,
2015년 2월,"1,985.80",1.87%,,,
2015년 3월,"2,041.03",2.78%,,,
2015년 4월,"2,127.17",4.22%,,,
2015년 5월,"2,114.80",-0.58%,,,
2015년 6월,"2,074.20",-1.92%,,,
2015년 7월,"2,030.16",-2.12%,,,
2015년 8월,"1,941.49",-4.37%,,,
2015년 9월,"1,962.81",1.10%,,,
2016년 10월,"2,008.19",-1.73%,,,
2016년 11월,"1,983.48",-1.23%,,,
2016년 12월,"2,026.46",2.17%,,,
2016년 1월,"1,912.06",-2.51%,,,
2016년 2월,"1,916.66",0.24%,,,
2016년 3월,"1,995.85",4.13%,,,
2016년 4월,"1,994.15",-0.09%,,,
2016년 5월,"1,983.40",-0.54%,,,
2016년 6월,"1,970.35",-0.66%,,,
2016년 7월,"2,016.19",2.33%,,,
2016년 8월,"2,034.65",0.92%,,,
2016년 9월,"2,043.63",0.44%,,,
2017년 10월,"2,523.43",5.39%,,,
2017년 11월,"2,476.37",-1.86%,,,
2017년 12월,"2,467.49",-0.36%,,,
2017년 1월,"2,067.57",2.03%,,,
2017년 2월,"2,091.64",1.16%,,,
2017년 3월,"2,160.23",3.28%,,,
2017년 4월,"2,205.44",2.09%,,,
2017년 5월,"2,347.38",6.44%,,,
2017년 6월,"2,391.79",1.89%,,,
2017년 7월,"2,402.71",0.46%,,,
2017년 8월,"2,363.19",-1.64%,,,
2017년 9월,"2,394.47",1.32%,,,
2018년 10월,"2,029.69",-13.37%,,,
2018년 11월,"2,096.86",3.31%,,,
2018년 12월,"2,041.04",-2.66%,,,
2018년 1월,"2,566.46",4.01%,,,
2018년 2월,"2,427.36",-5.42%,,,
2018년 3월,"2,445.85",0.76%,,,
2018년 4월,"2,515.38",2.84%,,,
2018년 5월,"2,423.01",-3.67%,,,
2018년 6월,"2,326.13",-4.00%,,,
2018년 7월,"2,295.26",-1.33%,,,
2018년 8월,"2,322.88",1.20%,,,
2018년 9월,"2,343.07",0.87%,,,
2019년 10월,"2,083.48",0.99%,,,
2019년 11월,"2,087.96",0.22%,,,
2019년 12월,"2,197.67",5.25%,,,
2019년 1월,"2,204.85",8.03%,,,
2019년 2월,"2,195.44",-0.43%,,,
2019년 3월,"2,140.67",-2.49%,,,
2019년 4월,"2,203.59",2.94%,,,
2019년 5월,"2,041.74",-7.34%,,,
2019년 6월,"2,130.62",4.35%,,,
2019년 7월,"2,024.55",-4.98%,,,
2019년 8월,"1,967.79",-2.80%,,,
2019년 9월,"2,063.05",4.84%,,,
2020년 1월,"2,267.25",3.17%,,,
