날짜,현재가,변동 %,,,
2020년 01월 19일,"2,267.25",0.74%,,,
2020년 01월 12일,"2,250.57",2.00%,,,
2020년 01월 05일,"2,206.39",1.38%,,,
2019년 12월 29일,"2,176.46",-1.26%,,,
2019년 12월 22일,"2,204.21",0.00%,,,
2019년 12월 15일,"2,204.18",1.56%,,,
2019년 12월 08일,"2,170.25",4.25%,,,
2019년 12월 01일,"2,081.85",-0.29%,,,
2019년 11월 24일,"2,087.96",-0.67%,,,
2019년 11월 17일,"2,101.96",-2.79%,,,
2019년 11월 10일,"2,162.18",1.17%,,,
2019년 11월 03일,"2,137.23",1.76%,,,
2019년 10월 27일,"2,100.20",0.59%,,,
2019년 10월 20일,"2,087.89",1.32%,,,
2019년 10월 13일,"2,060.69",0.79%,,,
2019년 10월 06일,"2,044.61",1.18%,,,
2019년 09월 29일,"2,020.69",-1.43%,,,
2019년 09월 22일,"2,049.93",-1.99%,,,
2019년 09월 15일,"2,091.52",2.07%,,,
2019년 09월 08일,"2,049.20",1.99%,,,
2019년 09월 01일,"2,009.13",2.10%,,,
2019년 08월 25일,"1,967.79",1.00%,,,
2019년 08월 18일,"1,948.30",1.10%,,,
2019년 08월 11일,"1,927.17",-0.55%,,,
2019년 08월 04일,"1,937.75",-3.02%,,,
2019년 07월 28일,"1,998.13",-3.30%,,,
2019년 07월 21일,"2,066.26",-1.34%,,,
2019년 07월 14일,"2,094.36",0.37%,,,
2019년 07월 07일,"2,086.66",-1.13%,,,
2019년 06월 30일,"2,110.59",-0.94%,,,
2019년 06월 23일,"2,130.62",0.24%,,,
2019년 06월 16일,"2,125.62",1.44%,,,
2019년 06월 09일,"2,095.41",1.11%,,,
2019년 06월 02일,"2,072.33",1.50%,,,
2019년 05월 26일,"2,041.74",-0.17%,,,
2019년 05월 19일,"2,045.31",-0.51%,,,
2019년 05월 12일,"2,055.80",-2.48%,,,
2019년 05월 05일,"2,108.04",-4.02%,,,
2019년 04월 28일,"2,196.32",0.78%,,,
2019년 04월 21일,"2,179.31",-1.66%,,,
2019년 04월 14일,"2,216.15",-0.77%,,,
2019년 04월 07일,"2,233.45",1.08%,,,
2019년 03월 31일,"2,209.61",3.22%,,,
2019년 03월 24일,"2,140.67",-2.12%,,,
2019년 03월 17일,"2,186.95",0.50%,,,
2019년 03월 10일,"2,176.11",1.81%,,,
2019년 03월 03일,"2,137.44",-2.64%,,,
2019년 02월 24일,"2,195.44",-1.57%,,,
2019년 02월 17일,"2,230.50",1.57%,,,
2019년 02월 10일,"2,196.09",0.87%,,,
2019년 02월 03일,"2,177.05",-1.20%,,,
2019년 01월 27일,"2,203.46",1.18%,,,
2019년 01월 20일,"2,177.73",2.52%,,,
2019년 01월 13일,"2,124.28",2.35%,,,
2019년 01월 06일,"2,075.57",3.25%,,,
2018년 12월 30일,"2,010.25",-1.51%,,,
2018년 12월 23일,"2,041.04",-0.99%,,,
2018년 12월 16일,"2,061.49",-0.38%,,,
2018년 12월 09일,"2,069.38",-0.31%,,,
2018년 12월 02일,"2,075.76",-1.01%,,,
2018년 11월 25일,"2,096.86",1.91%,,,
2018년 11월 18일,"2,057.48",-1.67%,,,
2018년 11월 11일,"2,092.40",0.30%,,,
2018년 11월 04일,"2,086.09",-0.47%,,,
2018년 10월 28일,"2,096.00",3.40%,,,
2018년 10월 21일,"2,027.15",-5.99%,,,
2018년 10월 14일,"2,156.26",-0.26%,,,
2018년 10월 07일,"2,161.85",-4.66%,,,
2018년 09월 30일,"2,267.52",-3.22%,,,
2018년 09월 23일,"2,343.07",0.17%,,,
2018년 09월 16일,"2,339.17",0.90%,,,
2018년 09월 09일,"2,318.25",1.61%,,,
2018년 09월 02일,"2,281.58",-1.78%,,,
2018년 08월 26일,"2,322.88",1.29%,,,
2018년 08월 19일,"2,293.21",2.05%,,,
2018년 08월 12일,"2,247.05",-1.57%,,,
2018년 08월 05일,"2,282.79",-0.21%,,,
2018년 07월 29일,"2,287.68",-0.32%,,,
2018년 07월 22일,"2,294.99",0.25%,,,
2018년 07월 15일,"2,289.19",-0.94%,,,
2018년 07월 08일,"2,310.90",1.67%,,,
2018년 07월 01일,"2,272.87",-2.29%,,,
2018년 06월 24일,"2,326.13",-1.32%,,,
2018년 06월 17일,"2,357.22",-1.95%,,,
2018년 06월 10일,"2,404.04",-1.94%,,,
2018년 06월 03일,"2,451.58",0.52%,,,
2018년 05월 27일,"2,438.96",-0.89%,,,
2018년 05월 20일,"2,460.80",0.01%,,,
2018년 05월 13일,"2,460.65",-0.69%,,,
2018년 05월 06일,"2,477.71",0.66%,,,
2018년 04월 29일,"2,461.38",-1.24%,,,
2018년 04월 22일,"2,492.40",0.65%,,,
2018년 04월 15일,"2,476.33",0.87%,,,
2018년 04월 08일,"2,455.07",1.05%,,,
2018년 04월 01일,"2,429.58",-0.67%,,,
2018년 03월 25일,"2,445.85",1.20%,,,
2018년 03월 18일,"2,416.76",-3.10%,,,
2018년 03월 11일,"2,493.97",1.40%,,,
2018년 03월 04일,"2,459.45",2.38%,,,
2018년 02월 25일,"2,402.16",-2.01%,,,
2018년 02월 18일,"2,451.52",1.23%,,,
2018년 02월 11일,"2,421.83",2.46%,,,
