연번,시도,시군구,읍면동,우편번호,주    소
1,경상남도,창원시 의창구,동읍 행정복지센터,51128,경상남도 창원시 의창구 동읍 동읍로 88
2,경상남도,창원시 의창구,북면 행정복지센터,51103,경상남도 창원시 의창구 북면 천주로 1085
3,경상남도,창원시 의창구,대산면 행정복지센터,51124,경상남도 창원시 의창구 대산면 주남로 577
4,경상남도,창원시 의창구,의창동 행정복지센터,51194,경상남도 창원시 의창구 서상로12번길 83-9
5,경상남도,창원시 의창구,팔룡동 행정복지센터,51374,경상남도 창원시 의창구 팔용로 435
6,경상남도,창원시 의창구,명곡동 행정복지센터,51168,경상남도 창원시 의창구 태복산로15번길 8
7,경상남도,창원시 의창구,봉림동 행정복지센터,51157,경상남도 창원시 의창구 대봉로26번길 5
8,경상남도,창원시 의창구,용지동 행정복지센터,51431,경상남도 창원시 의창구 용지로239번길 19-4
9,경상남도,창원시 성산구,반송동 행정복지센터,51427,경상남도 창원시 성산구 원이대로473번길 19-14
10,경상남도,창원시 성산구,중앙동 행정복지센터,51524,경상남도 창원시 성산구 외동반림로 5
11,경상남도,창원시 성산구,상남동 행정복지센터,51502,경상남도 창원시 성산구 동산로 73
12,경상남도,창원시 성산구,사파동 행정복지센터,51461,경상남도 창원시 성산구 대암로 109
13,경상남도,창원시 성산구,가음정동 행정복지센터,51484,경상남도 창원시 성산구 가음로13번길 31
14,경상남도,창원시 성산구,성주동 행정복지센터,51539,경상남도 창원시 성산구 공단로 735
15,경상남도,창원시 성산구,웅남동 행정복지센터,51563,경상남도 창원시 성산구 신촌로 50
16,경상남도,창원시 마산합포구,구산면 행정복지센터,51779,경상남도 창원시 마산합포구 구산면 구산로 554
17,경상남도,창원시 마산합포구,진동면 행정복지센터,51792,경상남도 창원시 마산합포구 진동면 신서촌로 11
18,경상남도,창원시 마산합포구,진북면 행정복지센터,51794,경상남도 창원시 마산합포구 진북면 지산5길 80
19,경상남도,창원시 마산합포구,진전면 행정복지센터,51797,경상남도 창원시 마산합포구 진전면 대실로 155
20,경상남도,창원시 마산합포구,현동 행정복지센터,51777,경상남도 창원시 마산합포구 덕동길 93
21,경상남도,창원시 마산합포구,가포동 행정복지센터,51755,경상남도 창원시 마산합포구 가포해안길 33
22,경상남도,창원시 마산합포구,월영동 행정복지센터,51769,경상남도 창원시 마산합포구 월영남1길 13
23,경상남도,창원시 마산합포구,문화동 행정복지센터,51764,경상남도 창원시 마산합포구 문화남5길 36
24,경상남도,창원시 마산합포구,반월중앙동 행정복지센터,51761,경상남도 창원시 마산합포구 중앙남5길 45
25,경상남도,창원시 마산합포구,완월동 행정복지센터,51264,경상남도 창원시 마산합포구 완월동11길 6
26,경상남도,창원시 마산합포구,자산동 행정복지센터,51254,경상남도 창원시 마산합포구 자산동5길 1
27,경상남도,창원시 마산합포구,오동동 행정복지센터,51731,경상남도 창원시 마산합포구 동서북4길 13
28,경상남도,창원시 마산합포구,교방동 행정복지센터,51276,경상남도 창원시 마산합포구 교방동5길 18
29,경상남도,창원시 마산합포구,노산동 행정복지센터,51273,경상남도 창원시 마산합포구 노산남6길 45
30,경상남도,창원시 마산합포구,합포동 행정복지센터,51334,경상남도 창원시 마산합포구 허당로 31
31,경상남도,창원시 마산합포구,산호동 행정복지센터,51331,경상남도 창원시 마산합포구 산호남로 60
32,경상남도,창원시 마산회원구,내서읍 행정복지센터,51229,경상남도 창원시 마산회원구 내서읍 중리상곡로 65
33,경상남도,창원시 마산회원구,회원1동 행정복지센터,51297,경상남도 창원시 마산회원구 회원동11길 7
34,경상남도,창원시 마산회원구,회원2동 행정복지센터,51295,경상남도 창원시 마산회원구 회원남로 74
35,경상남도,창원시 마산회원구,석전동 행정복지센터,51304,경상남도 창원시 마산회원구 석전동4길 52 
36,경상남도,창원시 마산회원구,회성동 행정복지센터,51311,경상남도 창원시 마산회원구 북성로 327
37,경상남도,창원시 마산회원구,양덕1동 행정복지센터,51364,경상남도 창원시 마산회원구 팔용로 25
38,경상남도,창원시 마산회원구,양덕2동 행정복지센터,51366,경상남도 창원시 마산회원구 율림교로 3
39,경상남도,창원시 마산회원구,합성1동 행정복지센터,51209,경상남도 창원시 마산회원구 합성서3길 21
40,경상남도,창원시 마산회원구,합성2동 행정복지센터,51357,경상남도 창원시 마산회원구 합성남8길 46
41,경상남도,창원시 마산회원구,구암1동 행정복지센터,51206,경상남도 창원시 마산회원구 구암서2길 95
42,경상남도,창원시 마산회원구,구암2동 행정복지센터,51350,경상남도 창원시 마산회원구 구암남16길 12
43,경상남도,창원시 마산회원구,봉암동 행정복지센터,51342,경상남도 창원시 마산회원구 봉양로 148
44,경상남도,창원시 진해구,중앙동 행정복지센터,51676,경상남도 창원시 진해구 충무로 69
45,경상남도,창원시 진해구,태평동 행정복지센터,51703,경상남도 창원시 진해구 태평로 26
46,경상남도,창원시 진해구,충무동 행정복지센터,51679,경상남도 창원시 진해구 중원로74번길 6
47,경상남도,창원시 진해구,여좌동 행정복지센터,51689,경상남도 창원시 진해구 여명로 77
48,경상남도,창원시 진해구,태백동 행정복지센터,51666,경상남도 창원시 진해구 중초로9번길 38
49,경상남도,창원시 진해구,경화동 행정복지센터,51670,경상남도 창원시 진해구 경화로8번길 5
50,경상남도,창원시 진해구,병암동 행정복지센터,51670,경상남도 창원시 진해구 경화로16번길 31
51,경상남도,창원시 진해구,석동 행정복지센터,51586,경상남도 창원시 진해구 돌리로 3
52,경상남도,창원시 진해구,이동 행정복지센터,51663,경상남도 창원시 진해구 냉천로12번길 9
53,경상남도,창원시 진해구,자은동 행정복지센터,51647,경상남도 창원시 진해구 덕산로51번길 12
54,경상남도,창원시 진해구,덕산동 행정복지센터 ,51648,경상남도 창원시 진해구 동진로157번길 5
55,경상남도,창원시 진해구,풍호동 행정복지센터,51654,경상남도 창원시 진해구 진해대로1034번길 6
56,경상남도,창원시 진해구,웅천동 행정복지센터,51621,경상남도 창원시 진해구 웅천중로 59
57,경상남도,창원시 진해구,웅동1동 행정복지센터,51598,경상남도 창원시 진해구 웅동로57번가길 6
58,경상남도,창원시 진해구,웅동2동 행정복지센터,51604,경상남도 창원시 진해구 용재로 46
59,경상남도,진주시,문산읍사무소,52834,경상남도 진주시 문산읍 동부로587번길 12
60,경상남도,진주시,내동면사무소,52849,경상남도 진주시 내동면 순환로 389
61,경상남도,진주시,정촌면사무소,52845,경상남도 진주시 정촌면 정촌로 57
62,경상남도,진주시,금곡면사무소,52843,경상남도 진주시 금곡면 월아산로 140
63,경상남도,진주시,진성면사무소,52621,경상남도 진주시 진성면 동부로 1329
64,경상남도,진주시,일반성면사무소,52616,경상남도 진주시 일반성면 동부로1959번길 2
65,경상남도,진주시,이반성면사무소,52614,경상남도 진주시 이반성면 오봉산로 719
66,경상남도,진주시,사봉면사무소,52611,경상남도 진주시 사봉면 사군로 105
67,경상남도,진주시,지수면사무소,52610,경상남도 진주시 지수면 지수로 483
68,경상남도,진주시,대곡면사무소,52607,경상남도 진주시 대곡면 진의로 1094
69,경상남도,진주시,금산면사무소,52630,경상남도 진주시 금산면 금산로 107
70,경상남도,진주시,집현면사무소,52639,경상남도 진주시 집현면 진산로 697
71,경상남도,진주시,미천면사무소,52602,경상남도 진주시 미천면 오방로 731
72,경상남도,진주시,명석면사무소,52642,경상남도 진주시 명석면 광제산로 37
73,경상남도,진주시,대평면사무소,52643,경상남도 진주시 대평면 한들길 44
74,경상남도,진주시,수곡면사무소,52645,경상남도 진주시 수곡면 곤수로 972
75,경상남도,진주시,천전동행정복지센터,52714,경상남도 진주시 망경남길 30
76,경상남도,진주시,성북동행정복지센터,52682,경상남도 진주시 진주대로1143번길 3
77,경상남도,진주시,중앙동행정복지센터,52758,경상남도 진주시 진주대로1032번길 14
78,경상남도,진주시,상봉동행정복지센터,52662,경상남도 진주시 창렬로162번길 9
79,경상남도,진주시,상대동행정복지센터,52784,경상남도 진주시 동진로 189
80,경상남도,진주시,하대동행정복지센터,52766,경상남도 진주시 모덕로 305
81,경상남도,진주시,상평동행정복지센터,52805,경상남도 진주시 솔밭로80번길 18
82,경상남도,진주시,초장동행정복지센터,52734,경상남도 진주시 초장로14번길 14
83,경상남도,진주시,평거동행정복지센터,52699,경상남도 진주시 평거로40번길 5
84,경상남도,진주시,신안동행정복지센터,52695,경상남도 진주시 진양호로 360
85,경상남도,진주시,이현동행정복지센터,52668,경상남도 진주시 평거로 287
86,경상남도,진주시,판문동행정복지센터,52704,경상남도 진주시 새평거로 55
87,경상남도,진주시,가호동행정복지센터,52822,경상남도 진주시 가좌길74번길 9
88,경상남도,진주시,충무공동행정복지센터,52853,경상남도 진주시 충의로 145
89,경상남도,통영시,산양읍사무소,53083,경상남도 통영시 산양읍 산양일주로 1683-25
90,경상남도,통영시,용남면사무소,53027,경상남도 통영시 용남면 달포큰길 28
91,경상남도,통영시,도산면사무소,53003,경상남도 통영시 도산면 도산일주로 30-2
92,경상남도,통영시,광도면행정복지센터,53012,경상남도 통영시 광도면 노산길 115
93,경상남도,통영시,욕지면사무소,53100,경상남도 통영시 욕지면 중촌길 193
94,경상남도,통영시,한산면사무소,53092,경상남도 통영시 한산면 한산일주로 844
95,경상남도,통영시,사량면사무소,53103,경상남도 통영시 사량면 상도일주로 1580-13
96,경상남도,통영시,도천동행정복지센터,53064,경상남도 통영시 평인일주로 36
97,경상남도,통영시,명정동주민센터,53061,경상남도 통영시 충렬로 6
98,경상남도,통영시,중앙동주민센터,53052,경상남도 통영시 동문로 28-1
99,경상남도,통영시,정량동주민센터,53051,경상남도 통영시 장좌로 28
100,경상남도,통영시,북신동행정복지센터,53046,경상남도 통영시 여황로 403-6
101,경상남도,통영시,무전동주민센터,53037,경상남도 통영시 안개4길 53
102,경상남도,통영시,미수동주민센터,53070,경상남도 통영시 미수해안로 51-5
103,경상남도,통영시,봉평동행정복지센터,53074,경상남도 통영시 도남로 185
104,경상남도,사천시,사천읍행정복지센터,52516,경상남도 사천시 사천읍 무산로 21
105,경상남도,사천시,정동면행정복지센터,52523,경상남도 사천시 정동면 상정대로 2540-39
106,경상남도,사천시,사남면행정복지센터,52536,경상남도 사천시 사남면 진삼로 1108
107,경상남도,사천시,용현면행정복지센터,52539,경상남도 사천시 용현면 진삼로 637
108,경상남도,사천시,축동면행정복지센터,52510,경상남도 사천시 축동면 길평1길 20
109,경상남도,사천시,곤양면행정복지센터,52504,경상남도 사천시 곤양면 성내공원길 11
110,경상남도,사천시,곤명면행정복지센터,52500,경상남도 사천시 곤명면 원전새길 64
111,경상남도,사천시,서포면행정복지센터,52543,경상남도 사천시 서포면 자구로 465-17
112,경상남도,사천시,동서동행정복지센터,52569,경상남도 사천시 수남길 102(서동)
113,경상남도,사천시,선구동행정복지센터,52557,경상남도 사천시 각산로 22(선구동)
114,경상남도,사천시,동서금동행정복지센터,52566,경상남도 사천시 동금로 27(동금동)
115,경상남도,사천시,벌용동행정복지센터,52552,경상남도 사천시 벌용길 60(벌리동)
116,경상남도,사천시,향촌동행정복지센터,52563,경상남도 사천시 향촌5길 28(향촌동)
117,경상남도,사천시,남양동행정복지센터,52547,경상남도 사천시 임내안길 65(송포동)
118,경상남도,김해시,진영읍행정복지센터,50865,경상남도 김해시 진영읍 여래로20번길 11
119,경상남도,김해시,주촌면사무소,50968,경상남도 김해시 주촌면 서부로1638번길 12
120,경상남도,김해시,진례면사무소,50874,경상남도 김해시 진례면 진례로 241
121,경상남도,김해시,한림면사무소,50848,경상남도 김해시 한림면 한림로 369
122,경상남도,김해시,생림면사무소,50801,경상남도 김해시 생림면 봉림로 40
123,경상남도,김해시,상동면사무소,50805,경상남도 김해시 상동면 상동로 554
124,경상남도,김해시,대동면주민센터,50809,경상남도 김해시 대동면 대동로 610
125,경상남도,김해시,동상동행정복지센터,50915,경상남도 김해시 호계로517번길 8
126,경상남도,김해시,회현동행정복지센터,50920,경상남도 김해시 가락로63번길 33
127,경상남도,김해시,부원동행정복지센터,50924,경상남도 김해시 김해대로2371번길 24-16
128,경상남도,김해시,내외동행정복지센터,50952,경상남도 김해시 내외로 67
129,경상남도,김해시,북부동행정복지센터,50901,경상남도 김해시 해반천로 160
130,경상남도,김해시,칠산서부동행정복지센터,50939,경상남도 김해시 전하로208번길 7-13
131,경상남도,김해시,활천동행정복지센터,50933,경상남도 김해시 인제로11번길 51
132,경상남도,김해시,삼안동행정복지센터,50818,경상남도 김해시 활천로255번길 12
133,경상남도,김해시,불암동행정복지센터,50937,경상남도 김해시 식만로 388
134,경상남도,김해시,장유1동행정복지센터,50983,경상남도 김해시 금관대로 579
135,경상남도,김해시,장유2동행정복지센터,50986,경상남도 김해시 능동로 43
136,경상남도,김해시,장유3동행정복지센터,51005,경상남도 김해시 관동로 25
137,경상남도,밀양시,삼랑진읍행정복지센터,50467,경상남도 밀양시 삼랑진읍 외송중앙길 6
138,경상남도,밀양시,하남읍행정복지센터,50460,경상남도 밀양시 하남읍 수산중앙로 53
139,경상남도,밀양시,부북면행정복지센터,50402,경상남도 밀양시 부북면 부북로 28
140,경상남도,밀양시,상동면행정복지센터,50409,경상남도 밀양시 상동면 상동로 554
141,경상남도,밀양시,산외면행정복지센터,50411,경상남도 밀양시 산외면 산외로 427
142,경상남도,밀양시,산내면행정복지센터,50414,경상남도 밀양시 산내면 산내로 322
143,경상남도,밀양시,단장면행정복지센터,50417,경상남도 밀양시 단장면 표충로 359
144,경상남도,밀양시,상남면행정복지센터,50449,경상남도 밀양시 상남면 상남로 1031
145,경상남도,밀양시,초동면행정복지센터,50455,경상남도 밀양시 초동면 초동로 111
146,경상남도,밀양시,무안면행정복지센터,50408,경상남도 밀양시 무안면 동부1길 13
147,경상남도,밀양시,청도면행정복지센터,50400,경상남도 밀양시 청도면 청도로 100
