기관유형,기관명,직위,대표자,설립일,우편번호,주소,대표전화
공기업,충남개발공사,사장,권혁문,2006-12-27,32263,충청남도 홍성군 홍북읍 상하천로58,041-630-7800
출연기관,충남연구원,원장,윤  황,1995-06-15,32589,충청남도 공주시 연수원길 73-26,041-840-1190
출연기관,충남인재육성재단,상임이사,한영배,2000-02-10,32263,"충청남도 홍성군 홍북읍 상하천로 58, 6층",041-635-9800
출연기관,충청남도평생교육진흥원,원장,조이현,2016-05-31,32263,"충청남도 홍성군 홍북면 상하천로 58, 6층",041-635-1200
출연기관,충남복지재단,대표이사,고일환,2019-09-30,32416,"충청남도 예산군 삽교읍 예학로 10-22, 전문건설회관 5층",041-330-2400
출연기관,충청남도경제진흥원,원장,오광옥,1999-01-15,31450,충청남도 아산시 염치읍 은행나무길 223,041-539-4505
출연기관,충남신용보증재단,이사장,유성준,1998-10-01,31450,충청남도 아산시 염치읍 은행나무길 223,041-530-3840
출연기관,충남테크노파크,원장,윤종언,1998-12-07,31035,충청남도 천안시 서북구 직산읍 직산로 136,041-589-0611
출연기관,충남역사문화연구원,원장,박병희,2004-04-01,32589,충청남도 공주시 연수원길 103,041-856-8662
출연기관,충남문화재단,대표이사,공  석,2013-12-17,32263,충청남도 홍성군 홍북읍 상하천로 58 / 3층,041-630-2900
출연기관,충남문화산업진흥원,원장,공  석,2005-07-22,31129,"충청남도 천안시 동남구 은행길 15-1, 6층",041-620-6400
출연기관,백제문화제추진위원회,위원장,공  석,2007-03-26,33115,충청남도 부여군 규암면 백제문로 384-4,041-635-6980
출연기관,천안의료원,원장,이경석,1983-07-01,31071,충청남도 천안시 동남구 충절로 537,041-570-7200
출연기관,공주의료원,원장,유상주,1982-07-01,30171,충청남도 공주시 무령로 77,041-962-1111
출연기관,서산의료원,원장,김영완,1983-07-01,32001,충청남도 서산시 중앙로 149,041-689-7000
출연기관,홍성의료원,원장,박래경,1983-07-01,32232,충청남도 홍성군 홍성읍 조양로 224,041-630-6114
출연기관,충청남도여성정책개발원,원장,양승숙,1999-07-12,32626,충청남도 공주시 반포면 계룡대로 1283,042-825-1823
출연기관,충청남도청소년진흥원,원장,박영의,2008-03-01,31100,"충청남도 천안시 서북구 서부대로 766, 진암빌딩 3, 4층",042-825-1823
공직유관단체,충청남도교통연수원,원장,양창모,1987-05-13,32589,충청남도 공주시 연수원길 83,041-854-2106
공직유관단체,충청남도체육회,사무처장,전병욱,1953-08-24,32416,"충청남도 예산군 삽교읍 도청대로 600, 의회동 1층 105호",041-635-0100
공직유관단체,충청남도장애인체육회,사무처장,변현수,2007-04-05,32416,"충청남도 예산군 삽교읍 도청대로 600, 의회동 104호",041-635-0080
