기관명,전화번호,주소
대한민국전자관보 ,,충북 청주시 흥덕구 성봉로 335
국가정보원 대공상담소 ,080-976-2112,충북 청주시 흥덕구 사직로 333
국립농산물품질관리원 충북지원 ,043-271-9583,충북 청주시 흥덕구 월명로220번길 46
국립수의과학검역원청주출장소 ,043-263-4218,충북 청주시 흥덕구 월명로220번길 46
국립식물검역소 청주출장소 ,043-273-0586,충북 청주시 흥덕구 신율로 136
국립청주박물관 ,043-229-6300,충북 청주시 상당구 명암로 143
중앙경찰학교 ,043-840-9114,충북 충주시 수안보면 수회리로 138 중앙경찰학교
청주기상대 ,043-265-7504,충북 청주시 흥덕구 공단로 76
청주보훈지청 ,043-285-3213,"충북 청주시 서원구 1순환로 1047, 청주지방합동청사"
청주우체국 ,043-253-8081,충북 청주시 상당구 성안로 34
청주세무서 ,043-230-9200,충북 청주시 흥덕구 죽천로 151
청주지방검찰청 ,043-299-4000,충북 청주시 서원구 산남로70번길 51
청주지방법원 ,043-249-7114,충북 청주시 서원구 산남로 62번길 51
충북지방병무청 ,043-1588-9090,충북 청주시 서원구 남사로 33
충북지방조달청 ,043-230-7714,충북 청주시 흥덕구 가로수로 1257
충청북도교육청 ,043-290-2000,충북 청주시 서원구 청남로 1929
충청북도선거관리위원회 ,043-237-3934,충북 청주시 홍덕구 2순환로 1168번길
충청북도지방경찰청 ,043-215-0112,충북 청주시 청원구 2순환로 168 충북지방경찰청
청주고용노동지청 ,043-299-1131,충북 청주시 흥덕구 1순환로 1047 청주지방합동청사
충청지방통계청 청주사무소 ,043-299-6000,충북 청주시 흥덕구 덕암로17번길 10
충북지방중소기업청 ,043-230-5300,충북 청주시 청원구 오창읍 중심상업2로 48
