주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
311-2-000001,요촌제1공영주차장,공영,노외,,전라북도 김제시 요촌동 273-5,66,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,60,500,10,200,6,5000,40000,"현금,신용카드",,김제시청,063-540-3193,35.801822,126.885204,2018-02-01,4710000,전라북도 김제시,
311-2-000002,요촌제2공영주차장,공영,노외,,전라북도 김제시 요촌동 383-12,65,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.8035487,126.883774,2018-02-01,4710000,전라북도 김제시,
311-2-000003,요촌제3공영주차장,공영,노외,,전라북도 김제시 요촌동 596,58,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.804315,126.890461,2018-02-01,4710000,전라북도 김제시,
311-2-000004,금만제1공영주차장,공영,노외,,전라북도 김제시 요촌동 166-3 외 4필지,70,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.798927,126.888854,2018-02-01,4710000,전라북도 김제시,
311-2-000006,진봉거전주차장,공영,노외,,전라북도 김제시 진봉면 심포리 1467-5,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.84254639,126.691228,2018-02-01,4710000,전라북도 김제시,
311-2-000007,신풍임시공영주차장,공영,노외,,전라북도 김제시 신풍동 609-1,27,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.800407,126.898764,2018-02-01,4710000,전라북도 김제시,
311-2-000008,금구향교주차장,공영,노외,,전라북도 김제시 금구면 금구리 510,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.773107,127.011077,2018-02-01,4710000,전라북도 김제시,
311-2-000009,요촌공영주차장(구 박애의원),공영,노외,,전라북도 김제시 요촌동 208-2,33,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.800431,126.886656,2018-02-01,4710000,전라북도 김제시,
311-2-000010,요촌공영(새벽시장),공영,노외,,전라북도 김제시 요촌동 113-1,25,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.81254686,126.890374,2018-02-01,4710000,전라북도 김제시,
311-2-000011,검산제1공영주차장,공영,노외,,전라북도 김제시 검산동 1065-1,32,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.80188582,126.902968,2018-02-01,4710000,전라북도 김제시,
