번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,급수시설구분명,남성종사자수,년도,다중이용업소여부,등급구분명,시설총규모,여성종사자수,영업장주변구분명,위생업종명,위생업태명,총종업원수,전화번호,위치정보(X),위치정보(Y),상세영업상태명
1,스타벅스 엔터식스한양대점,서울특별시 성동구 행당동 155-1번지 ,"서울특별시 성동구 왕십리로 241, 201동 지1층 (행당동, 서울숲더샾 주상복합건물)",20141202,운영중,,,,,125.62,133866,,,2014,N,,125.62,,,휴게음식점,백화점,,02 7588846,203523              ,450411              ,영업
2,빌리엔젤 한양대엔터식스점,서울특별시 성동구 행당동 155-1번지 서울숲 더샵 201동 제지2층호,"서울특별시 성동구 왕십리로 241, 201동 제지2층 제상가비 201호 (행당동, 서울숲 더샵)",20141209,운영중,,,,,59.00,133866,,,2014,N,,59,,,휴게음식점,백화점,,0264546210,203523              ,450411              ,영업
3,커피홀 엔터식스 한양대점,서울특별시 성동구 행당동 155-1번지 ,"서울특별시 성동구 왕십리로 241, 상가동 지2층 (행당동, 서울숲더샵 주상복합건물)",20141212,운영중,,,,,16.00,133866,,,2014,N,,16,,,휴게음식점,백화점,,0264546235,203523              ,450411              ,영업
4,(주)커피빈코리아 파크에비뉴엔터식스한양대점,서울특별시 성동구 행당동 155-1번지 ,"서울특별시 성동구 왕십리로 241, 상가동 지2층 (행당동, 서울숲더샵주상복합건물)",20141217,운영중,,,,,218.18,133866,,,2014,N,,218.18,,,휴게음식점,백화점,,0264546216,203523              ,450411              ,영업
5,몰리스(이마트성수점),서울특별시 성동구 성수동2가 333-16번지 ,"서울특별시 성동구 뚝섬로 379, 4층 (성수동2가, 성수이마트 내)",20150217,운영중,,,,,34.35,133827,,,2015,N,,34.35,,,휴게음식점,백화점,,,204727.75434400000  ,448937.10326300000  ,영업
6,(주)이마트성수점,서울특별시 성동구 성수동2가 333-16번지 ,"서울특별시 성동구 뚝섬로 379 (성수동2가, 이마트 성수점 내)",20040212,운영중,,,,,2.74,133827,상수도전용,0,2004,N,,2.74,0,,휴게음식점,백화점,0,34081052,204727.75434400000  ,448937.10326300000  ,영업
7,취영루푸드시스템,"서울특별시 동대문구 전농동 591-53번지 청량리역,롯데백화점 ","서울특별시 동대문구 왕산로 214, 청량리역,롯데백화점 지하 2층 (전농동)",20160201,운영중,,,,,13.86,130851,,,2016,N,,13.86,,,휴게음식점,백화점,,,204517.64853300000  ,453850.08824700000  ,영업
8,아리아리닭강정,서울특별시 강북구 미아동 70-6번지 지하2층 ,"서울특별시 강북구 도봉로 62, 지하2층 (미아동)",20160802,운영중,,,,,9.90,142804,,,2016,N,,9.9,,,휴게음식점,백화점,,,202694.43712200000  ,457223.01394900000  ,영업
9,고디바,서울특별시 서대문구 창천동 30-33번지 지하1층 현대백화점신촌점 ,"서울특별시 서대문구 신촌로 83, 지하1층 (창천동, 현대백화점신촌점)",20140305,운영중,,,,,20.00,120706,,,2014,N,,20,,,휴게음식점,백화점,,02  31452017,194331.32127800000  ,450730.57764800000  ,영업
10,파파오가닉,서울특별시 강남구 대치동 937번지 ,"서울특별시 강남구 도곡로 401, 지하1층 (대치동, 롯데백화점)",20160929,운영중,,,,,10.00,135998,,,2016,N,,10,,,휴게음식점,백화점,,,204783.36435600000  ,444196.72754400000  ,영업
11,(주)한입원바이트,서울특별시 강남구 삼성동 159-7번지 ,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점)",20161101,운영중,,,,,3.30,135090,,,2016,N,,3.3,,,휴게음식점,백화점,,02  34090101,205284.14694200000  ,445461.97226000000  ,영업
12,미스터도넛,서울특별시 노원구 월계동 333-1번지 ,"서울특별시 노원구 마들로3길 15, 1층 (월계동)",20161116,운영중,,,,,13.84,139050,상수도전용,,2016,N,,13.84,,,휴게음식점,백화점,,,205471.34961400000  ,458546.96981200000  ,영업
13,(주)열정과 배려 롯데마트 잠실점,서울특별시 송파구 잠실동 40-1번지 롯데마트점 지하 ,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데마트점 지하)",19981021,운영중,,,,,14.80,138915,상수도전용,,1998,N,자율,14.8,,기타,휴게음식점,백화점,,02 4118800,208883.72375000000  ,445791.32699300000  ,영업
14,밀모아만두,서울특별시 송파구 잠실동 40-1번지 ,서울특별시 송파구 올림픽로 240 (잠실동),19890822,운영중,,,,,17.39,138915,상수도전용,1,1989,N,지도,17.39,1,주택가주변,휴게음식점,백화점,2,,208883.72375000000  ,445791.32699300000  ,영업
15,미전초밥,서울특별시 송파구 잠실동 40-1번지 ,서울특별시 송파구 올림픽로 240 (잠실동),19890116,운영중,,,,,30.00,138915,상수도전용,0,1989,N,기타,30,0,기타,휴게음식점,백화점,0,,208883.72375000000  ,445791.32699300000  ,영업
16,이구복교자,서울특별시 송파구 잠실동 40-1번지 ,서울특별시 송파구 올림픽로 240 (잠실동),19940106,운영중,,,,,39.91,138915,상수도전용,1,1994,N,갑,39.91,2,아파트지역,휴게음식점,백화점,3,02 4191873,208883.72375000000  ,445791.32699300000  ,영업
17,일품향,서울특별시 송파구 잠실동 40-1번지 잠실점 ,"서울특별시 송파구 올림픽로 240 (잠실동,잠실점)",19881122,운영중,,,,,16.68,138915,상수도전용,0,1988,N,지도,16.68,2,기타,휴게음식점,백화점,2,,208883.72375000000  ,445791.32699300000  ,영업
18,영양죽코너,서울특별시 송파구 잠실동 40-1번지 잠실점 ,"서울특별시 송파구 올림픽로 240 (잠실동,잠실점)",19881122,운영중,,,,,8.10,138915,상수도전용,0,1988,N,지도,8.1,2,기타,휴게음식점,백화점,2,,208883.72375000000  ,445791.32699300000  ,영업
19,스테프 핫도그,서울특별시 송파구 잠실동 40-1번지 롯데월드 지상1층 ,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드 지상1층)",19890116,운영중,,,,,12.56,138721,상수도전용,0,1989,N,기타,12.56,0,기타,휴게음식점,백화점,0,02  4123647,208883.72375000000  ,445791.32699300000  ,영업
20,뽀쪼 송파7층점,서울특별시 송파구 문정동 516번지 가든파이브 영관7층 F7075호,"서울특별시 송파구 충민로 66, F7075호 (문정동, 가든파이브 영관7층)",20110323,운영중,,,,,15.80,138888,,,2011,N,,15.8,,,휴게음식점,백화점,,,211053.11951800000  ,442026.98878300000  ,영업
21,남해이동복떡집,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점 압구정본점)",20170321,운영중,,,,,5.00,135900,,,2017,N,,5,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
22,매드브라우니,서울특별시 강동구 천호동 455-8번지 ,"서울특별시 강동구 천호대로 1005, 지하2층 (천호동, 현대백화점)",20170315,운영중,,,,,3.30,134874,,,2017,N,,3.3,,,휴게음식점,백화점,,15775798,210997.25792200000  ,448824.42207300000  ,영업
23,마스터키친 디큐브시티점,서울특별시 구로구 신도림동 692번지 디큐브시티점 지하2층 ,"서울특별시 구로구 경인로 662, 지하2층 (신도림동, 디큐브시티점)",20170321,운영중,,,,,32.07,152706,상수도전용,,2017,N,,32.07,,,휴게음식점,백화점,,02792 2205,190210.51179400000  ,445488.90097600000  ,영업
