"연번","업체명","소재지","등록일","유기기구수","면적(㎡)","연락처","업종"
"1","썬비치 워터파크","경상남도 창원시 진해구 여좌천로 206 (태백동)","2013-08-23","8","14754","055-545-7355","종합유원시설업"
"2","용호디스코팡팡","경상남도 창원시 의창구 원이대로589번길 14, 지하1층 (용호동)","2014-11-05","1","452",,"일반유원시설업"
"3","2015 세코 상상체험 키즈월드 시즌2","경상남도 창원시 의창구 원이대로 362 (대원동, 창원컨벤션센터)","2015-12-29","27","7836","055-210-6103","일반유원시설업"
"4","디팡","경상남도 창원시 성산구 중앙대로 81 (중앙동,올림픽호텔 지하2층)","2011-12-02","2","865","055-284-0887","일반유원시설업"
"5","홈플러스 놀이동산","경상남도 창원시 마산회원구 삼호로 56 (양덕동,홈플러스 6층)","2006-01-20","17","864",,"일반유원시설업"
"6","디스코팡","경상남도 창원시 마산회원구 합성옛길 131, 지하1층 (합성동)","2014-06-03","1","184",,"일반유원시설업"
"7","점프노리키즈카페","경상남도 창원시 의창구 평산로 96, 3층 305호 (팔용동, 웰빙프라자)","2014-11-14","2","184","055-255-2511","기타유원시설업"
"8","키다리방방","경상남도 창원시 의창구 반계로 104-19, 지하1층 101호(팔용동, 벽산블루밍B단지상가1)","2014-12-04","3","156",,"기타유원시설업"
"9","오네또해피랜드","경상남도 창원시 의창구 동읍 주남로184번길 6","2014-12-12","5","348",,"기타유원시설업"
"10","상상노리 홈플러스창원점","경상남도 창원시 의창구 창원대로 415, 4층 (팔용동)","2015-05-12","8","585","055-237-8821","기타유원시설업"
"11","키즈파크","경상남도 창원시 의창구 창원대로397번길 6, 4층(팔용동, 뉴코아아울렛)","2015-05-20","3","56",,"기타유원시설업"
"12","점프노리 상남점","경상남도 창원시 성산구 동산로 124, 607-1일부,607-2호(상남동, 성원아파트 성원종합상가)","2014-07-25","2","131","055-264-4563","기타유원시설업"
"13","점프노리키즈카페 창원대방점","경상남도 창원시 성산구 가양로124번길 1, 701,702호(대방동, 무궁화빌딩)","2014-09-03","2",,,"기타유원시설업"
"14","라이트방방클럽","경상남도 창원시 마산합포구 교방시장2길 21, 3층 301,302호(교방동, 교방프라자)","2014-04-11","4","230","055-247-3896","기타유원시설업"
"15","블럭나라방방놀이","경상남도 창원시 마산합포구 3·15대로 34, 2층 201호일부,205호(월남동4가, 장원빌딩)","2015-06-08","3","214","055-224-4056","기타유원시설업"
