연번,영업종류,상호,우편번호,소재지(도로명),연락처
1,일반유원시설업,(주)신세계 센텀시티,48058,부산광역시 해운대구 센텀남대로 35 (우동),051-745-1042
2,일반유원시설업,상상체험+레이싱 키즈월드 시즌2,48060,"부산광역시 해운대구 APEC로 30, 벡스코제2전시장 3층 5B~E호 (우동)",070-4801-6034
3,기타유원시설업,모모로 키즈카페,48038,부산광역시 해운대구 선수촌로 57-30 (반여동),051-522-8822
4,기타유원시설업,아이야 놀자,48053,"부산광역시 해운대구 재반로84번길 17, 2층 (재송동)",
5,기타유원시설업,점핑존,48043,부산광역시 해운대구 선수촌로21번길 67 (반여동),
6,기타유원시설업,화목방방랜드,48107,"부산광역시 해운대구 대천로 187 (좌동, 해운대화목타운)",
7,기타유원시설업,타요키즈카페 부산좌동점,48111,"부산광역시 해운대구 세실로 33 (좌동, 좌동메디컬센타)",051-703-5556
8,기타유원시설업,BMW 키즈 드라이빙 존,48099,"부산광역시 해운대구 해운대해변로 296 (중동, 파라다이스호텔부산)",051-749-2611
9,기타유원시설업,릴리펏 마린시티점,48120,"부산광역시 해운대구 마린시티2로 38, C1동 3층 (우동, 해운대아이파크)",051-731-2218
10,기타유원시설업,롯데백화점센텀시티점 햇살공원(한국레져),48058,"부산광역시 해운대구 센텀남대로 59 (우동, 롯데백화점센텀시티점)",051-973-8462
11,기타유원시설업,홈플러스센텀시티점 상상노리,48059,"부산광역시 해운대구 센텀동로 6 (우동, 홈플러스센템시티점)",051-746-9877
12,기타유원시설업,상상노리 홈플러스 해운대점,48092,"부산광역시 해운대구 해운대해변로 140, 1층 (우동, 해운대홈플러스)",051-747-4970
13,기타유원시설업,맥스라이더 홈플러스 해운대점,48092,"부산광역시 해운대구 해운대해변로 140 (우동, 해운대홈플러스)",
14,기타유원시설업,맥스라이더 홈플러스 센텀시티점,48059,"부산광역시 해운대구 센텀동로 6, 3층 (우동)",
15,기타유원시설업,슈슈봉봉 해운대점,48065,"부산광역시 해운대구 해운대로469번길 8, 2층 (우동)",051-731-2773
16,기타유원시설업,디지털팡팡,48075,"부산광역시 해운대구 좌동순환로 181, 진성빌딩 지하1층 (좌동)",070-8285-1589
17,기타유원시설업,주바운스클럽 트램폴린파크 해운대점,48106,"부산광역시 해운대구 해운대로 813, 지팝건축물 11층 (좌동)",051-704-9856
18,기타유원시설업,꼬마대통령(재송점),48052,"부산광역시 해운대구 재반로 176, 403호 (재송동)",051-781-1871
19,기타유원시설업,팜팜키즈카페,48047,"부산광역시 해운대구 해운대로76번길 16, 센텀휴상가 4층 (재송동)",051-782-5009
20,기타유원시설업,키즈&패밀리VR테마파크,48099,"부산광역시 해운대구 해운대해변로 296, 파라다이스호텔부산 본관 1,2층 (중동)",070-5180-9030
21,기타유원시설업,KONG VR 해운대점,48093,"부산광역시 해운대구 해운대해변로 257, 하버타운 303호 (우동)",070-8672-4057
22,기타유원시설업,정글방방,48038,"부산광역시 해운대구 선수촌로 109-1, 반여아시아드몰 7층 (반여동)",
,,,,,
