순번,시군명,시설명,도로명주소,대표자,전화번호,검사기구수,비검기구수,자료출처,공개여부,작성일,갱신주기(년)
1,전주시,전주드림랜드,전주시 덕진구 소리로 104,김일권,063-275-4900,11,3,관광총괄과,Y,2016-12-31,1
2,전주시,전주한옥레일바이크,전주시 덕진구 동부대로 420,"권병현,권병기",,60,,관광총괄과,Y,2016-12-31,1
3,전주시,전주노리존,전주시 완산구 객사3길 34,시우진,,1,,관광총괄과,Y,2016-12-31,1
4,군산시,금강랜드,군산시 성산면 철새로 53,이준국,063-453-1525,16,38,관광총괄과,Y,2016-12-31,1
5,군산시,군산야외수영장,군산시 해망로 546-10,군산시장,,3,,관광총괄과,Y,2016-12-31,1
6,익산시,익산놀이터 디스코팡팡,익산시 무왕로 9길 3,윤부순,,1,,관광총괄과,Y,2016-12-31,1
7,남원시,남원랜드,남원시 양림길 58-13,오경태,063-632-6070,10,5,관광총괄과,Y,2016-12-31,1
8,김제시,모악랜드,김제시 금산면 모악로 476-39,최두환,063-548-4401,8,,관광총괄과,Y,2016-12-31,1
9,김제시,오투아일랜드,김제시 승암길 13,양천두,1800-5266,2,,관광총괄과,Y,2016-12-31,1
10,무주군,무주덕유산리조트,무주군 설천면 만선로 185,이중근,063-320-9000,3,,관광총괄과,Y,2016-12-31,1
11,무주군,뉴잉글랜드,무주군 설천면 만선로 185,오주연,063-322-0702,3,,관광총괄과,Y,2016-12-31,1
12,무주군,무주놀이랜드,무주군 무주읍 괴목로 1330,이장호,063-322-7752,3,,관광총괄과,Y,2016-12-31,1
13,고창군,고창고인돌 박물관,고창군 고창읍 고인돌공원길 74,고창군수,063-560-8663,1,,관광총괄과,Y,2016-12-31,1
14,고창군,석정휴스파,고창군 고창읍 석정2로 173,이종균,063-560-7500,4,,관광총괄과,Y,2016-12-31,1
15,부안군,아쿠아월드,부안군 변산면 변산해변로 51,안영혁,063-580-8702,5,2,관광총괄과,Y,2016-12-31,1
16,부안군,모항해나루가족호텔,부안군 변산면 모항해변길 73,고재찬,063-580-0700,1,1,관광총괄과,Y,2016-12-31,1
17,정읍시,칠보물테마유원지,정읍시 칠보면 칠보산로 1555,정읍시장,,1,2,관광총괄과,Y,2016-12-31,1
18,전주시,우가차카 키즈카페,전주시 완산구 용리로 35,문진혁,063-229-0407,,4,관광총괄과,Y,2016-12-31,1
19,전주시,㈜스파라쿠아,전주시 완산구 신촌3길 24,정성진,063-223-0020,,13,관광총괄과,Y,2016-12-31,1
20,전주시,와우점핑,"전주시 완산구 난전들로 263, 2층",소순엽,,,2,관광총괄과,Y,2016-12-31,1
21,전주시,야사노 도청점,"전주시 완산구 흥산중앙로 31, 4층",한석희,,,14,관광총괄과,Y,2016-12-31,1
22,전주시,퍼니팡팡,전주시 완산구 호암로 80,최금이,,,2,관광총괄과,Y,2016-12-31,1
23,전주시,그로잉 실내방방,전주시 완산구 안행로 173,손성섭,,,2,관광총괄과,Y,2016-12-31,1
24,전주시,키즈아일랜드,"전주시 완산구 장승배기로 91, 2층",주민환,,,2,관광총괄과,Y,2016-12-31,1
25,전주시,스타키즈랜드,"전주시 완산구 홍산로 262, 2층",김  철,,,12,관광총괄과,Y,2016-12-31,1
26,전주시,해피키즈팡팡,"전주시 완산구 오공로 37, 302호",조미정,,,3,관광총괄과,Y,2016-12-31,1
27,전주시,킹콩점프,전주시 완산구 호암로 84,은  찬,,,3,관광총괄과,Y,2016-12-31,1
28,전주시,쁘띠키즈,전주시 완산구 홍산로 263,김덕용,,,5,관광총괄과,Y,2016-12-31,1
29,전주시,키즈레이싱파크,전주시 완산구 효자로 161,김은라,,,9,관광총괄과,Y,2016-12-31,1
30,전주시,점핑스쿨,전주시 완산구 서원로 310,한지선,,,2,관광총괄과,Y,2016-12-31,1
31,전주시,헬로방방,전주시 완산구 소배대기로 8-13,박민자,,,2,관광총괄과,Y,2016-12-31,1
32,전주시,대박뽑기,전주시 완산구 전주객사 4길 18-3,주용준,,,1,관광총괄과,Y,2016-12-31,1
33,전주시,화인방방,전주시 완산구 평화8길 14,김미경,,,2,관광총괄과,Y,2016-12-31,1
34,군산시,방방월드,군산시 나운안2길 8,송미옥,,,4,관광총괄과,Y,2016-12-31,1
35,군산시,애플트리,군산시 구암 3.1로 138,전경식,,,4,관광총괄과,Y,2016-12-31,1
36,익산시,㈜소프트플레이코리아,익산시 무왕로 1035 홈프러스4층,전경식,,,3,관광총괄과,Y,2016-12-31,1
37,익산시,차타타레이싱키즈카페,"익산시 배산로 139, 4층",장기순,,,48,관광총괄과,Y,2016-12-31,1
