"자치단체코드","상호","휴폐업구분","업태","허가일자"
"3000000","종로세운상가","휴업","그밖의 대규모점포","20050218"
"3160000","이천일 아울렛 구로점","영업중","그밖의 대규모점포","20051117"
"3160000","고척산업용품상가","영업중","복합쇼핑몰","19861101"
"3180000","이랜드리테일 당산점","휴업","그밖의 대규모점포","20010620"
"3210000","뉴코아아울렛","영업중","전문점","20120514"
"0000000","숭인제일아케이트","휴업","그밖의 대규모점포","19871207"
"3000000","동대문신발도매상가","영업중","그밖의 대규모점포","20040630"
"3000000","광장시장주식회사","휴업","그밖의 대규모점포","19871030"
"3000000","종로세운상가","영업중","대형마트","20050127"
"3110000","엔씨백화점 불광점","영업중","쇼핑센터","20070411"
"3000000","크레타 망고 아울렛","영업중","전문점","20080305"
"3100000","이천일아울렛 중계점","영업중","그밖의 대규모점포","20090921"
"3000000","","영업중","그밖의 대규모점포","20021116"
"3000000","광장주식회사","영업중","시장","20030304"
"3180000","영신상가","영업중","그밖의 대규모점포","20070322"
"3240000","이천일아울렛 천호점","영업중","그밖의 대규모점포","20060525"
"3220000","남서울종합시장","영업중","그밖의 대규모점포","19880513"
"3210000","뉴코아백화점","영업중","백화점","20120514"
"3150000","(주) 이랜드리테일 강서점","영업중","백화점","20110919"
"3000000","영풍문고","영업중","전문점","19920704"
"3130000","신교시장","영업중","그밖의 대규모점포","20051007"
"3220000","(주)신세계마트 이마트 역삼점","폐업","대형마트","20061018"
"3110000","현대화유통기업(주)","영업중","대형마트","19840806"
"3110000","대조시장","","그밖의 대규모점포","19630527"
"3110000","불광시장(주)","","그밖의 대규모점포","19700123"
"3110000","불광시장(법인 대표자 관리자변경)","휴업","그밖의 대규모점포","20050715"
"3110000","응암시장","영업중","그밖의 대규모점포","19700912"
"3110000","대림시장","휴업","그밖의 대규모점포","19790605"
"3110000","양지시장","영업중","그밖의 대규모점포","19721113"
"3110000","신세계이마트 은평점","휴업","대형마트","20011101"
"3110000","신세계이마트 은평점","휴업","대형마트","20011101"
"3110000","서부종합시장","영업중","그밖의 대규모점포","19710923"
"3110000","증산시장","휴업","그밖의 대규모점포","20030722"
"3110000","(주)미소종합유통","영업중","대형마트","19950920"
"3110000","진관시장","휴업","그밖의 대규모점포","19681014"
"3110000","대림시장","영업중","시장","20071221"
"3000000","영풍문고","영업중","대형마트","20040430"
"3000000","종로세운상가","휴업","그밖의 대규모점포","19710906"
"3220000","(주)금강개발산업","휴업","그밖의 대규모점포","19840307"
"3220000","(주)현대백화점 동호스토아","휴업","백화점","20030418"
"3240000","강동한신휴플러스","영업중","그밖의 대규모점포","20070605"
"3010000","제일평화시장","영업중","그밖의 대규모점포","19811027"
"3220000","일원마트","영업재개","그밖의 대규모점포","19940615"
"3030000","금북시장","영업중","그밖의 대규모점포","19690109"
"3210000","코스트코코리아","영업중","대형마트","20001209"
"3240000","신세계 이마트 명일점","","대형마트","20021120"
"3240000","신세계이마트천호점","휴업","그밖의 대규모점포","20050331"
"3060000","코스트코홀세일 상봉점","영업중","대형마트","20010418"
"3220000","점프밀라노","영업중","그밖의 대규모점포","20151211"
"3240000","이마트천호점","휴업","대형마트","20010327"
"3240000","천호신시장","휴업","그밖의 대규모점포","20050509"
"3180000","신동시장","영업중","그밖의 대규모점포","19730630"
"3240000","동서울시장","휴업","그밖의 대규모점포","20050602"
"3240000","동아코아","휴업","쇼핑센터","20050720"
"3240000","동아코아","휴업","쇼핑센터","20050720"
"3240000","이천일아울렛 천호점","휴업","그밖의 대규모점포","20060525"
"3180000","코레일유통주식회사","폐업","그밖의 대규모점포","19821020"
"3020000","한강상가","영업중","시장","19701130"
"3010000","숭례문상가","영업중","그밖의 대규모점포","19801220"
"3020000","국제센터아케이드","영업중","그밖의 대규모점포","19850701"
"3020000","(주)전자타운","영업중","그밖의 대규모점포","19930413"
"3010000","선싸인","영업중","그밖의 대규모점포","19950401"
"3020000","보광시장","영업중","시장","19750701"
"3100000","(주)지에스리테일  공릉점","영업중","구분없음","20040102"
"3010000","남산타운2상가","영업중","그밖의 대규모점포","20000707"
"3020000","신동아 쇼핑센터","영업중","쇼핑센터","19851112"
"3110000","수일시장","영업중","그밖의 대규모점포","19600216"
"3110000","불광미성상가","영업중","그밖의 대규모점포","19881123"
"3180000","홍익상가","영업중","그밖의 대규모점포","19871127"
"3180000","(주)사러가","영업중","그밖의 대규모점포","19650621"
"3180000","에쉐르아이시네마쇼핑몰","영업재개","쇼핑센터","20050929"
"3180000","도림시장","영업중","그밖의 대규모점포","19691231"
"3180000","영일시장","영업중","그밖의 대규모점포","19740515"
"3050000","노브랜드 동대문 장안점","영업중","대형마트","20111228"
"3040000","롯데쇼핑(주)롯데마트 강변점","영업중","대형마트","19980323"
"3180000","양남시장","영업중","그밖의 대규모점포","19680220"
"3180000","영등포기계상가","영업중","그밖의 대규모점포","19890202"
"3180000","코스트코홀세일","영업중","그밖의 대규모점포","19941007"
"3180000","대신시장","영업중","그밖의 대규모점포","19650528"
"3180000","대림시장","영업중","그밖의 대규모점포","19700527"
"3180000","(주)이마트 여의도점","영업중","대형마트","20110523"
"3180000","신세계 이마트 여의도점","영업중","대형마트","20080507"
"3160000","(주)이마트 구로점","영업중","대형마트","19990727"
"3050000","한솔동의보감","영업중","전문점","20040722"
"3180000","두암종합시장","영업중","그밖의 대규모점포","19840823"
"3160000","삼익쇼핑센터","휴업","쇼핑센터","19861210"
"3160000","삼익쇼핑센타","영업중","쇼핑센터","19861210"
"3140000","신정동세양청마루2차상가","영업중","그밖의 대규모점포","20081016"
"3140000","목2동시장상인회","영업중","시장","20070129"
"3140000","목4동시장상인회","영업중","시장","20050504"
"3140000","경창시장상인회","영업중","시장","20050504"
"3140000","목3동시장상인회","영업중","시장","20060906"
"3140000","신영시장상인회","영업중","시장","20060607"
"3180000","영등포지하상가","영업중","그밖의 대규모점포","19970916"
"3180000","영등포역앞지하상가","영업중","그밖의 대규모점포","19800409"
"3180000","영등포로타리지하상가","영업중","그밖의 대규모점포","19830909"
"3180000","삼구시장","영업중","그밖의 대규모점포","19871127"
"3180000","동남시장","영업중","그밖의 대규모점포","19710809"
"3180000","63씨티","휴업","그밖의 대규모점포","19850727"
"3180000","한화스토아여의점","영업중","그밖의 대규모점포","19750609"
"3180000","(주)LG","휴업","그밖의 대규모점포","19870423"
"3180000","영등포농축수산물쎈타","영업중","그밖의 대규모점포","19961203"
"3230000","잠실중앙상가","영업중","그밖의 대규모점포","19780328"
"3110000","홈플러스(주)익스프레스 불광점","영업중","그밖의 대규모점포","20111219"
"3220000","신원아침도시마인상가","영업중","그밖의 대규모점포","20140325"
"3230000","갤러리아 잠실점","폐업","그밖의 대규모점포","19880614"
"3110000","홈플러스(주)익스프레스 신사점","영업중","그밖의 대규모점포","20120206"
"3130000","홈플러스익스프레스 연남점","영업중","그밖의 대규모점포","20120417"
"3230000","주-한화유통","휴업","그밖의 대규모점포","19780307"
"3130000","홈플러스익스프레스도화점","영업중","그밖의 대규모점포","20111212"
"3230000","가락동포스코주상복합상가","폐업","그밖의 대규모점포","19961105"
