"순번","서소코드","서소이름","위도","경도"
"1","77250","종암119안전센터","37.6024893","127.0315631"
"2","77280","성북119구조대","37.6023076","127.0317799"
"3","75251","청량리119안전센터","37.5871823","127.0524"
"4","81254","개화119안전센터","37.5749194","126.803238"
"5","92280","서대문119구조대","37.5718269","126.9345704"
"6","92236","서대문소방서","37.5733339","126.9359802"
"8","91236","동작소방서","37.4946315","126.9177639"
"9","91250","동작119안전센터","37.4946225","126.917662"
"10","91280","동작119구조대","37.4945805","126.9176973"
"11","73254","금호119안전센터","37.5540229","127.0243368"
"12","89254","신트리119안전센터","37.5107128","126.8478633"
"13","83255","상암119안전센터","37.579912","126.88125"
"14","89236","양천소방서","37.5302223","126.872135"
"15","KK119","의정부-둔야119","37.7371907","127.0353349"
"17","88253","잠실119안전센터","37.5073149","127.0939004"
"18","92251","북가좌119안전센터","37.5828328","126.9129382"
"19","71280","종로119구조대","37.5728841","126.9789218"
"20","81253","방화119안전센터","37.579786","126.8141938"
"21","91251","노량진119안전센터","37.5136635","126.9469517"
"22","88252","방이119안전센터","37.5197884","127.1366098"
"23","73256","중곡119안전센터","37.566981","127.0866948"
"24","KK119","고양-원당119","37.6551257","126.8331884"
"25","KK119","고양-능곡119","37.6202749","126.820807"
"27","78256","수색119안전센터","37.5840969","126.8920191"
"28","72252","충무로119안전센터","37.5621266","126.9929512"
"29","70193","소방항공대","37.558335","126.803119"
"30","84254","창동119안전센터","37.6467549","127.0437468"
"31","72236","중부소방서","37.5649557","127.0154527"
"32","86254","수락119안전센터","37.6796877","127.055715"
"33","KK119","성남-신흥119","37.4416029","127.1432468"
"34","KK119","성남-은행119","37.4549964","127.1595379"
"36","KK119","남양주-평내119","37.643373","127.2322829"
"37","KK119","남양주-진접119","37.7276416","127.1904248"
"38","KK119","남양주-진건119","37.6601845","127.1802101"
"39","KK119","남양주-화도119","37.6501175","127.3047976"
"40","KK119","남양주-오남119","37.6968627","127.2056557"
"41","KK119","김포-북변119","37.6281856","126.7022879"
"42","KK119","김포-양촌119","37.6581235","126.6223303"
"43","KK119","김포-통진119","37.690785","126.5966767"
"45","KK119","부천-심곡119","37.4883667","126.779862"
"122","83280","마포119구조대","37.5493574","126.9332391"
"123","83252","서교119안전센터","37.550334","126.9155111"
"124","73251","송정119안전센터","37.5489572","127.0582713"
"126","71252","신교119안전센터","37.5842389","126.970053"
"127","74251","이태원119안전센터","37.5343865","126.9958159"
"128","72255","회현119안전센터","37.5582682","126.9832836"
"129","74252","후암119안전센터","37.5490008","126.9778316"
"130","70194","영등포수난구조대","37.5343653","126.920625"
"131","89250","양천119안전센터","37.5301135","126.8725484"
"132","81236","강서소방서","37.5580018","126.8603443"
"133","81250","등촌119안전센터","37.5580018","126.8603443"
"134","89253","신월119안전센터","37.5279349","126.8332249"
"136","76254","신길119안전센터","37.5104974","126.9222296"
"137","91253","백운119안전센터","37.4948","126.9615996"
"138","78236","은평소방서","37.6287739","126.920094"
"139","86253","월계119안전센터","37.6288246","127.0564469"
"140","86250","하계119안전센터","37.638098","127.0711823"
"141","86280","노원119구조대","37.638089","127.0711823"
"142","70192","119특수구조대","37.6642577","127.0434176"
"143","88236","송파소방서","37.4997892","127.1425858"
"145","90236","중랑소방서","37.6153774","127.0949814"
"146","90250","신내119안전센터","37.6153564","127.0952843"
"147","71257","숭인119안전센터","37.5777318","127.0218047"
"148","75236","동대문소방서","37.5639854","127.0666891"
"149","75250","장안119안전센터","37.5641667","127.0666818"
"150","73253","행당119안전센터","37.5620491","127.0355376"
"151","75280","동대문119구조대","37.5639327","127.0666528"
"152","72280","중부119구조대","37.5649557","127.0154527"
"154","82251","천호119안전센터","37.5385679","127.1314329"
"155","KK119","광명-철산119","37.4735691","126.8710764"
"156","85257","공단119안전센터","37.4841515","126.898655"
"157","KK119","부천-상동119","37.4943486","126.7546631"
"158","KK119","의왕-부곡119","37.327795","126.9520416"
"159","93250","번동119안전센터","37.633383","127.0376883"
"160","93280","강북119구조대","37.6333534","127.0377001"
"161","KK119","일산-백석119","37.6442262","126.7850699"
"162","IC119","계양-계산119","37.5440338","126.7282012"
"164","IC119","부평-갈산119","37.5202112","126.7221051"
"165","IC119","부평-산곡119","37.4957095","126.7030508"
"166","IC119","부평-부개119","37.4978157","126.739659"
"167","83254","공덕119안전센터","37.5500887","126.9597275"
"168","71250","세종로119안전센터","37.5729822","126.9789285"
"169","IC119","남동-구월119","37.4489028","126.7164588"
"170","IC119","남동-만수119","37.4596595","126.7258405"
"171","IC119","남동-간석119","37.4658497","126.7063211"
"172","87251","봉천119안전센터","37.4859818","126.9414781"
"173","73252","능동119안전센터","37.5516602","127.0768514"
"174","88255","가락119안전센터","37.4965583","127.1131463"
"175","70195","광진수난구조대","37.5317952","127.0611294"
"176","76250","영등포119안전센터","37.5183381","126.9041624"
"177","76280","영등포119구조대","37.5183772","126.9041928"
"178","79250","삼성119안전센터","37.5103131","127.0669195"
"179","81252","발산119안전센터","37.5552506","126.8369006"
"180","76252","당산119안전센터","37.5354971","126.8992136"
"181","KK119","김포-고촌119","37.6023545","126.7738866"
"182","KK119","부천-서부119","37.5079434","126.7678606"
"183","KK119","과천-중앙119","37.4286674","126.9904655"
"184","KK119","양주-양주119","37.8019985","127.0698749"
"185","IC119","계양-작전119","37.5370139","126.7347882"
"186","80253","서초119안전센터","37.4880919","127.0275723"
"187","92250","연희119안전센터","37.5731536","126.9359803"
"189","90252","망우119안전센터","37.5978533","127.1005179"
"190","82250","성내119안전센터","37.5292689","127.1249574"
"191","82253","암사119안전센터","37.5540237","127.1287323"
"192","82280","강동119구조대","37.5292419","127.1249799"
"193","84251","도봉119안전센터","37.6688805","127.0431256"
"194","77253","장위119안전센터","37.615633","127.0582057"
"195","93251","우이119안전센터","37.640854","127.0166457"
"196","82254","길동119안전센터","37.5409027","127.144381"
"198","86252","공릉119안전센터","37.6190958","127.0807127"
"199","93253","삼각산119안전센터","37.6199644","127.0154936"
"200","74236","용산소방서","37.5342018","126.9716071"
"108","KK119","일산-중산119","37.6915989","126.7805519"
"117","89251","신정119안전센터","37.5217699","126.8510448"
"125","73255","성수119안전센터","37.5372458","127.0606509"
"135","91252","상도119안전센터","37.4989879","126.9295951"
"144","88280","송파119구조대","37.4998451","127.1425518"
"153","72251","을지로119안전센터","37.5668786","127.0122556"
"163","IC119","계양-효성119","37.5276077","126.7064474"
"46","KK119","부천-내동119","37.5161931","126.775775"
"47","KK119","부천-중동119","37.4877793","126.7686098"
"48","KK119","부천-원종119","37.526019","126.80856"
"49","KK119","부천-범박119","37.4706573","126.8095233"
"50","KK119","부천-신상119","37.5081977","126.7516405"
"51","KK119","안양-비산119","37.406093","126.9478047"
"53","KK119","안양-부림119","37.3959735","126.9606435"
"54","KK119","과천-과천119","37.4424403","127.0088791"
"55","KK119","광명-광명119","37.4854621","126.8585147"
"56","KK119","광명-하안119","37.4615825","126.8771086"
"57","KK119","광명-광남119","37.471585","126.8456546"
"58","KK119","양주-남면119","37.9017435","126.986402"
"59","KK119","분당-서현119","37.3860758","127.1194963"
"60","KK119","분당-수내119","37.3674044","127.1225525"
"62","KK119","의왕-고천119","37.3442446","126.9747661"
"63","KK119","시흥-시흥119","37.3495551","126.7395695"
"64","KK119","시흥-정왕119","37.3356055","126.7296705"
"65","KK119","시흥-연성119","37.3819485","126.8028473"
"66","70197","북한산산악구조대","37.6403738","126.9429798"
"67","KK119","안양-안양119","37.3903687","126.9255148"
"68","KK119","안양-귀인119","37.3818589","126.9614602"
"69","KK119","양주-광적119","37.8235123","126.9814899"
"70","KK119","분당-이매119","37.3994478","127.1272766"
"72","75255","휘경119안전센터","37.5906949","127.0649903"
"73","KK119","의정부-송산119","37.7398442","127.0864984"
"74","KK119","성남-수진119","37.436681","127.1334778"
"75","75253","용두119안전센터","37.5778516","127.0317128"
"76","KK119","구리-수택119","37.5969977","127.1480649"
