,name,code
0,광화문풍림스페이스본 아파트,A11005401
1,경희궁의아침3단지,A11007001
2,로얄팰리스스위트,A11014001
3,현대뜨레비앙,A11034001
4,효성주얼리시티아파트,A11041001
5,포레스트힐시티,A10027162
6,명륜아남1차,A11052201
7,창신두산,A11054101
8,종로청계힐스테이트,A11055002
9,경희궁자이4단지주상복합,A10026940
10,경희궁자이3단지,A10027105
11,경희궁자이2단지 아파트,A10027118
12,경희궁자이1단지(임대아파트),A10026946
13,평창삼성,A11001203
14,경희궁 롯데캐슬아파트,A10025710
15,남산SK리더스뷰,A10088101
16,쌍용남산플래티넘,A10072501
17,남산센트럴자이,A10071301
18,충무로엘크루메트로시티2,A10025223
19,인현신성,A10028201
20,묵정아파트,A10026849
21,신당KCC스위첸아파트,A10025372
22,동대문와이즈캐슬,A10095501
23,SH황학롯데캐슬베네치아,A10044001
24,덕수궁롯데캐슬아파트 ,A10027364
25,중림삼성래미안아파트,A10085902
26,LIG서울역리가,A10080701
27,서울역한라비발디센트럴아파트,A10026517
28,후암미주,A14019001
29,동부센트레빌아스테리움서울,A14070901
30,리첸시아용산,A14070301
31,신창세방리버하이빌,A14006001
32,한강타운,A14004001
33,청암자이,A14005001
34,원효산호,A14085002
35,용산롯데캐슬센터포레아파트,A10025533
36,도원삼성제2,A14007001
37,브라운스톤용산,A14083101
38,용산지오베르크,A10026183
39,용산e-편한세상,A14009001
40,대우월드마크용산,A14001101
41,아스테리움용산,A10026719
42,파크타워,A14002501
43,한강로쌍용스윗닷홈아파트,A10025626
44,래미안첼리투스,A10027908
45,이태원주공아파트,A10027425
46,나인원 한남,A10025192
47,용산푸르지오파크타운,A14080901
48,서빙고금호베스트빌,A14024001
49,보광삼성리버빌,A14082302
50,텐즈힐2구역,A13373301
51,왕십리 자이 아파트,A10026900
52,성동삼성쉐르빌,A13370801
53,마장동 대성유니드 아파트,A13305002
54,사근중앙하이츠,A13381701
55,서울숲행당푸르지오(임대),A10025685
56,응봉금호현대,A13308004
57,e편한세상금호파크힐스,A10026418
58,신금호파크자이아파트,A10027602
59,금호한신휴플러스,A13309301
60,힐스테이트 서울숲 리버,A10026470
61,옥수파크힐스아파트,A10026748
62,트리마제,A10026988
63,성수두산위브,A13312101
64,서울숲아이파크,A13316001
65,중곡SK,A14322001
66,세림리오빌아파트,A10025573
67,상록타워 아파트,A10026162
68,강변아이파크아파트,A10026399
69,아스하임4차,A10025404
70,광진We’vePark,A10028012
71,신설동 지웰홈스,A10026147
72,동대문푸르지오시티,A10027274
73,제기경동미주,A13006001
74,롯데캐슬노블레스,A10026180
75,답십리파크자이,A10025754
76,동대문더퍼스트데시앙아파트,A10025227
77,청량리홍릉동부임대,A13071201
78,회기힐스테이트,A13070101
79,휘경동 sk뷰 아파트,A10025410
