"측정일자","물재생센터명칭","처리장구분","1차하수처리량","2차하수처리량"
"2019/05/31","탄천물재생센터","제2처리장","0","265331"
"2019/05/31","탄천물재생센터","제1처리장","0","377555"
"2019/05/30","난지물재생센터","중계펌프장(상암)","","9752"
"2019/05/30","난지물재생센터","제2처리장","0","290455"
"2019/05/30","난지물재생센터","정화조오니처리장","1193","5157"
"2019/05/30","난지물재생센터","제1처리장","0","229754"
"2019/05/30","서남물재생센터","제1처리장","0","496900"
"2019/05/30","서남물재생센터","제2처리장","0","952617"
"2019/05/30","중랑물재생센터","제4처리장","0","158740"
"2019/05/30","중랑물재생센터","제3처리장","0","554840"
"2019/05/30","중랑물재생센터","제1처리장","0","179350"
"2019/05/30","중랑물재생센터","제2처리장","0","234828"
"2019/05/29","중랑물재생센터","제1처리장","0","146220"
"2019/05/29","중랑물재생센터","제2처리장","0","211700"
"2019/05/29","탄천물재생센터","제2처리장","0","261174"
"2019/05/29","탄천물재생센터","제1처리장","0","393683"
"2019/05/28","난지물재생센터","중계펌프장(상암)","","10854"
"2019/05/28","난지물재생센터","제2처리장","0","291560"
"2019/05/28","난지물재생센터","정화조오니처리장","769","4728"
"2019/05/28","난지물재생센터","제1처리장","0","232428"
"2019/05/23","난지물재생센터","정화조오니처리장","1086","4640"
"2019/05/23","난지물재생센터","제1처리장","0","230517"
"2019/05/23","서남물재생센터","제1처리장","0","538973"
"2019/05/23","서남물재생센터","제2처리장","0","970298"
"2019/05/23","중랑물재생센터","제4처리장","0","112530"
"2019/05/23","중랑물재생센터","제3처리장","0","579700"
"2019/05/23","중랑물재생센터","제1처리장","0","181300"
"2019/05/23","중랑물재생센터","제2처리장","0","226454"
"2019/05/23","탄천물재생센터","제2처리장","0","282181"
"2019/05/23","탄천물재생센터","제1처리장","0","390718"
"2019/05/22","난지물재생센터","제2처리장","0","287130"
"2019/05/22","탄천물재생센터","제2처리장","0","274397"
"2019/05/22","탄천물재생센터","제1처리장","0","383704"
"2019/05/21","난지물재생센터","제1처리장","0","239557"
"2019/05/21","난지물재생센터","중계펌프장(상암)","","10895"
"2019/05/21","난지물재생센터","정화조오니처리장","661","5320"
"2019/05/21","난지물재생센터","제2처리장","0","296719"
"2019/05/21","서남물재생센터","제1처리장","0","504409"
"2019/05/21","서남물재생센터","제2처리장","0","926797"
"2019/05/21","중랑물재생센터","제3처리장","0","622760"
