순번,시도본부,소방서,119안전센터명,주소,전화번호
1,서울소방재난본부,종로소방서,세종로,서울특별시 종로구 종로1길 28 (수송동),02-734-0119
2,서울소방재난본부,종로소방서,신교,서울특별시 종로구 자하문로 93 (신교동),02-736-0119
3,서울소방재난본부,종로소방서,종로,서울특별시 종로구 돈화문로 30 (묘동),02-764-0119
4,서울소방재난본부,종로소방서,연건,서울특별시 종로구 대학로 91 (연건동),02-762-0119
5,서울소방재난본부,종로소방서,신영,서울특별시 종로구 진흥로 477 (신영동),02-391-0119
6,서울소방재난본부,종로소방서,숭인,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921
7,서울소방재난본부,중부소방서_서울,무학,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311
8,서울소방재난본부,중부소방서_서울,을지로,서울특별시 중구 을지로45길 43 (신당동),02-2235-0119
9,서울소방재난본부,중부소방서_서울,충무로,서울특별시 중구 충무로 11 (충무로3가),02-2265-0119
10,서울소방재난본부,중부소방서_서울,회현,서울특별시 중구 소공로 30 (회현동2가),02-775-0119
11,서울소방재난본부,중부소방서_서울,신당,서울특별시 중구 다산로8길 2 (신당동),02-2238-0698
12,서울소방재난본부,광진소방서,구의,서울특별시 광진구 광나루로 480 (구의동),02-447-1194
13,서울소방재난본부,광진소방서,능동,서울특별시 광진구 능동로 242 (능동),02-447-0119
14,서울소방재난본부,광진소방서,중곡,서울특별시 광진구 용마산로 150 (중곡동),02-453-2119
15,서울소방재난본부,성동소방서,행당(구 송정),서울특별시 성동구 살곶이길 331(행당동),02-2622-1605
16,서울소방재난본부,성동소방서,왕십리(구 행당),서울특별시 성동구 고산자로 249 (도선동),02-2622-1761
17,서울소방재난본부,성동소방서,성동_금호,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771
18,서울소방재난본부,성동소방서,성수,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751
19,서울소방재난본부,용산소방서,한강로,서울특별시 용산구 한강대로 167 (한강로2가),02-793-0119
20,서울소방재난본부,용산소방서,이태원,서울특별시 용산구 이태원로 196 (이태원동),02-798-0119
21,서울소방재난본부,용산소방서,후암,서울특별시 용산구 후암로 34 (후암동),02-754-0119
22,서울소방재난본부,용산소방서,이촌,서울특별시 용산구 이촌로2가 1 (이촌동),02-712-0119
23,서울소방재난본부,용산소방서,서빙고,서울특별시 용산구 서빙고로67길 7(서빙고동),02-795-7119
24,서울소방재난본부,동대문소방서,동대문_장안,서울특별시 동대문구 장한로 34 (장안동),02-2245-0119
25,서울소방재난본부,동대문소방서,청량리,서울특별시 동대문구 왕산로 299 (청량리동),02-962-0119
26,서울소방재난본부,동대문소방서,전농,서울특별시 동대문구 황물로 3 (전농동),02-2215-0119
27,서울소방재난본부,동대문소방서,용두,서울특별시 동대문구 왕산로 76 (용두동),02-928-0119
28,서울소방재난본부,동대문소방서,휘경,서울특별시 동대문구 망우로 106 (휘경동),02-2213-0119
29,서울소방재난본부,중랑소방서,신내,서울특별시 중랑구 신내로 183 (신내동),02-3422-1196
30,서울소방재난본부,중랑소방서,면목,서울특별시 중랑구 동일로 475 (면목동),02-491-5119
31,서울소방재난본부,중랑소방서,망우,서울특별시 중랑구 용마산로 524 (망우동),02-493-7119
32,서울소방재난본부,중랑소방서,중화,서울특별시 중랑구 동일로 783 (중화동),02-496-1191
33,서울소방재난본부,영등포소방서,영등포,서울특별시 영등포구 문래로 197 (영등포동4가),02-2676-0119
34,서울소방재난본부,영등포소방서,여의도,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119
35,서울소방재난본부,영등포소방서,당산,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119
36,서울소방재난본부,영등포소방서,대림,서울특별시 영등포구 도림로 212 (신길동),02-846-0119
37,서울소방재난본부,영등포소방서,신길,서울특별시 영등포구 영등포로84길 31 (신길동),02-834-0119
38,서울소방재난본부,성북소방서,종암,서울특별시 성북구 종암로27길 3 (종암동),02-925-1119
39,서울소방재난본부,성북소방서,돈암,서울특별시 성북구 보문로 192 (삼선동4가),02-925-1158
40,서울소방재난본부,성북소방서,길음,서울특별시 성북구 정릉로 321 (길음동),02-987-0272
41,서울소방재난본부,성북소방서,장위,서울특별시 성북구 한천로 640 (장위동),02-917-0344
42,서울소방재난본부,도봉소방서,방학,서울특별시 도봉구 도봉로 666 (방학동),02-3492-9113
43,서울소방재난본부,도봉소방서,도봉,서울특별시 도봉구 도봉로 721 (방학동),02-3492-0119
44,서울소방재난본부,도봉소방서,창동,서울특별시 도봉구 해등로 25 (창동),02-998-9117
45,서울소방재난본부,도봉소방서,쌍문,서울특별시 도봉구 노해로 152 (쌍문동),02-996-0119
46,서울소방재난본부,노원소방서,하계,서울특별시 노원구 한글비석로1길 8 (하계동),02-972-1119
47,서울소방재난본부,노원소방서,상계,서울특별시 노원구 노원로26길 111 (상계동),02-936-0119
48,서울소방재난본부,노원소방서,공릉,서울특별시 노원구 화랑로 482 (공릉동),02-976-0119
49,서울소방재난본부,노원소방서,월계,서울특별시 노원구 월계로 323 (월계동),02-907-0119
50,서울소방재난본부,노원소방서,수락,서울특별시 노원구 동일로 1694 (상계동),02-937-6119
51,서울소방재난본부,은평소방서,진관,서울특별시 은평구 통일로 962(진관동),02-354-0119
52,서울소방재난본부,은평소방서,녹번,서울특별시 은평구 은평로 245 (녹번동),02-387-0119
53,서울소방재난본부,은평소방서,역촌,서울특별시 은평구 갈현로 80 (역촌동),02-352-2119
54,서울소방재난본부,은평소방서,수색,서울특별시 은평구 수색로 294 (수색동),02-376-0119
55,서울소방재난본부,서대문소방서,서대문_연희,서울특별시 서대문구 연희로 182 (연희동),02-336-0119
56,서울소방재난본부,서대문소방서,북가좌,서울특별시 서대문구 증가로 242 (북가좌동),02-372-0119
57,서울소방재난본부,서대문소방서,홍은,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-379-9119
58,서울소방재난본부,서대문소방서,미근,서울특별시 서대문구 통일로 113 (미근동),02-3147-0119
59,서울소방재난본부,마포소방서,신수,서울특별시 마포구 창전로 76 (신수동),02-716--9121
60,서울소방재난본부,마포소방서,염리,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965
61,서울소방재난본부,마포소방서,서교,서울특별시 마포구 양화로 60 (서교동),02-3143-2119
62,서울소방재난본부,마포소방서,마포_성산,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119
63,서울소방재난본부,마포소방서,공덕,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976
64,서울소방재난본부,마포소방서,상암,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119
65,서울소방재난본부,강남소방서,강남_삼성,서울특별시 강남구 테헤란로 629 (삼성동),02-567-0119
66,서울소방재난본부,강남소방서,영동,서울특별시 강남구 도산대로 320 (논현동),02-517-5119
67,서울소방재난본부,강남소방서,역삼,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109
68,서울소방재난본부,강남소방서,수서,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019
69,서울소방재난본부,강남소방서,개포,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540
70,서울소방재난본부,서초소방서,반포,서울특별시 서초구 사평대로 67 (반포동),02-534-0119
71,서울소방재난본부,서초소방서,방배,서울특별시 서초구 남부순환로 2155 (방배동),02-582-0119
72,서울소방재난본부,서초소방서,양재,서울특별시 서초구 동산로 9 (양재동),02-572-5523
73,서울소방재난본부,서초소방서,서초,서울특별시 서초구 효령로 400 (서초동),02-3473-0119
74,서울소방재난본부,서초소방서,잠원,서울특별시 서초구 서초중앙로29길 6 (반포동),02-532-7119
75,서울소방재난본부,서초소방서,우면,서울특별시 서초구 남부순환로340길 49 (서초동),02-522-6119
76,서울소방재난본부,관악소방서,관악,서울특별시 관악구 관악로 97 (봉천동),02-874-7119
77,서울소방재난본부,관악소방서,봉천,서울특별시 관악구 은천로 54 (봉천동),02-886-0119
78,서울소방재난본부,관악소방서,관악_신림,서울특별시 관악구 봉천로 202 (신림동),02-874-0119
