순번,본부명,소방서,주소,전화번호
1,서울소방재난본부,종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119
2,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119
3,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480(구의동),02-457-0119
4,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119
5,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34(장안동),02-2249-0119
6,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183(신내동),02-3423-0119
7,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-2675-0119
8,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),02-921-0119
9,서울소방재난본부,강북소방서,서울특별시 강북구 보건소길 2(번동),02-6946-0119
10,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),02-3492-3437
11,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),02-977-0119
12,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119
13,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-3144-1190
14,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76(신수동),02-716-0604
15,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),02-553-3315
16,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119
17,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97(봉천동),02-874-8119
18,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190
19,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119
20,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119
21,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39(성내동),02-470-0119
22,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56(마천동),02-403-2119
23,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119
24,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1777
25,부산소방안전본부,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),051-760-4180
26,부산소방안전본부,부산진소방서,부산광역시 동구 범일로 115(범일동),051-760-4280
27,부산소방안전본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4380
28,부산소방안전본부,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4480
29,부산소방안전본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4500
30,부산소방안전본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4600
31,부산소방안전본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4780
32,부산소방안전본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4880
33,부산소방안전본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5080
34,부산소방안전본부,기장소방서,부산광역시 기장군 정관면 용수로 7,051-760-5100
35,부산소방안전본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4980
36,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4517
37,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4317
38,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4499
39,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4700
40,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-780-5213
41,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75 ,053-607-2216
42,대구소방안전본부,달성소방서,대구광역시 달성군 현풍면 비슬로 480,053-670-5200
43,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4600
44,인천소방본부,중부소방서,인천시 중구 인중로 204(항동),032-870-5115
45,인천소방본부,남동소방서,인천시 부평구 부평대로 324(갈산동),032-870-5210
46,인천소방본부,부평소방서,인천시 남동구 인주대로 714(구월동),032-723-5310
47,인천소방본부,서부소방서,인천시 서구 서곶로 292(심곡동),032-723-5440
48,인천소방본부,공단소방서,인천시 남동구 남동서로 208(고잔동),032-723-5512
49,인천소방본부,계양소방서,인천시 계양구 장제로 774(계산동),032-650-5611
50,인천소방본부,남부소방서,인천시 남구 인하로 190(주안동),032-870-3216
51,인천소방본부,강화소방서,인천시 강화군 강화읍 남문로 23번길 11,032-930-5811
52,인천소방본부,공항소방서,인천시 중구 공항서로 512번길 464(운서동),032-727-6110
53,인천소방본부,송도소방서,인천시 연수구 송도동 208-1,032-810-6609
54,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8413
55,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513
56,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613
57,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713
58,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813
59,대전소방본부,중부소방서,대전시 동구 태전로 134,042-609-6013
60,대전소방본부,서부소방서,대전시 서구 갈마중로 15,042-609-6213
61,대전소방본부,동부소방서,대전시 대덕구 계족로 682,042-609-6413
62,대전소방본부,북부소방서,대전시 유성구 대덕대로 516,042-609-6613
63,대전소방본부,남부소방서,대전시 서구 북부서로 67,042-609-6813
64,울산소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4420
65,울산소방본부,남부소방서,울산광역시 남구 삼산중로 149,052-210-4720
66,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6320
67,울산소방본부,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6620
68,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119
69,세종소방본부,세종소방서,세종특별자치시 어진동 610,044-300-8454
70,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12 ,031-8012-9212
71,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212
72,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212
