기간	자치구	동	세대	계	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	인구	남자	여자	인구	남자	여자	인구	남자	여자	세대당인구	65세이상고령자
2009.1/4	합계	합계	4,107,632	10,492,176	5,201,338	5,290,838	10,225,908	5,072,811	5,153,097	266,268	128,527	137,741	2.49	914,858
2009.1/4	종로구	소계	74,609	179,661	89,697	89,964	170,410	85,284	85,126	9,251	4,413	4,838	2.28	20,379
2009.1/4	종로구	사직동	4,408	10,449	4,959	5,490	9,961	4,713	5,248	488	246	242	2.26	1,372
2009.1/4	종로구	삼청동	1,690	3,787	1,852	1,935	3,656	1,774	1,882	131	78	53	2.16	595
2009.1/4	종로구	부암동	4,549	11,827	5,856	5,971	11,525	5,725	5,800	302	131	171	2.53	1,439
2009.1/4	종로구	평창동	7,028	19,708	9,574	10,134	19,292	9,373	9,919	416	201	215	2.75	2,306
2009.1/4	종로구	무악동	3,163	8,704	4,223	4,481	8,613	4,186	4,427	91	37	54	2.72	905
2009.1/4	종로구	교남동	4,343	9,363	4,591	4,772	9,116	4,477	4,639	247	114	133	2.1	1,117
2009.1/4	종로구	가회동	2,510	6,071	2,930	3,141	5,869	2,842	3,027	202	88	114	2.34	801
2009.1/4	종로구	종로1.2.3.4가동	4,496	8,706	4,903	3,803	7,294	4,144	3,150	1,412	759	653	1.62	1,282
2009.1/4	종로구	종로5·6가동	3,017	6,779	3,585	3,194	6,413	3,427	2,986	366	158	208	2.13	860
2009.1/4	종로구	이화동	4,531	10,344	4,995	5,349	9,535	4,620	4,915	809	375	434	2.1	940
2009.1/4	종로구	혜화동	5,622	13,075	6,351	6,724	12,288	5,990	6,298	787	361	426	2.19	1,300
2009.1/4	종로구	명륜3가동	3,719	7,456	3,988	3,468	6,697	3,651	3,046	759	337	422	1.8	797
2009.1/4	종로구	창신1동	3,497	8,648	4,427	4,221	7,062	3,665	3,397	1,586	762	824	2.02	849
2009.1/4	종로구	창신2동	5,105	12,339	6,280	6,059	11,875	6,064	5,811	464	216	248	2.33	1,261
2009.1/4	종로구	창신3동	3,141	8,720	4,386	4,334	8,630	4,344	4,286	90	42	48	2.75	827
2009.1/4	종로구	숭인1동	3,155	8,148	4,012	4,136	7,480	3,697	3,783	668	315	353	2.37	747
2009.1/4	종로구	숭인2동	4,388	9,147	4,725	4,422	8,988	4,657	4,331	159	68	91	2.05	1,117
2009.1/4	종로구	청운효자동	6,247	16,390	8,060	8,330	16,116	7,935	8,181	274	125	149	2.58	1,864
2009.1/4	중구	소계	58,161	139,047	69,472	69,575	130,292	65,204	65,088	8,755	4,268	4,487	2.24	15,620
2009.1/4	중구	소공동	576	1,687	905	782	1,098	563	535	589	342	247	1.91	143
2009.1/4	중구	회현동	2,638	5,237	2,899	2,338	4,451	2,460	1,991	786	439	347	1.69	761
2009.1/4	중구	명동	1,340	3,427	1,595	1,832	2,837	1,254	1,583	590	341	249	2.12	478
2009.1/4	중구	필동	2,305	5,183	2,735	2,448	4,646	2,470	2,176	537	265	272	2.02	616
2009.1/4	중구	장충동	2,927	6,315	3,167	3,148	5,769	2,935	2,834	546	232	314	1.97	664
2009.1/4	중구	광희동	2,709	6,030	3,185	2,845	4,997	2,699	2,298	1,033	486	547	1.84	720
2009.1/4	중구	을지로동	1,202	1,974	1,174	800	1,830	1,108	722	144	66	78	1.52	331
2009.1/4	중구	신당1동	4,068	10,517	5,277	5,240	8,407	4,317	4,090	2,110	960	1,150	2.07	993
2009.1/4	중구	신당2동	7,279	17,354	8,505	8,849	17,047	8,360	8,687	307	145	162	2.34	1,791
2009.1/4	중구	신당3동	8,127	20,263	9,801	10,462	20,027	9,695	10,332	236	106	130	2.46	2,336
2009.1/4	중구	신당4동	6,514	16,626	8,042	8,584	16,443	7,959	8,484	183	83	100	2.52	1,833
2009.1/4	중구	신당5동	3,775	8,664	4,368	4,296	8,391	4,240	4,151	273	128	145	2.22	1,014
2009.1/4	중구	신당6동	3,797	10,100	4,972	5,128	9,944	4,897	5,047	156	75	81	2.62	1,054
2009.1/4	중구	황학동	5,360	12,504	6,318	6,186	11,633	5,905	5,728	871	413	458	2.17	1,266
2009.1/4	중구	중림동	5,544	13,166	6,529	6,637	12,772	6,342	6,430	394	187	207	2.3	1,620
