기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.4/4	합계	합계	4,263,868	10,049,607	4,910,849	5,138,758	9,765,623	4,773,899	4,991,724	283,984	136,950	147,034	2.29	1,416,131
2018.4/4	종로구	소계	73,735	163,026	79,156	83,870	153,065	74,825	78,240	9,961	4,331	5,630	2.08	26,742
2018.4/4	종로구	사직동	4,528	9,818	4,448	5,370	9,546	4,295	5,251	272	153	119	2.11	1,763
2018.4/4	종로구	삼청동	1,408	3,073	1,455	1,618	2,836	1,333	1,503	237	122	115	2.01	634
2018.4/4	종로구	부암동	4,315	10,537	5,054	5,483	10,149	4,879	5,270	388	175	213	2.35	1,742
2018.4/4	종로구	평창동	7,592	19,105	8,970	10,135	18,951	8,895	10,056	154	75	79	2.5	3,154
2018.4/4	종로구	무악동	3,002	8,260	3,865	4,395	8,215	3,849	4,366	45	16	29	2.74	1,307
2018.4/4	종로구	교남동	4,576	10,846	5,060	5,786	10,701	4,993	5,708	145	67	78	2.34	1,483
2018.4/4	종로구	가회동	2,058	4,546	2,126	2,420	4,429	2,062	2,367	117	64	53	2.15	902
2018.4/4	종로구	종로1.2.3.4가동	5,291	8,462	4,943	3,519	7,420	4,407	3,013	1,042	536	506	1.4	1,872
2018.4/4	종로구	종로5·6가동	3,139	5,597	3,046	2,551	5,225	2,862	2,363	372	184	188	1.66	1,091
2018.4/4	종로구	이화동	4,485	8,621	4,020	4,601	8,083	3,818	4,265	538	202	336	1.8	1,342
2018.4/4	종로구	창신1동	2,996	6,237	3,366	2,871	5,364	2,913	2,451	873	453	420	1.79	1,169
2018.4/4	종로구	창신2동	4,167	10,015	5,072	4,943	8,780	4,485	4,295	1,235	587	648	2.11	1,673
2018.4/4	종로구	창신3동	2,889	7,439	3,667	3,772	7,254	3,571	3,683	185	96	89	2.51	1,135
