기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1990	서울특별시	합계	합계	2,726,492	2,817,484	1,972,421	…	…	…	754,071	845,063	-90,992
1990	서울특별시	합계	남자	1,384,655	1,430,414	995,821	…	…	…	388,834	434,593	-45,759
1990	서울특별시	합계	여자	1,341,837	1,387,070	976,600	…	…	…	365,237	410,470	-45,233
1990	서울특별시	1월	합계	152,692	150,511	101,142	…	…	…	51,550	49,369	2,181
1990	서울특별시	1월	남자	76,756	75,370	50,685	…	…	…	26,071	24,685	1,386
1990	서울특별시	1월	여자	75,936	75,141	50,457	…	…	…	25,479	24,684	795
1990	서울특별시	2월	합계	191,921	185,690	124,980	…	…	…	66,941	60,710	6,231
1990	서울특별시	2월	남자	98,388	95,174	63,539	…	…	…	34,849	31,635	3,214
1990	서울특별시	2월	여자	93,533	90,516	61,441	…	…	…	32,092	29,075	3,017
1990	서울특별시	3월	합계	266,470	279,792	189,520	…	…	…	76,950	90,272	-13,322
1990	서울특별시	3월	남자	136,675	143,253	96,138	…	…	…	40,537	47,115	-6,578
1990	서울특별시	3월	여자	129,795	136,539	93,382	…	…	…	36,413	43,157	-6,744
1990	서울특별시	4월	합계	290,905	319,643	218,201	…	…	…	72,704	101,442	-28,738
1990	서울특별시	4월	남자	148,389	162,675	110,611	…	…	…	37,778	52,064	-14,286
1990	서울특별시	4월	여자	142,516	156,968	107,590	…	…	…	34,926	49,378	-14,452
1990	서울특별시	5월	합계	292,287	313,999	223,636	…	…	…	68,651	90,363	-21,712
1990	서울특별시	5월	남자	148,199	159,560	112,659	…	…	…	35,540	46,901	-11,361
1990	서울특별시	5월	여자	144,088	154,439	110,977	…	…	…	33,111	43,462	-10,351
1990	서울특별시	6월	합계	235,444	251,096	175,961	…	…	…	59,483	75,135	-15,652
1990	서울특별시	6월	남자	118,913	127,090	88,630	…	…	…	30,283	38,460	-8,177
1990	서울특별시	6월	여자	116,531	124,006	87,331	…	…	…	29,200	36,675	-7,475
1990	서울특별시	7월	합계	226,658	235,384	165,437	…	…	…	61,221	69,947	-8,726
1990	서울특별시	7월	남자	114,503	119,362	83,419	…	…	…	31,084	35,943	-4,859
1990	서울특별시	7월	여자	112,155	116,022	82,018	…	…	…	30,137	34,004	-3,867
1990	서울특별시	8월	합계	204,474	206,440	145,564	…	…	…	58,910	60,876	-1,966
1990	서울특별시	8월	남자	103,022	104,644	73,138	…	…	…	29,884	31,506	-1,622
1990	서울특별시	8월	여자	101,452	101,796	72,426	…	…	…	29,026	29,370	-344
1990	서울특별시	9월	합계	196,781	197,709	139,794	…	…	…	56,987	57,915	-928
1990	서울특별시	9월	남자	100,262	100,526	70,570	…	…	…	29,692	29,956	-264
1990	서울특별시	9월	여자	96,519	97,183	69,224	…	…	…	27,295	27,959	-664
1990	서울특별시	10월	합계	217,859	221,420	160,197	…	…	…	57,662	61,223	-3,561
1990	서울특별시	10월	남자	110,975	112,447	81,239	…	…	…	29,736	31,208	-1,472
1990	서울특별시	10월	여자	106,884	108,973	78,958	…	…	…	27,926	30,015	-2,089
1990	서울특별시	11월	합계	248,307	253,204	183,669	…	…	…	64,638	69,535	-4,897
1990	서울특별시	11월	남자	126,274	128,341	92,743	…	…	…	33,531	35,598	-2,067
1990	서울특별시	11월	여자	122,033	124,863	90,926	…	…	…	31,107	33,937	-2,830
