기간	컬럼1	컬럼2	성별	구분	구분	구분	구분	구분	구분	구분	구분
기간	컬럼1	컬럼2	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	컬럼1	컬럼2	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2007	합계	합계	계	2,078,045	2,130,928	656,506	656,506	792,098	792,098	629,441	682,324
2007	합계	합계	남자	1,026,263	1,057,707	321,278	321,278	393,613	393,613	311,372	342,816
2007	합계	합계	여자	1,051,782	1,073,221	335,228	335,228	398,485	398,485	318,069	339,508
2007	종로구	소계	계	34,813	36,258	6,981	6,981	17,020	19,104	10,812	10,173
2007	종로구	소계	남자	17,673	18,513	3,484	3,484	8,545	9,695	5,644	5,334
2007	종로구	소계	여자	17,140	17,745	3,497	3,497	8,475	9,409	5,168	4,839
2007	종로구	청운동	계	1,069	1,182	344	417	479	534	246	231
2007	종로구	청운동	남자	539	609	175	224	236	270	128	115
2007	종로구	청운동	여자	530	573	169	193	243	264	118	116
2007	종로구	효자동	계	2,363	2,358	547	525	1,049	1,190	767	643
2007	종로구	효자동	남자	1,131	1,131	272	244	480	547	379	340
2007	종로구	효자동	여자	1,232	1,227	275	281	569	643	388	303
2007	종로구	사직동	계	2,175	1,987	498	443	1,112	975	565	569
2007	종로구	사직동	남자	1,049	983	238	210	536	486	275	287
2007	종로구	사직동	여자	1,126	1,004	260	233	576	489	290	282
2007	종로구	삼청동	계	712	953	122	245	321	446	269	262
2007	종로구	삼청동	남자	347	479	65	115	142	230	140	134
2007	종로구	삼청동	여자	365	474	57	130	179	216	129	128
2007	종로구	부암동	계	2,592	2,525	615	582	1,316	1,311	661	632
2007	종로구	부암동	남자	1,268	1,303	307	319	649	665	312	319
2007	종로구	부암동	여자	1,324	1,222	308	263	667	646	349	313
2007	종로구	평창동	계	3,210	3,514	596	501	1,756	1,922	858	1,091
2007	종로구	평창동	남자	1,590	1,703	304	239	868	955	418	509
2007	종로구	평창동	여자	1,620	1,811	292	262	888	967	440	582
2007	종로구	무악동	계	1,079	1,141	189	165	586	673	304	303
2007	종로구	무악동	남자	495	546	74	68	277	321	144	157
2007	종로구	무악동	여자	584	595	115	97	309	352	160	146
2007	종로구	교남동	계	1,936	2,363	253	259	1,017	1,384	666	720
2007	종로구	교남동	남자	960	1,140	109	101	509	684	342	355
2007	종로구	교남동	여자	976	1,223	144	158	508	700	324	365
2007	종로구	가회동	계	1,054	1,282	227	256	496	703	331	323
2007	종로구	가회동	남자	505	630	101	125	240	342	164	163
2007	종로구	가회동	여자	549	652	126	131	256	361	167	160
2007	종로구	종로1.2.3.4가동	계	2,322	1,787	252	215	1,291	986	779	586
2007	종로구	종로1.2.3.4가동	남자	1,384	1,058	128	117	788	581	468	360
2007	종로구	종로1.2.3.4가동	여자	938	729	124	98	503	405	311	226
2007	종로구	종로5.6가동	계	1,186	1,395	277	318	549	687	360	390
2007	종로구	종로5.6가동	남자	647	779	144	182	287	370	216	227
2007	종로구	종로5.6가동	여자	539	616	133	136	262	317	144	163
2007	종로구	이화동	계	2,193	2,505	351	411	1,033	1,427	809	667
2007	종로구	이화동	남자	1,026	1,249	154	215	492	711	380	323
2007	종로구	이화동	여자	1,167	1,256	197	196	541	716	429	344
2007	종로구	혜화동	계	3,076	3,017	564	430	1,420	1,795	1,092	792
2007	종로구	혜화동	남자	1,547	1,503	296	216	691	871	560	416
2007	종로구	혜화동	여자	1,529	1,514	268	214	729	924	532	376
2007	종로구	명륜3가동	계	1,759	1,842	251	354	602	855	906	633
2007	종로구	명륜3가동	남자	1,028	1,083	139	182	329	512	560	389
2007	종로구	명륜3가동	여자	731	759	112	172	273	343	346	244
2007	종로구	창신1동	계	1,503	1,537	376	439	686	693	441	405
2007	종로구	창신1동	남자	784	819	193	215	350	379	241	225
2007	종로구	창신1동	여자	719	718	183	224	336	314	200	180
2007	종로구	창신2동	계	1,898	1,891	458	454	860	898	580	539
2007	종로구	창신2동	남자	983	968	236	223	437	452	310	293
2007	종로구	창신2동	여자	915	923	222	231	423	446	270	246
2007	종로구	창신3동	계	1,528	1,577	412	313	745	799	371	465
2007	종로구	창신3동	남자	754	772	208	155	371	384	175	233
2007	종로구	창신3동	여자	774	805	204	158	374	415	196	232
2007	종로구	숭인1동	계	1,250	1,434	341	387	614	697	295	350
2007	종로구	숭인1동	남자	615	737	174	198	304	360	137	179
2007	종로구	숭인1동	여자	635	697	167	189	310	337	158	171
2007	종로구	숭인2동	계	1,908	1,968	308	267	1,088	1,129	512	572
2007	종로구	숭인2동	남자	1,021	1,021	167	136	559	575	295	310
2007	종로구	숭인2동	여자	887	947	141	131	529	554	217	262
2007	중구	소계	계	25,871	27,222	4,910	4,910	13,374	14,476	7,587	7,836
2007	중구	소계	남자	13,062	13,754	2,450	2,450	6,662	7,269	3,950	4,035
2007	중구	소계	여자	12,809	13,468	2,460	2,460	6,712	7,207	3,637	3,801
2007	중구	소공동	계	707	490	40	33	526	348	141	109
2007	중구	소공동	남자	324	225	23	9	238	152	63	64
