기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2016	합계	합계	1,515,602	1,655,859	487,722	487,722	574,193	574,193	453,687	593,944
2016	종로구	소계	23,604	26,386	4,145	4,145	11,135	13,913	8,324	8,328
2016	종로구	사직동	1,725	1,790	290	301	928	988	507	501
2016	종로구	삼청동	348	420	60	76	191	207	97	137
2016	종로구	부암동	1,415	1,651	381	349	660	799	374	503
2016	종로구	평창동	2,667	2,664	408	332	1,320	1,452	939	880
2016	종로구	무악동	1,071	1,187	131	86	678	729	262	372
2016	종로구	교남동	691	839	153	110	347	467	191	262
2016	종로구	가회동	564	779	73	136	306	415	185	228
2016	종로구	종로1.2.3.4가동	1,757	1,909	128	250	856	974	773	685
2016	종로구	종로5·6가동	920	1,137	163	281	342	493	415	363
2016	종로구	이화동	1,507	1,800	245	294	627	958	635	548
2016	종로구	창신1동	865	1,099	262	321	372	510	231	268
2016	종로구	창신2동	953	1,240	282	299	431	586	240	355
2016	종로구	창신3동	1,030	1,272	239	247	512	671	279	354
2016	종로구	숭인1동	1,018	1,137	299	244	471	579	248	314
2016	종로구	숭인2동	2,108	1,972	277	119	1,058	1,229	773	624
2016	종로구	청운효자동	1,756	2,163	380	493	765	1,027	611	643
2016	종로구	혜화동	3,209	3,327	374	207	1,271	1,829	1,564	1,291
2016	중구	소계	20,595	21,655	3,844	3,844	10,582	11,618	6,169	6,193
2016	중구	소공동	985	313	40	22	711	193	234	98
2016	중구	회현동	884	1,005	40	109	514	605	330	291
2016	중구	명동	494	520	57	52	283	300	154	168
2016	중구	필동	747	867	97	117	307	431	343	319
2016	중구	장충동	924	1,158	137	240	286	501	501	417
2016	중구	광희동	989	894	205	165	457	453	327	276
2016	중구	을지로동	351	379	44	46	188	210	119	123
2016	중구	신당5동	1,528	1,881	398	429	785	1,018	345	434
2016	중구	황학동	2,298	2,436	298	312	1,285	1,470	715	654
2016	중구	중림동	1,401	1,471	66	65	907	927	428	479
2016	중구	신당동	1,834	1,551	444	475	892	680	498	396
2016	중구	다산동	2,221	2,420	555	561	997	1,138	669	721
2016	중구	약수동	2,388	2,718	423	382	1,268	1,557	697	779
2016	중구	청구동	1,927	2,343	537	453	928	1,264	462	626
2016	중구	동화동	1,624	1,699	503	416	774	871	347	412
2016	용산구	소계	34,124	38,615	7,881	7,881	14,917	17,371	11,326	13,363
2016	용산구	후암동	2,392	2,828	674	605	922	1,134	796	1,089
2016	용산구	용산2가동	1,372	1,860	380	444	520	735	472	681
2016	용산구	남영동	1,789	1,810	369	379	829	834	591	597
2016	용산구	원효로2동	1,906	2,173	520	440	901	1,031	485	702
2016	용산구	효창동	1,476	1,740	455	465	643	729	378	546
2016	용산구	용문동	1,767	2,001	507	545	777	845	483	611
2016	용산구	이촌1동	3,313	3,481	676	605	1,773	1,785	864	1,091
2016	용산구	이촌2동	1,149	1,478	367	405	456	558	326	515
2016	용산구	이태원1동	1,155	1,358	346	412	439	481	370	465
2016	용산구	이태원2동	1,252	1,595	268	381	542	681	442	533
2016	용산구	서빙고동	2,380	2,293	475	422	736	866	1,169	1,005
2016	용산구	보광동	2,063	2,487	599	508	719	1,058	745	921
2016	용산구	청파동	3,196	3,694	462	476	1,391	1,813	1,343	1,405
2016	용산구	원효로1동	3,053	2,837	826	603	1,315	1,255	912	979
2016	용산구	한강로동	2,748	2,854	514	613	1,292	1,321	942	920
2016	용산구	한남동	3,113	4,126	443	578	1,662	2,245	1,008	1,303
2016	성동구	소계	47,629	46,986	11,320	11,320	23,322	20,542	12,987	15,124
2016	성동구	왕십리2동	2,759	2,408	796	727	1,364	971	599	710
2016	성동구	마장동	3,087	3,715	702	807	1,224	1,589	1,161	1,319
2016	성동구	사근동	2,348	2,674	332	541	594	1,050	1,422	1,083
2016	성동구	행당1동	2,012	2,495	617	827	794	999	601	669
2016	성동구	행당2동	2,898	3,418	713	1,015	1,460	1,375	725	1,028
2016	성동구	응봉동	2,225	2,428	831	811	934	900	460	717
2016	성동구	금호1가동	1,468	1,859	545	679	606	659	317	521
2016	성동구	금호4가동	2,260	2,561	556	838	1,117	1,055	587	668
2016	성동구	성수1가1동	2,442	2,833	633	788	1,122	1,099	687	946
2016	성동구	성수1가2동	2,463	3,053	575	735	1,112	1,293	776	1,025
2016	성동구	성수2가1동	2,321	2,974	591	560	1,020	1,360	710	1,054
2016	성동구	성수2가3동	2,111	2,225	474	437	964	1,010	673	778
2016	성동구	송정동	1,763	1,820	320	150	1,039	1,077	404	593
2016	성동구	용답동	2,370	2,498	238	156	1,439	1,532	693	810
2016	성동구	왕십리도선동	4,929	2,997	1,133	579	2,824	1,478	972	940
2016	성동구	금호2.3가동	5,279	3,442	1,428	1,010	2,804	1,297	1,047	1,135
2016	성동구	옥수동	4,894	3,586	836	660	2,905	1,798	1,153	1,128
2016	광진구	소계	55,362	60,446	16,943	16,943	21,257	21,770	17,162	21,733
2016	광진구	화양동	5,550	5,611	632	1,098	1,685	2,249	3,233	2,264
2016	광진구	군자동	3,508	3,895	825	968	1,471	1,546	1,212	1,381
2016	광진구	중곡1동	2,728	3,029	964	970	1,113	1,062	651	997
2016	광진구	중곡2동	3,855	3,747	1,558	1,254	1,409	1,225	888	1,268
2016	광진구	중곡3동	2,921	3,151	911	832	1,361	1,342	649	977
2016	광진구	중곡4동	4,284	4,701	1,573	1,437	1,674	1,621	1,037	1,643
2016	광진구	능동	2,300	2,463	676	737	929	906	695	820
2016	광진구	구의1동	4,156	4,390	1,289	1,408	1,433	1,445	1,434	1,537
2016	광진구	구의2동	3,445	3,537	1,415	1,076	1,208	1,138	822	1,323
2016	광진구	구의3동	4,087	4,561	1,359	1,193	1,520	1,575	1,208	1,793
2016	광진구	광장동	4,302	4,756	880	940	2,166	1,927	1,256	1,889
2016	광진구	자양1동	4,036	4,187	1,622	1,454	1,285	1,285	1,129	1,448
2016	광진구	자양2동	3,740	4,245	1,547	1,304	1,239	1,387	954	1,554
2016	광진구	자양3동	3,643	4,515	1,090	1,215	1,548	1,762	1,005	1,538
2016	광진구	자양4동	2,807	3,658	602	1,057	1,216	1,300	989	1,301
2016	동대문구	소계	49,591	55,622	14,207	14,207	19,652	22,181	15,732	19,234
2016	동대문구	회기동	2,081	2,332	502	555	566	879	1,013	898
2016	동대문구	휘경1동	2,385	3,133	801	927	692	1,207	892	999
2016	동대문구	휘경2동	3,825	4,006	1,216	1,018	1,070	1,455	1,539	1,533
2016	동대문구	청량리동	2,630	3,064	833	749	1,061	1,254	736	1,061
2016	동대문구	용신동	5,396	5,300	801	924	2,662	2,532	1,933	1,844
2016	동대문구	제기동	3,510	4,407	821	850	1,449	1,986	1,240	1,571
2016	동대문구	전농1동	3,783	4,408	1,275	1,320	1,382	1,584	1,126	1,504
2016	동대문구	전농2동	2,161	2,518	992	901	693	816	476	801
2016	동대문구	답십리1동	3,657	4,156	974	1,097	1,731	1,645	952	1,414
2016	동대문구	답십리2동	3,006	3,639	1,136	1,323	1,218	1,153	652	1,163
2016	동대문구	장안1동	6,075	5,450	1,714	1,341	2,842	2,226	1,519	1,883
2016	동대문구	장안2동	4,285	5,279	1,691	1,754	1,643	1,864	951	1,661
2016	동대문구	이문1동	4,133	4,899	847	1,066	1,341	1,967	1,945	1,866
2016	동대문구	이문2동	2,664	3,031	604	382	1,302	1,613	758	1,036
2016	중랑구	소계	60,566	64,823	24,608	24,608	21,351	17,417	14,607	22,798
2016	중랑구	면목2동	3,721	3,919	1,539	1,612	1,382	1,003	800	1,304
2016	중랑구	면목4동	3,012	3,508	784	978	1,500	1,313	728	1,217
2016	중랑구	면목5동	1,731	2,568	720	1,327	645	575	366	666
2016	중랑구	면목7동	3,231	3,898	1,073	1,449	1,369	1,264	789	1,185
2016	중랑구	상봉1동	3,467	3,705	1,674	1,508	988	766	805	1,431
2016	중랑구	상봉2동	4,307	3,960	1,714	1,649	1,435	1,046	1,158	1,265
2016	중랑구	중화1동	3,255	3,377	1,321	1,391	1,197	927	737	1,059
2016	중랑구	중화2동	4,146	4,670	1,571	1,820	1,564	1,269	1,011	1,581
2016	중랑구	묵1동	4,608	5,128	1,485	1,402	1,981	1,821	1,142	1,905
2016	중랑구	묵2동	3,781	3,243	1,447	1,159	1,522	1,054	812	1,030
2016	중랑구	망우3동	3,138	2,923	1,701	1,266	807	640	630	1,017
2016	중랑구	신내1동	4,731	4,966	2,261	1,511	1,418	1,230	1,052	2,225
2016	중랑구	신내2동	2,863	3,347	1,189	1,247	997	854	677	1,246
2016	중랑구	면목본동	5,932	5,759	2,450	2,318	2,049	1,441	1,433	2,000
2016	중랑구	면목3.8동	3,957	4,536	1,789	2,000	1,270	1,116	898	1,420
2016	중랑구	망우본동	4,686	5,316	1,890	1,971	1,227	1,098	1,569	2,247
2016	성북구	소계	60,000	70,396	19,693	19,693	23,758	29,144	16,549	21,559
2016	성북구	돈암1동	1,962	2,254	710	781	736	758	516	715
2016	성북구	돈암2동	2,700	2,865	1,037	936	1,100	1,085	563	844
