기간	자치구	동	성별	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2005	서울시	서울시	서울시	1,990,749	2,041,756	628,013	628,013	769,700	769,700	593,036	644,043
2005	종로구	계	계	34,264	39,221	7,910	7,910	16,173	21,273	10,181	10,038
2005	종로구	청운동	소계	1,066	1,344	394	467	475	647	197	230
2005	종로구	효자동	소계	2,318	2,477	623	564	1,009	1,141	686	772
2005	종로구	사직동	소계	2,179	2,037	431	445	1,093	1,102	655	490
2005	종로구	삼청동	소계	668	871	150	200	314	439	204	232
2005	종로구	부암동	소계	2,309	2,817	557	711	1,173	1,442	579	664
2005	종로구	평창동	소계	3,470	3,382	705	528	1,872	1,902	893	952
2005	종로구	무악동	소계	1,140	2,556	202	392	631	1,776	307	388
2005	종로구	교남동	소계	2,219	2,044	472	213	1,113	1,219	634	612
2005	종로구	가회동	소계	1,062	1,230	267	234	464	648	331	348
2005	종로구	종로1.2.3.4가동	소계	1,646	1,746	207	258	836	965	603	523
2005	종로구	종로5.6가동	소계	1,143	1,305	248	354	552	621	343	330
2005	종로구	이화동	소계	2,242	2,651	451	530	1,043	1,426	748	695
2005	종로구	혜화동	소계	3,033	2,999	602	434	1,415	1,719	1,016	846
2005	종로구	명륜3가동	소계	1,633	1,696	303	320	506	778	824	598
2005	종로구	창신제1동	소계	1,656	1,860	548	513	674	935	434	412
2005	종로구	창신제2동	소계	1,751	1,899	446	477	776	855	529	567
2005	종로구	창신제3동	소계	1,449	1,629	510	362	580	854	359	413
2005	종로구	숭인제1동	소계	1,558	2,420	495	646	736	1,366	327	408
