"행정구역","2017년01월_총인구수","2017년01월_세대수","2017년01월_세대당 인구","2017년02월_총인구수","2017년02월_세대수","2017년02월_세대당 인구","2017년03월_총인구수","2017년03월_세대수","2017년03월_세대당 인구","2017년04월_총인구수","2017년04월_세대수","2017년04월_세대당 인구","2017년05월_총인구수","2017년05월_세대수","2017년05월_세대당 인구","2017년06월_총인구수","2017년06월_세대수","2017년06월_세대당 인구","2017년07월_총인구수","2017년07월_세대수","2017년07월_세대당 인구","2017년08월_총인구수","2017년08월_세대수","2017년08월_세대당 인구","2017년09월_총인구수","2017년09월_세대수","2017년09월_세대당 인구","2017년10월_총인구수","2017년10월_세대수","2017년10월_세대당 인구","2017년11월_총인구수","2017년11월_세대수","2017년11월_세대당 인구","2017년12월_총인구수","2017년12월_세대수","2017년12월_세대당 인구","2018년01월_총인구수","2018년01월_세대수","2018년01월_세대당 인구","2018년02월_총인구수","2018년02월_세대수","2018년02월_세대당 인구","2018년03월_총인구수","2018년03월_세대수","2018년03월_세대당 인구","2018년04월_총인구수","2018년04월_세대수","2018년04월_세대당 인구","2018년05월_총인구수","2018년05월_세대수","2018년05월_세대당 인구","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년07월_총인구수","2018년07월_세대수","2018년07월_세대당 인구","2018년08월_총인구수","2018년08월_세대수","2018년08월_세대당 인구","2018년09월_총인구수","2018년09월_세대수","2018년09월_세대당 인구","2018년10월_총인구수","2018년10월_세대수","2018년10월_세대당 인구","2018년11월_총인구수","2018년11월_세대수","2018년11월_세대당 인구","2018년12월_총인구수","2018년12월_세대수","2018년12월_세대당 인구","2019년01월_총인구수","2019년01월_세대수","2019년01월_세대당 인구","2019년02월_총인구수","2019년02월_세대수","2019년02월_세대당 인구","2019년03월_총인구수","2019년03월_세대수","2019년03월_세대당 인구","2019년04월_총인구수","2019년04월_세대수","2019년04월_세대당 인구","2019년05월_총인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년08월_총인구수","2019년08월_세대수","2019년08월_세대당 인구","2019년09월_총인구수","2019년09월_세대수","2019년09월_세대당 인구","2019년10월_총인구수","2019년10월_세대수","2019년10월_세대당 인구","2019년11월_총인구수","2019년11월_세대수","2019년11월_세대당 인구","2019년12월_총인구수","2019년12월_세대수","2019년12월_세대당 인구"
"전국  (0000000000000)","51,704,332","21,312,864","      2.43","51,712,221","21,352,287","      2.42","51,714,935","21,381,346","      2.42","51,722,903","21,402,062","      2.42","51,732,586","21,429,935","      2.41","51,736,224","21,455,795","      2.41","51,744,948","21,482,219","      2.41","51,753,820","21,514,559","      2.41","51,762,492","21,544,772","      2.40","51,769,092","21,570,895","      2.40","51,774,649","21,599,577","      2.40","51,778,544","21,632,851","      2.39","51,779,148","21,662,900","      2.39","51,779,892","21,703,524","      2.39","51,784,669","21,745,437","      2.38","51,790,131","21,777,777","      2.38","51,796,179","21,804,246","      2.38","51,801,449","21,825,601","      2.37","51,806,977","21,853,371","      2.37","51,812,153","21,895,153","      2.37","51,817,851","21,930,578","      2.36","51,821,881","21,972,704","      2.36","51,824,477","22,006,919","      2.35","51,826,059","22,042,947","      2.35","51,826,287","22,081,397","      2.35","51,829,538","22,131,431","      2.34","51,833,175","22,175,371","      2.34","51,836,763","22,212,339","      2.33","51,840,339","22,253,218","      2.33","51,842,636","22,281,663","      2.33","51,845,612","22,314,013","      2.32","51,847,538","22,347,155","      2.32","51,849,253","22,380,985","      2.32","51,850,705","22,414,439","      2.31","51,851,427","22,444,006","      2.31","51,849,861","22,481,466","      2.31"
"서울특별시  (1100000000)","9,930,478","4,192,985","      2.37","9,931,412","4,200,761","      2.36","9,926,968","4,202,888","      2.36","9,922,745","4,203,957","      2.36","9,919,016","4,207,393","      2.36","9,914,381","4,210,933","      2.35","9,908,612","4,213,667","      2.35","9,902,072","4,217,954","      2.35","9,891,448","4,219,001","      2.34","9,882,810","4,219,562","      2.34","9,870,167","4,219,280","      2.34","9,857,426","4,220,082","      2.34","9,851,767","4,224,387","      2.33","9,845,336","4,231,130","      2.33","9,838,892","4,237,610","      2.32","9,830,452","4,239,848","      2.32","9,820,971","4,240,628","      2.32","9,814,049","4,241,547","      2.31","9,806,538","4,243,687","      2.31","9,799,075","4,249,335","      2.31","9,793,003","4,254,018","      2.30","9,784,112","4,258,518","      2.30","9,774,088","4,260,463","      2.29","9,765,623","4,263,868","      2.29","9,766,288","4,271,551","      2.29","9,770,638","4,283,150","      2.28","9,770,216","4,290,922","      2.28","9,766,886","4,296,066","      2.27","9,762,062","4,301,522","      2.27","9,757,144","4,304,243","      2.27","9,751,415","4,308,300","      2.26","9,744,888","4,312,172","      2.26","9,740,398","4,315,921","      2.26","9,736,289","4,319,322","      2.25","9,732,577","4,322,454","      2.25","9,729,107","4,327,605","      2.25"
"부산광역시  (2600000000)","3,496,779","1,452,162","      2.41","3,495,478","1,454,891","      2.40","3,493,041","1,456,356","      2.40","3,491,282","1,457,360","      2.40","3,489,212","1,459,062","      2.39","3,486,570","1,460,244","      2.39","3,484,836","1,462,269","      2.38","3,484,183","1,464,626","      2.38","3,482,804","1,466,181","      2.38","3,478,109","1,466,384","      2.37","3,474,534","1,466,889","      2.37","3,470,653","1,467,555","      2.36","3,467,055","1,468,069","      2.36","3,465,407","1,470,058","      2.36","3,463,103","1,471,933","      2.35","3,460,707","1,472,729","      2.35","3,458,134","1,473,233","      2.35","3,455,611","1,473,448","      2.35","3,453,198","1,474,088","      2.34","3,451,049","1,475,668","      2.34","3,449,593","1,477,190","      2.34","3,446,856","1,478,697","      2.33","3,444,540","1,479,534","      2.33","3,441,453","1,480,468","      2.32","3,438,259","1,481,315","      2.32","3,436,230","1,483,699","      2.32","3,434,091","1,485,852","      2.31","3,431,750","1,487,469","      2.31","3,429,595","1,489,073","      2.30","3,427,632","1,490,226","      2.30","3,425,317","1,491,205","      2.30","3,423,209","1,492,645","      2.29","3,421,502","1,494,074","      2.29","3,418,871","1,495,123","      2.29","3,416,721","1,496,361","      2.28","3,413,841","1,497,908","      2.28"
"대구광역시  (2700000000)","2,484,688","995,376","      2.50","2,484,578","997,275","      2.49","2,483,488","998,249","      2.49","2,483,105","998,756","      2.49","2,482,476","999,571","      2.48","2,481,985","1,000,396","      2.48","2,481,489","1,001,312","      2.48","2,479,887","1,002,305","      2.47","2,478,236","1,003,058","      2.47","2,477,186","1,004,083","      2.47","2,476,557","1,005,244","      2.46","2,475,231","1,006,753","      2.46","2,474,309","1,008,158","      2.45","2,473,466","1,009,865","      2.45","2,472,175","1,010,995","      2.45","2,471,136","1,012,012","      2.44","2,469,936","1,013,144","      2.44","2,469,617","1,014,303","      2.43","2,468,824","1,015,395","      2.43","2,467,385","1,016,552","      2.43","2,466,454","1,017,785","      2.42","2,465,145","1,019,055","      2.42","2,464,002","1,019,972","      2.42","2,461,769","1,021,266","      2.41","2,460,382","1,022,727","      2.41","2,458,138","1,023,970","      2.40","2,455,829","1,024,813","      2.40","2,454,154","1,025,515","      2.39","2,452,291","1,026,813","      2.39","2,450,478","1,027,230","      2.39","2,448,666","1,027,763","      2.38","2,446,745","1,028,022","      2.38","2,445,270","1,028,806","      2.38","2,443,528","1,029,583","      2.37","2,441,581","1,030,190","      2.37","2,438,031","1,031,251","      2.36"
"인천광역시  (2800000000)","2,944,009","1,172,392","      2.51","2,944,266","1,174,178","      2.51","2,944,630","1,175,439","      2.51","2,945,305","1,176,610","      2.50","2,946,270","1,178,143","      2.50","2,946,915","1,179,716","      2.50","2,947,803","1,181,162","      2.50","2,948,014","1,182,564","      2.49","2,947,298","1,183,886","      2.49","2,948,098","1,185,385","      2.49","2,948,241","1,186,930","      2.48","2,948,542","1,188,917","      2.48","2,950,771","1,191,418","      2.48","2,951,629","1,193,780","      2.47","2,951,442","1,195,636","      2.47","2,952,476","1,197,713","      2.47","2,953,255","1,199,382","      2.46","2,953,883","1,200,814","      2.46","2,953,841","1,202,183","      2.46","2,953,206","1,204,048","      2.45","2,953,116","1,205,783","      2.45","2,953,333","1,208,430","      2.44","2,953,844","1,210,643","      2.44","2,954,642","1,213,201","      2.44","2,955,916","1,216,126","      2.43","2,956,063","1,218,462","      2.43","2,956,513","1,220,608","      2.42","2,956,700","1,222,515","      2.42","2,957,179","1,225,024","      2.41","2,957,024","1,226,531","      2.41","2,956,828","1,228,176","      2.41","2,956,525","1,230,253","      2.40","2,956,804","1,232,450","      2.40","2,956,984","1,234,799","      2.39","2,957,249","1,236,770","      2.39","2,957,026","1,238,641","      2.39"
"광주광역시  (2900000000)","1,469,583","586,957","      2.50","1,468,527","587,518","      2.50","1,467,766","588,121","      2.50","1,467,002","588,354","      2.49","1,466,741","588,810","      2.49","1,466,451","589,232","      2.49","1,466,415","589,706","      2.49","1,466,642","590,485","      2.48","1,466,639","591,238","      2.48","1,466,716","591,805","      2.48","1,466,328","592,495","      2.47","1,463,770","592,818","      2.47","1,464,037","593,739","      2.47","1,463,100","594,453","      2.46","1,462,033","595,079","      2.46","1,460,972","595,477","      2.45","1,460,564","595,819","      2.45","1,460,745","596,150","      2.45","1,461,203","597,143","      2.45","1,461,463","598,494","      2.44","1,461,790","599,749","      2.44","1,461,904","601,251","      2.43","1,461,009","602,298","      2.43","1,459,336","603,107","      2.42","1,459,832","604,691","      2.41","1,459,208","605,981","      2.41","1,458,930","607,007","      2.40","1,458,940","608,121","      2.40","1,459,003","609,584","      2.39","1,459,024","610,567","      2.39","1,459,486","611,937","      2.39","1,459,438","613,002","      2.38","1,459,632","613,991","      2.38","1,459,360","614,917","      2.37","1,458,915","615,885","      2.37","1,456,468","616,485","      2.36"
"대전광역시  (3000000000)","1,514,354","607,090","      2.49","1,513,877","608,763","      2.49","1,512,189","609,447","      2.48","1,511,396","609,963","      2.48","1,509,587","610,436","      2.47","1,508,137","610,915","      2.47","1,507,597","611,746","      2.46","1,507,116","612,740","      2.46","1,506,741","613,372","      2.46","1,505,829","613,864","      2.45","1,504,307","614,201","      2.45","1,502,227","614,639","      2.44","1,501,378","615,642","      2.44","1,499,187","616,462","      2.43","1,497,572","617,219","      2.43","1,496,123","617,757","      2.42","1,495,234","618,339","      2.42","1,494,878","619,181","      2.41","1,495,029","620,418","      2.41","1,494,286","621,746","      2.40","1,493,654","622,579","      2.40","1,492,589","623,363","      2.39","1,491,716","624,296","      2.39","1,489,936","624,965","      2.38","1,488,725","626,103","      2.38","1,487,605","627,893","      2.37","1,486,647","629,084","      2.36","1,485,509","629,623","      2.36","1,484,398","630,429","      2.35","1,482,938","630,835","      2.35","1,481,701","631,528","      2.35","1,480,520","632,274","      2.34","1,479,641","633,284","      2.34","1,478,436","634,132","      2.33","1,476,955","634,605","      2.33","1,474,870","635,343","      2.32"
"울산광역시  (3100000000)","1,171,656","455,430","      2.57","1,169,957","455,624","      2.57","1,168,843","455,783","      2.56","1,168,501","455,975","      2.56","1,167,960","456,174","      2.56","1,167,525","456,402","      2.56","1,166,942","456,655","      2.56","1,165,909","456,770","      2.55","1,165,385","457,001","      2.55","1,165,528","457,607","      2.55","1,165,317","457,950","      2.54","1,165,132","458,547","      2.54","1,164,489","458,894","      2.54","1,163,151","459,342","      2.53","1,162,074","459,655","      2.53","1,161,303","459,902","      2.53","1,160,657","460,046","      2.52","1,159,594","460,076","      2.52","1,158,847","460,206","      2.52","1,157,964","460,572","      2.51","1,157,420","460,772","      2.51","1,156,917","461,024","      2.51","1,156,260","461,311","      2.51","1,155,623","461,756","      2.50","1,154,786","462,218","      2.50","1,153,735","462,929","      2.49","1,152,800","463,628","      2.49","1,152,293","464,318","      2.48","1,151,685","465,046","      2.48","1,151,301","465,588","      2.47","1,150,891","466,091","      2.47","1,150,294","466,584","      2.47","1,149,873","467,135","      2.46","1,149,409","467,642","      2.46","1,148,922","468,072","      2.45","1,148,019","468,659","      2.45"
"세종특별자치시  (3600000000)","244,939","95,032","      2.58","247,600","95,975","      2.58","251,178","97,360","      2.58","254,112","98,597","      2.58","259,157","100,596","      2.58","263,056","102,259","      2.57","266,075","103,442","      2.57","269,102","104,742","      2.57","271,410","105,677","      2.57","274,092","106,858","      2.57","276,879","108,102","      2.56","280,100","109,490","      2.56","283,198","110,573","      2.56","288,079","112,343","      2.56","291,182","113,853","      2.56","295,041","115,640","      2.55","297,604","116,639","      2.55","300,332","117,734","      2.55","302,703","118,722","      2.55","305,648","120,102","      2.54","308,068","121,310","      2.54","310,403","122,394","      2.54","312,103","123,046","      2.54","314,126","123,762","      2.54","316,814","124,840","      2.54","320,326","126,337","      2.54","322,693","127,487","      2.53","324,417","128,330","      2.53","325,777","129,052","      2.52","327,643","129,937","      2.52","330,298","131,110","      2.52","332,098","131,826","      2.52","333,757","132,657","      2.52","336,356","133,728","      2.52","338,647","134,616","      2.52","340,575","135,408","      2.52"
"경기도  (4100000000)","12,728,620","5,010,895","      2.54","12,741,266","5,022,352","      2.54","12,753,983","5,032,867","      2.53","12,763,961","5,040,279","      2.53","12,775,175","5,049,758","      2.53","12,783,741","5,058,506","      2.53","12,795,378","5,067,741","      2.52","12,810,014","5,079,932","      2.52","12,827,633","5,093,580","      2.52","12,841,321","5,105,103","      2.52","12,858,161","5,117,958","      2.51","12,873,895","5,131,379","      2.51","12,890,445","5,145,099","      2.51","12,908,010","5,160,661","      2.50","12,925,761","5,176,163","      2.50","12,941,604","5,189,382","      2.49","12,958,648","5,202,326","      2.49","12,975,176","5,212,883","      2.49","12,993,165","5,225,673","      2.49","13,012,486","5,242,680","      2.48","13,027,338","5,257,306","      2.48","13,045,223","5,275,515","      2.47","13,061,074","5,291,257","      2.47","13,077,153","5,306,214","      2.46","13,090,648","5,320,873","      2.46","13,104,696","5,336,962","      2.46","13,116,579","5,350,353","      2.45","13,129,508","5,363,723","      2.45","13,145,482","5,378,654","      2.44","13,159,178","5,390,454","      2.44","13,176,011","5,404,604","      2.44","13,193,943","5,419,790","      2.43","13,207,219","5,433,375","      2.43","13,218,912","5,446,200","      2.43","13,228,177","5,456,597","      2.42","13,239,666","5,468,920","      2.42"
