공종별,건축
2013. 01,3218102
2013. 02,3245106
2013. 03,4103946
2013. 04,4405888
2013. 05,4331159
2013. 06,4751609
2013. 07,4181517
2013. 08,4283145
2013. 09,4447844
2013. 10,4618520
2013. 11,4952574
2013. 12,5339694
2014. 01,3970283
2014. 02,3878221
2014. 03,4537721
2014. 04,4967888
2014. 05,4823633
2014. 06,5305303
2014. 07,4625176
2014. 08,4490243
2014. 09,4562819
2014. 10,4702756
2014. 11,4721773
2014. 12,5354129
2015. 01,3965879
2015. 02,3961229
2015. 03,4596035
2015. 04,4600605
2015. 05,4773761
2015. 06,5393932
2015. 07,5007587
2015. 08,4904285
2015. 09,5434429
2015. 10,5380910
2015. 11,5526060
2015. 12,6478355
2016. 01,4748006
2016. 02,4754756
2016. 03,5886459
2016. 04,5752243
2016. 05,6028631
2016. 06,6982710
2016. 07,6128001
2016. 08,6355725
2016. 09,6424468
2016. 10,6750631
2016. 11,7361829
2016. 12,8268552
2017. 01,5815397
2017. 02,6161792
2017. 03,7529998
2017. 04,7425116
2017. 05,7374350
2017. 06,8277981
2017. 07,7488312
2017. 08,7522253
2017. 09,8049091
2017. 10,7150091
2017. 11,7894074
2017. 12,8711800
2018. 01,6864630
2018. 02,6186518
2018. 03,7174824
2018. 04,7561548
2018. 05,7384325
2018. 06,7925391
2018. 07,7057122
2018. 08,7023070
2018. 09,6810957
2018. 10,6971066
2018. 11,6961976
2018. 12,7900893
2019. 01,6158349
2019. 02,5614968
2019. 03,6691500
2019. 04,6680185
2019. 05,6695570
2019. 06,7381960
2019. 07,6319377
2019. 08,6221326
2019. 09,5942118
2019. 10,6391704
2019. 11 p),6279056
2019. 12 p),7370450
