월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2006-01,동수별,합계,합계,6583,6583,6583,0,0,0
2006-01,동수별,구조별,철근및철골조,5933,5933,5933,0,0,0
2006-01,동수별,구조별,조적조,539,539,539,0,0,0
2006-01,동수별,구조별,목조,111,111,111,0,0,0
2006-01,동수별,구조별,기타,0,0,0,0,0,0
2006-01,동수별,용도별,주거용,1382,1382,1382,0,0,0
2006-01,동수별,용도별,상업용,1921,1921,1921,0,0,0
2006-01,동수별,용도별,공업용,1477,1477,1477,0,0,0
2006-01,동수별,용도별,교육및사회,404,404,404,0,0,0
2006-01,동수별,용도별,기타,1399,1399,1399,0,0,0
2006-01,연면적별,합계,합계,4016006,4016006,4016006,0,0,0
2006-01,연면적별,구조별,철근및철골조,3964042,3964042,3964042,0,0,0
2006-01,연면적별,구조별,조적조,38359,38359,38359,0,0,0
2006-01,연면적별,구조별,목조,13605,13605,13605,0,0,0
2006-01,연면적별,구조별,기타,0,0,0,0,0,0
2006-01,연면적별,용도별,주거용,1016271,1016271,1016271,0,0,0
2006-01,연면적별,용도별,상업용,1155951,1155951,1155951,0,0,0
2006-01,연면적별,용도별,공업용,982407,982407,982407,0,0,0
2006-01,연면적별,용도별,교육및사회,363926,363926,363926,0,0,0
2006-01,연면적별,용도별,기타,497451,497451,497451,0,0,0
2006-03,동수별,합계,합계,12607,12607,12607,0,0,0
2006-03,동수별,구조별,철근및철골조,11115,11115,11115,0,0,0
2006-03,동수별,구조별,조적조,1245,1245,1245,0,0,0
2006-03,동수별,구조별,목조,247,247,247,0,0,0
2006-03,동수별,구조별,기타,0,0,0,0,0,0
2006-03,동수별,용도별,주거용,3581,3581,3581,0,0,0
2006-03,동수별,용도별,상업용,3571,3571,3571,0,0,0
2006-03,동수별,용도별,공업용,2354,2354,2354,0,0,0
2006-03,동수별,용도별,교육및사회,633,633,633,0,0,0
2006-03,동수별,용도별,기타,2468,2468,2468,0,0,0
2006-03,연면적별,합계,합계,7022833,7022833,7022833,0,0,0
2006-03,연면적별,구조별,철근및철골조,6905346,6905346,6905346,0,0,0
2006-03,연면적별,구조별,조적조,94804,94804,94804,0,0,0
2006-03,연면적별,구조별,목조,22683,22683,22683,0,0,0
2006-03,연면적별,구조별,기타,0,0,0,0,0,0
2006-03,연면적별,용도별,주거용,2203712,2203712,2203712,0,0,0
2006-03,연면적별,용도별,상업용,1763000,1763000,1763000,0,0,0
2006-03,연면적별,용도별,공업용,1348099,1348099,1348099,0,0,0
