,종가,거래량,거래대금,변동 %
2020년 02월 04일,"2,157.90",616.27K,1329849.033K,1.84%
2020년 02월 03일,"2,118.88",827.34K,1753034.179K,-0.01%
2020년 01월 31일,"2,119.01",696.88K,1476695.689K,-1.35%
2020년 01월 30일,"2,148.00",594.86K,1277759.28K,-1.71%
2020년 01월 29일,"2,185.28",681.56K,1489399.437K,0.39%
2020년 01월 28일,"2,176.72",800.05K,1741484.836K,-3.09%
2020년 01월 23일,"2,246.13",502.81K,1129376.625K,-0.93%
2020년 01월 22일,"2,267.25",596.85K,1353208.163K,1.23%
2020년 01월 21일,"2,239.69",758.69K,1699230.406K,-1.01%
2020년 01월 20일,"2,262.64",534.80K,1210059.872K,0.54%
2020년 01월 17일,"2,250.57",568.67K,1279831.642K,0.11%
2020년 01월 16일,"2,248.05",796.46K,1790481.903K,0.77%
2020년 01월 15일,"2,230.98",733.89K,1637293.912K,-0.35%
2020년 01월 14일,"2,238.88",823.05K,1842710.184K,0.43%
2020년 01월 13일,"2,229.26",480.21K,1070512.945K,1.04%
2020년 01월 10일,"2,206.39",584.15K,1288862.719K,0.91%
2020년 01월 09일,"2,186.45",583.33K,1275421.879K,1.63%
2020년 01월 08일,"2,151.31",899.62K,1935361.502K,-1.11%
2020년 01월 07일,"2,175.54",559.33K,1216844.788K,0.95%
2020년 01월 06일,"2,155.07",587.47K,1266038.973K,-0.98%
2020년 01월 03일,"2,176.46",622.53K,1354911.644K,0.06%
2020년 01월 02일,"2,175.17",488.61K,1062809.814K,-1.02%
2019년 12월 30일,"2,197.67",410.03K,901110.6301K,-0.30%
2019년 12월 27일,"2,204.21",482.80K,1064192.588K,0.29%
2019년 12월 26일,"2,197.93",562.16K,1235588.329K,0.36%
2019년 12월 24일,"2,190.08",560.16K,1226795.213K,-0.62%
2019년 12월 23일,"2,203.71",494.36K,1089426.076K,-0.02%
2019년 12월 20일,"2,204.18",637.64K,1405473.335K,0.35%
2019년 12월 19일,"2,196.56",630.99K,1386007.394K,0.08%
2019년 12월 18일,"2,194.76",580.20K,1273399.752K,-0.04%
2019년 12월 17일,"2,195.68",587.00K,1288864.16K,1.27%
2019년 12월 16일,"2,168.15",370.55K,803407.9825K,-0.10%
2019년 12월 13일,"2,170.25",540.03M,1172000.108K,1.54%
2019년 12월 12일,"2,137.35",584.64M,1249580.304K,1.51%
2019년 12월 11일,"2,105.62",668.73M,1408091.263K,0.36%
2019년 12월 10일,"2,098.00",500.06M,1049125.88K,0.45%
2019년 12월 09일,"2,088.65",393.13M,821110.9745K,0.33%
2019년 12월 06일,"2,081.85",440.19M,916409.5515K,1.02%
2019년 12월 05일,"2,060.74",472.19M,973060.8206K,-0.39%
2019년 12월 04일,"2,068.89",347.00M,717904.83K,-0.73%
2019년 12월 03일,"2,084.07",450.04M,937914.8628K,-0.38%
2019년 12월 02일,"2,091.92",385.34M,806100.4528K,0.19%
2019년 11월 29일,"2,087.96",433.26M,904629.5496K,-1.45%
2019년 11월 28일,"2,118.60",335.23M,710218.278K,-0.43%
2019년 11월 27일,"2,127.85",367.80M,782623.23K,0.31%
2019년 11월 26일,"2,121.35",532.60M,1129831.01K,-0.10%
2019년 11월 25일,"2,123.50",397.68M,844473.48K,1.02%
2019년 11월 22일,"2,101.96",519.85M,1092703.906K,0.26%
2019년 11월 21일,"2,096.60",579.55M,1215084.53K,-1.35%
2019년 11월 20일,"2,125.32",581.06M,1234938.439K,-1.30%
2019년 11월 19일,"2,153.24",826.88M,1780471.091K,-0.34%
2019년 11월 18일,"2,160.69",489.23M,1057074.369K,-0.07%
2019년 11월 15일,"2,162.18",556.25M,1202712.625K,1.07%
2019년 11월 14일,"2,139.23",521.11M,1114774.145K,0.79%
2019년 11월 13일,"2,122.45",664.36M,1410070.882K,-0.86%
2019년 11월 12일,"2,140.92",610.43M,1306881.796K,0.79%
2019년 11월 11일,"2,124.09",617.27M,1311137.034K,-0.61%
2019년 11월 08일,"2,137.23",574.13M,1227047.86K,-0.33%
2019년 11월 07일,"2,144.29",425.66M,912738.4814K,0.01%
2019년 11월 06일,"2,144.15",410.08M,879273.032K,0.07%
2019년 11월 05일,"2,142.64",400.64M,858427.2896K,0.58%
2019년 11월 04일,"2,130.24",476.26M,1014548.102K,1.43%
2019년 11월 01일,"2,100.20",418.31M,878534.662K,0.80%
2019년 10월 31일,"2,083.48",461.32M,961150.9936K,0.15%
2019년 10월 30일,"2,080.27",415.55M,864456.1985K,-0.59%
2019년 10월 29일,"2,092.69",357.66M,748471.5054K,-0.04%
2019년 10월 28일,"2,093.60",269.23M,563659.928K,0.27%
2019년 10월 25일,"2,087.89",348.69M,728026.3641K,0.11%
2019년 10월 24일,"2,085.66",367.72M,766938.8952K,0.24%
2019년 10월 23일,"2,080.62",429.45M,893522.259K,-0.39%
2019년 10월 22일,"2,088.86",504.06M,1052910.772K,1.16%
2019년 10월 21일,"2,064.84",606.11M,1251520.172K,0.20%
2019년 10월 18일,"2,060.69",516.69M,1064737.916K,-0.83%
2019년 10월 17일,"2,077.94",314.18M,652847.1892K,-0.23%
2019년 10월 16일,"2,082.83",524.54M,1092527.648K,0.71%
2019년 10월 15일,"2,068.17",464.53M,960727.0101K,0.04%
2019년 10월 14일,"2,067.40",511.22M,1056896.228K,1.11%
2019년 10월 11일,"2,044.61",381.15M,779303.1015K,0.81%
2019년 10월 10일,"2,028.15",445.85M,904250.6775K,-0.88%
2019년 10월 08일,"2,046.25",437.52M,895275.3K,1.21%
2019년 10월 07일,"2,021.73",322.18M,651360.9714K,0.05%
2019년 10월 04일,"2,020.69",402.94M,814216.8286K,-0.55%
2019년 10월 02일,"2,031.91",414.46M,842145.4186K,-1.95%
2019년 10월 01일,"2,072.42",389.34M,806876.0028K,0.45%
2019년 09월 30일,"2,063.05",327.62M,675896.441K,0.64%
2019년 09월 27일,"2,049.93",285.94M,586156.9842K,-1.19%
2019년 09월 26일,"2,074.52",430.58M,893246.8216K,0.05%
2019년 09월 25일,"2,073.39",651.55M,1350917.255K,-1.32%
2019년 09월 24일,"2,101.04",535.77M,1125674.201K,0.45%
2019년 09월 23일,"2,091.70",420.95M,880501.115K,0.01%
2019년 09월 20일,"2,091.52",589.92M,1233829.478K,0.54%
