,종가,오픈,고가,저가,거래량,변동 %,거래대금
2020년 02월 04일,"2,157.90","2,121.22","2,162.32","2,120.53",616.27K,1.84%,1329849.033K
2020년 02월 03일,"2,118.88","2,086.61","2,126.73","2,082.74",827.34K,-0.01%,1753034.179K
2020년 01월 31일,"2,119.01","2,160.60","2,167.23","2,119.01",696.88K,-1.35%,1476695.689K
2020년 01월 30일,"2,148.00","2,181.54","2,187.45","2,139.72",594.86K,-1.71%,1277759.28K
2020년 01월 29일,"2,185.28","2,188.18","2,195.45","2,172.33",681.56K,0.39%,1489399.437K
2020년 01월 28일,"2,176.72","2,192.22","2,199.93","2,166.23",800.05K,-3.09%,1741484.836K
2020년 01월 23일,"2,246.13","2,254.54","2,260.63","2,241.94",502.81K,-0.93%,1129376.625K
2020년 01월 22일,"2,267.25","2,238.53","2,269.27","2,235.13",596.85K,1.23%,1353208.163K
2020년 01월 21일,"2,239.69","2,259.81","2,266.31","2,238.25",758.69K,-1.01%,1699230.406K
2020년 01월 20일,"2,262.64","2,261.40","2,277.23","2,258.09",534.80K,0.54%,1210059.872K
2020년 01월 17일,"2,250.57","2,261.57","2,268.71","2,245.58",568.67K,0.11%,1279831.642K
2020년 01월 16일,"2,248.05","2,231.93","2,249.09","2,225.41",796.46K,0.77%,1790481.903K
2020년 01월 15일,"2,230.98","2,229.80","2,238.21","2,223.39",733.89K,-0.35%,1637293.912K
2020년 01월 14일,"2,238.88","2,243.06","2,250.79","2,232.94",823.05K,0.43%,1842710.184K
2020년 01월 13일,"2,229.26","2,204.49","2,230.43","2,204.49",480.21K,1.04%,1070512.945K
2020년 01월 10일,"2,206.39","2,189.48","2,206.92","2,188.10",584.15K,0.91%,1288862.719K
2020년 01월 09일,"2,186.45","2,182.20","2,186.45","2,172.16",583.33K,1.63%,1275421.879K
2020년 01월 08일,"2,151.31","2,156.27","2,162.32","2,137.72",899.62K,-1.11%,1935361.502K
2020년 01월 07일,"2,175.54","2,166.60","2,181.62","2,164.27",559.33K,0.95%,1216844.788K
2020년 01월 06일,"2,155.07","2,154.97","2,164.42","2,149.95",587.47K,-0.98%,1266038.973K
2020년 01월 03일,"2,176.46","2,192.58","2,203.38","2,165.39",622.53K,0.06%,1354911.644K
2020년 01월 02일,"2,175.17","2,201.21","2,202.32","2,171.84",488.61K,-1.02%,1062809.814K
2019년 12월 30일,"2,197.67","2,202.62","2,208.04","2,195.65",410.03K,-0.30%,901110.6301K
2019년 12월 27일,"2,204.21","2,183.70","2,215.55","2,177.40",482.80K,0.29%,1064192.588K
2019년 12월 26일,"2,197.93","2,192.22","2,198.01","2,183.90",562.16K,0.36%,1235588.329K
2019년 12월 24일,"2,190.08","2,206.23","2,206.23","2,187.58",560.16K,-0.62%,1226795.213K
2019년 12월 23일,"2,203.71","2,208.22","2,209.20","2,196.43",494.36K,-0.02%,1089426.076K
2019년 12월 20일,"2,204.18","2,205.57","2,206.82","2,194.80",637.64K,0.35%,1405473.335K
