월(Monthly),구분,시군구,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2015-01,서울,계,미분양현황,1497,1497,1497,0,0,0
2015-01,서울,종로구,미분양현황,211,211,211,0,0,0
2015-01,서울,중구,미분양현황,2,2,2,0,0,0
2015-01,서울,용산구,미분양현황,198,198,198,0,0,0
2015-01,서울,성동구,미분양현황,4,4,4,0,0,0
2015-01,서울,광진구,미분양현황,1,1,1,0,0,0
2015-01,서울,동대문구,미분양현황,0,0,0,0,0,0
2015-01,서울,중랑구,미분양현황,3,3,3,0,0,0
2015-01,서울,성북구,미분양현황,169,169,169,0,0,0
2015-01,서울,강북구,미분양현황,3,3,3,0,0,0
2015-01,서울,도봉구,미분양현황,0,0,0,0,0,0
2015-01,서울,노원구,미분양현황,5,5,5,0,0,0
2015-01,서울,은평구,미분양현황,2,2,2,0,0,0
2015-01,서울,서대문구,미분양현황,156,156,156,0,0,0
2015-01,서울,마포구,미분양현황,10,10,10,0,0,0
2015-01,서울,양천구,미분양현황,30,30,30,0,0,0
2015-01,서울,강서구,미분양현황,13,13,13,0,0,0
2015-01,서울,구로구,미분양현황,0,0,0,0,0,0
2015-01,서울,금천구,미분양현황,0,0,0,0,0,0
2015-01,서울,영등포구,미분양현황,8,8,8,0,0,0
2015-01,서울,동작구,미분양현황,0,0,0,0,0,0
2015-01,서울,관악구,미분양현황,0,0,0,0,0,0
2015-01,서울,서초구,미분양현황,17,17,17,0,0,0
2015-01,서울,강남구,미분양현황,12,12,12,0,0,0
2015-01,서울,송파구,미분양현황,0,0,0,0,0,0
2015-01,서울,강동구,미분양현황,653,653,653,0,0,0
2015-01,부산,계,미분양현황,1710,1710,1710,0,0,0
2015-01,부산,중구,미분양현황,7,7,7,0,0,0
2015-01,부산,서구,미분양현황,71,71,71,0,0,0
2015-01,부산,동구,미분양현황,0,0,0,0,0,0
2015-01,부산,영도구,미분양현황,19,19,19,0,0,0
2015-01,부산,부산진구,미분양현황,39,39,39,0,0,0
2015-01,부산,동래구,미분양현황,4,4,4,0,0,0
2015-01,부산,남구,미분양현황,74,74,74,0,0,0
2015-01,부산,북구,미분양현황,30,30,30,0,0,0
2015-01,부산,해운대구,미분양현황,322,322,322,0,0,0
2015-01,부산,사하구,미분양현황,134,134,134,0,0,0
2015-01,부산,금정구,미분양현황,71,71,71,0,0,0
2015-01,부산,강서구,미분양현황,471,471,471,0,0,0
2015-01,부산,연제구,미분양현황,31,31,31,0,0,0
2015-01,부산,수영구,미분양현황,0,0,0,0,0,0
2015-01,부산,사상구,미분양현황,338,338,338,0,0,0
2015-01,부산,기장군,미분양현황,99,99,99,0,0,0
2015-01,대구,계,미분양현황,857,857,857,0,0,0
2015-01,대구,중구,미분양현황,6,6,6,0,0,0
2015-01,대구,동구,미분양현황,0,0,0,0,0,0
2015-01,대구,서구,미분양현황,69,69,69,0,0,0
2015-01,대구,남구,미분양현황,0,0,0,0,0,0
2015-01,대구,북구,미분양현황,0,0,0,0,0,0
2015-01,대구,수성구,미분양현황,59,59,59,0,0,0
2015-01,대구,달서구,미분양현황,1,1,1,0,0,0
2015-01,대구,달성군,미분양현황,722,722,722,0,0,0
2015-01,인천,계,미분양현황,3257,3257,3257,0,0,0
2015-01,인천,중구,미분양현황,828,828,828,0,0,0
