월(Monthly),구분,시군구,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2015-01,서울,계,미분양현황,1497,1497,1497,0,0,0
2015-01,서울,종로구,미분양현황,211,211,211,0,0,0
2015-01,서울,중구,미분양현황,2,2,2,0,0,0
2015-01,서울,용산구,미분양현황,198,198,198,0,0,0
2015-01,서울,성동구,미분양현황,4,4,4,0,0,0
2015-01,서울,광진구,미분양현황,1,1,1,0,0,0
2015-01,서울,동대문구,미분양현황,0,0,0,0,0,0
2015-01,서울,중랑구,미분양현황,3,3,3,0,0,0
2015-01,서울,성북구,미분양현황,169,169,169,0,0,0
2015-01,서울,강북구,미분양현황,3,3,3,0,0,0
2015-01,서울,도봉구,미분양현황,0,0,0,0,0,0
2015-01,서울,노원구,미분양현황,5,5,5,0,0,0
2015-01,서울,은평구,미분양현황,2,2,2,0,0,0
2015-01,서울,서대문구,미분양현황,156,156,156,0,0,0
2015-01,서울,마포구,미분양현황,10,10,10,0,0,0
2015-01,서울,양천구,미분양현황,30,30,30,0,0,0
2015-01,서울,강서구,미분양현황,13,13,13,0,0,0
2015-01,서울,구로구,미분양현황,0,0,0,0,0,0
2015-01,서울,금천구,미분양현황,0,0,0,0,0,0
2015-01,서울,영등포구,미분양현황,8,8,8,0,0,0
2015-01,서울,동작구,미분양현황,0,0,0,0,0,0
2015-01,서울,관악구,미분양현황,0,0,0,0,0,0
2015-01,서울,서초구,미분양현황,17,17,17,0,0,0
2015-01,서울,강남구,미분양현황,12,12,12,0,0,0
2015-01,서울,송파구,미분양현황,0,0,0,0,0,0
2015-01,서울,강동구,미분양현황,653,653,653,0,0,0
2013-01,서울,계,미분양현황,3415,3415,3415,0,0,0
2013-01,서울,종로구,미분양현황,27,27,27,0,0,0
2013-01,서울,중구,미분양현황,51,51,51,0,0,0
2013-01,서울,용산구,미분양현황,83,83,83,0,0,0
2013-01,서울,성동구,미분양현황,265,265,265,0,0,0
2013-01,서울,광진구,미분양현황,26,26,26,0,0,0
2013-01,서울,동대문구,미분양현황,26,26,26,0,0,0
2013-01,서울,중랑구,미분양현황,69,69,69,0,0,0
2013-01,서울,성북구,미분양현황,292,292,292,0,0,0
2013-01,서울,강북구,미분양현황,63,63,63,0,0,0
2013-01,서울,도봉구,미분양현황,0,0,0,0,0,0
2013-01,서울,노원구,미분양현황,7,7,7,0,0,0
2013-01,서울,은평구,미분양현황,195,195,195,0,0,0
2013-01,서울,서대문구,미분양현황,88,88,88,0,0,0
2013-01,서울,마포구,미분양현황,666,666,666,0,0,0
2013-01,서울,양천구,미분양현황,85,85,85,0,0,0
2013-01,서울,강서구,미분양현황,57,57,57,0,0,0
2013-01,서울,구로구,미분양현황,477,477,477,0,0,0
2013-01,서울,금천구,미분양현황,0,0,0,0,0,0
2013-01,서울,영등포구,미분양현황,256,256,256,0,0,0
2013-01,서울,동작구,미분양현황,214,214,214,0,0,0
2013-01,서울,관악구,미분양현황,0,0,0,0,0,0
2013-01,서울,서초구,미분양현황,80,80,80,0,0,0
2013-01,서울,강남구,미분양현황,7,7,7,0,0,0
2013-01,서울,송파구,미분양현황,60,60,60,0,0,0
2013-01,서울,강동구,미분양현황,321,321,321,0,0,0
2013-02,서울,계,미분양현황,3308,3308,3308,0,0,0
