통계표,항목명1,단위,변환,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
17.거시경제분석 지표,  제조업 평균가동률,% ,원자료,82.1,79.8,80.4,78.8,80.1,79.4,73.9,79.7,81.7,82.6,82.1,78.7,78.9,79.2,79,79.5,80.7,79.6,79,80.9,79.2,82.4,82.3,80.9,81.8,80.4,81.6,82.1,80.1,79.7,78.6,78.5,77.3,78.6,69.7,62.5,62.8,66.8,69.9,72.6,73.5,75.9,77.6,77.5,80,78.1,78.4,79.3,78.1,79.4,80,80.3,80.7,80.6,81.5,80,80.3,80,80.4,82.5,82.7,79.8,81.3,79.8,80.8,81.2,80.9,80.6,81.1,80.4,79.6,77.9,79.7,80.4,79.1,79.6,80.3,78.7,77.9,74.6,77.1,78,78.4,78.4,79,77,76,76.1,76.5,75.9,74.5,77.1,74.7,77.1,76.6,77.4,78,76,77.3,77.6,75,76.3,77.7,74.8,75.1,74.3,74.7,76.6,73.8,75.8,73.3,73.8,72.4,74.1,73.6,75.8,76.8,75,74.4,74.6,72.8,74.3,73.7,72.4,74.9,74.3,73.9,72.4,73,71,74.6,73.8,76.2,72.8,74.4,72.5,72.9,72,73.1,73.4,73.5,73.9,73,71.5,72.8,73.5,72.1,73.5,74.4,73.8,73.9,75.1,73.7,74.4,72.7,72.2,73.6,70.3,71.5,72.7,72.1,72,74.7,73.4,75.6,73.2,71.9,74.3,
17.거시경제분석 지표,  제조업 재고율지수,% ,원자료,80.1,83,84.1,84.6,84.4,85.6,90.3,83.9,82.8,80.2,81.1,83.4,85.9,83.7,84,81.8,82.1,83.6,80.7,82,81.1,79.2,78.2,79.3,80.9,83.7,82,83.5,86.7,91.2,88.5,90.6,91.8,94.6,102.5,104.6,102.2,91.3,88,82.8,80.7,77.1,75.6,77.8,75.9,76.1,75.5,75.6,81.5,83.7,80.8,80.6,79.7,78.8,79.4,80.5,81.1,81.7,80.1,81.5,77.4,79.5,80.1,82.3,83.2,84.7,84.2,85.1,85.8,87.5,89.9,93.2,87.8,86.3,89.3,88.1,87.4,86.8,86.3,92.3,86.7,87.6,90.8,93.1,93,92.5,92.7,91.4,91.1,89.5,92.7,90.6,95,94,96.2,96.5,95.1,95.3,95.1,96.9,97.2,95.2,96.8,96.7,98.1,99.3,96.2,93.9,96.7,96.4,97.9,98.9,100.6,101.9,102.6,101.1,100.6,100.6,101.7,100.2,105.8,105.6,103.3,103.7,101.7,101.2,100.8,102.3,101.1,101.6,97.5,94.4,95.6,97.7,95.5,99.6,102.8,100,100.6,101.5,99.1,102.5,101.4,105.9,104.5,105.8,107.4,107.5,103.9,106.3,106.4,105.4,104.3,105.9,111.4,114.6,111.5,115.5,111.3,116.1,117.9,115.7,115.4,112.9,113.2,115.1,115.7,107.8,
17.거시경제분석 지표,  생산자물가등락률,% ,원자료,0.8,0.7,0.5,0.4,1.4,1.6,1.3,1.7,1.6,0.4,0.2,0.4,0.1,0.1,0.6,1.1,1.4,1.8,1.6,0.9,1,2.1,3.1,3.6,4.1,5.1,6,7.5,9,10.5,12.6,12.3,11.3,10.8,7.8,5.5,4.6,4.4,3.5,1.5,-1.3,-3.1,-3.9,-3,-2.5,-3.1,-0.4,1.8,2.5,2,2,2.6,4.3,4.7,3.8,3.5,4,5.2,5.2,5.7,6.8,7.4,8.2,8.1,7.5,7.2,7,6.9,6.3,5.8,5.1,4.3,3.2,3.2,2.4,1.8,1,0,-0.6,-0.1,0.2,-0.5,-0.9,-1.2,-1.6,-1.6,-2.4,-2.8,-2.6,-1.4,-1,-1.3,-1.8,-1.4,-0.9,-0.4,-0.3,-0.9,-0.5,-0.3,0,0.1,0.2,-0.2,-0.5,-0.8,-0.9,-2.1,-3.6,-3.6,-3.7,-3.6,-3.5,-3.6,-4.1,-4.5,-4.6,-4.6,-4.7,-4,-3.3,-3.4,-3.3,-3,-3,-2.7,-2.5,-1.8,-1.1,-0.1,0.7,1.8,3.9,4.3,4.3,3.8,3.4,2.8,3,3.3,3.8,3.6,3,2.2,1.2,1.2,1.2,1.5,2.1,2.5,2.9,2.9,2.5,2.1,1.5,0.9,0.4,0.1,0.5,0.6,0.4,0.1,-0.3,-0.6,-0.8,-0.7,-0.1,0.7,
17.거시경제분석 지표,  소비자물가등락률,% ,원자료,2.2,2,2,2,2.3,2.4,2.4,2.7,2.5,2.2,2.1,2.1,1.7,2.2,2.2,2.4,2.3,2.5,2.5,2,2.3,3,3.5,3.6,3.9,3.6,3.9,4.1,4.9,5.5,5.9,5.6,5.1,4.8,4.5,4.1,3.7,4.1,3.9,3.6,2.7,2,1.6,2.2,2.2,2,2.4,2.8,3.5,3,2.5,2.6,2.7,2.7,2.5,2.7,3.4,3.7,3,3,3.4,3.9,4.1,3.8,3.9,4.2,4.5,4.7,3.8,3.6,4.2,4.2,3.3,3,2.7,2.6,2.5,2.2,1.5,1.3,2.1,2.1,1.6,1.4,1.6,1.6,1.5,1.3,1.1,1.2,1.6,1.5,1,0.9,1.2,1.1,1.1,1,1.3,1.5,1.7,1.7,1.6,1.4,1.1,1.1,1,0.8,1,0.6,0.5,0.4,0.6,0.7,0.7,0.7,0.5,0.8,0.8,1.1,0.6,1.1,0.8,1,0.8,0.7,0.4,0.5,1.3,1.5,1.5,1.3,2.2,2.1,2.3,2,2,1.8,2.2,2.5,2,1.8,1.2,1.4,0.8,1.3,1.2,1.5,1.5,1.5,1.1,1.4,2.1,2,2,1.3,0.8,0.5,0.4,0.6,0.7,0.7,0.6,0,-0.4,0,0.2,0.7,
17.거시경제분석 지표,  근원인플레이션율,% ,원자료,1.5,1.6,1.8,1.8,2.1,2,2.2,2,2.2,2.2,2.3,2.2,2.3,2.5,2.6,2.7,2.4,2.6,2.5,2.6,2.4,2.6,2.5,2.6,2.8,2.7,3.1,3.1,3.3,3.5,3.8,3.7,4.1,4,4.3,4.5,4,4,3.3,3.1,3.1,3,2.7,2.8,2.6,2.5,2.4,2.2,2.4,2.2,1.7,1.9,1.7,1.7,1.8,1.9,1.8,1.8,1.5,1.7,1.9,2.1,2.4,2.5,2.7,2.8,2.8,2.8,2.6,2.6,2.8,2.7,2.4,2.4,1.8,1.6,1.5,1.4,1.2,1.2,1.4,1.4,1.4,1.3,1.5,1.4,1.5,1.5,1.6,1.5,1.5,1.3,1.5,1.6,1.7,1.6,1.5,1.4,1.7,1.9,1.8,1.7,1.9,2.1,1.7,1.6,1.3,1.4,2.4,2.4,2.4,2.3,2.2,2.2,2.5,2.6,2.4,2.5,2.6,2.6,1.8,1.9,1.9,2,2,2.1,1.8,1.8,2,1.9,1.7,1.6,1.8,1.8,1.7,1.6,1.5,1.5,1.5,1.5,1.4,1.6,1.3,1.4,1,1.2,1.3,1.4,1.4,1.3,1,1,1.1,1,1.2,1.1,1,1.1,0.7,0.7,0.6,0.7,0.9,0.8,0.5,0.6,0.5,0.6,
17.거시경제분석 지표,  수출물가등락률,% ,원자료,-9.8,-10.6,-9.3,-9.8,-7.2,-6.2,-8.3,-5.4,-6.9,-8.6,-8.5,-7.5,-5.7,-4.2,-3.3,-1.9,-1.4,-2.7,-2.6,-3.4,-2.6,-2.5,1.8,3.4,5.8,7.5,13.4,15.7,23.9,25.2,25.1,21.9,27.4,38.6,31.5,25,18.6,22.9,17.4,7.7,-4.1,-3.3,-2.7,-1.1,-7.2,-16.5,-13.4,-8.6,-6.2,-9.5,-11.3,-5.3,1.6,2.6,1.2,-1.7,-0.8,-0.7,-0.4,1.7,0.8,1.6,5.1,3.4,-0.9,-4.8,-6,-2.7,1,5.3,2,-1,1.7,-0.7,-3,-1.2,-0.3,-0.5,0.1,-0.7,-3.4,-6.5,-6.6,-7.2,-8.1,-5.6,-5.9,-5.7,-5.8,-2,-1.6,-2.2,-4.7,-4.5,-2.5,-2.1,-1.9,-3.6,-4.3,-7.4,-8.1,-10.5,-9.4,-8.6,-6.6,-4.1,-2.2,-4.4,-8.7,-8.1,-6.8,-6,-3.5,-2.2,-2,-1.6,-2.1,-6.5,-8.6,-6.2,-1.5,-2.1,-4.2,-5.2,-4,-4.9,-7.4,-9.7,-8.3,-1.4,3.5,6.6,7.4,5.1,5,8.9,5.1,4.7,8.1,10.8,11.2,8.1,2.5,-2,-3.4,-0.9,-1,-1.4,1.5,2.5,3.9,3.3,2.3,2.3,0.6,-0.7,-1.8,-2.6,-1,-0.5,0.3,-2.7,-5.4,-4,-5,-7.4,-6.5,-3.1,
17.거시경제분석 지표,  수입물가등락률,% ,원자료,2.2,1.1,0,0.2,4.4,3.8,2.5,3.4,-1.6,-2.3,-1.7,-0.6,-1.4,1.6,4.5,4.2,2.8,1.6,0.1,-0.7,5.2,7.5,13.7,15.6,21.2,22.2,28,31.3,44.6,49,50.6,42.6,42.6,47.1,32,22.4,16.7,18,10.6,-1.8,-13.9,-11.9,-12.9,-7,-10.8,-15.3,-7.5,-1.5,-0.1,-3.6,-4,5,11.3,8.4,8,5.7,7.7,7.5,7.5,11.7,11.7,14.5,17.7,17.3,11.7,8.6,7.6,8,11.9,14.5,10.7,6.1,7.7,5.2,3.3,1.5,1.8,-1.3,-0.9,0.5,-2.2,-6.4,-7.9,-9,-10.6,-8.6,-10.8,-9.7,-9.6,-4.3,-4.3,-5.3,-8.1,-7.3,-4.9,-3.5,-3,-4.8,-4.5,-6.9,-6.8,-8.8,-8.6,-9.9,-8.9,-7.6,-8,-13,-19.4,-17.8,-17.1,-17.1,-14.6,-14.1,-14,-13.6,-13.1,-14.9,-15.6,-12,-6.3,-7.4,-7.6,-7.1,-5.1,-4.9,-7.1,-8.4,-7.7,-0.6,3.6,9.2,13.3,9.2,6.8,9.2,4.1,2,5.5,9.1,10.8,6.8,4,-0.9,-2.3,0.3,3.1,3.7,8.3,11,12,9.9,9.8,11.1,5.9,2.7,1.7,3.5,4.7,5.4,4.5,-0.6,-1.1,-0.2,-2,-6,-2.1,3.4,
17.거시경제분석 지표,  WTI 현물유가등락률,% ,원자료,40.9,18.7,20.3,44.6,37.2,30.8,22.8,1.9,-5,-1.7,10.1,0,-14.4,0.6,-1.1,-8.6,-10.2,-4.4,5.1,5.4,29.8,61,40.5,57.2,57.8,64.8,54.2,72.7,99,98.1,58.6,55.9,23.2,-28.3,-38.6,-53.5,-54.6,-56,-51.1,-54.9,-47.9,-50.1,-44,-39.4,-29.8,13.6,42,77.9,74.9,78,68.7,68.5,11.6,8.2,13.7,2.8,13.3,5.8,8.8,15.1,26.5,21.7,27.4,32.2,38.8,26.2,21.2,23.5,-1,14.4,19.3,8.2,6.8,10.4,-3.5,-8,-15.7,-11,-8,8.6,16.4,-7.5,-11.4,-7.1,-1,-14,-5.6,-10.9,6.3,13.7,19.3,11.6,11,11.8,4.3,7.2,0,11.5,4.5,6.7,11.7,9.1,-6.5,-10.9,-10.9,-16.4,-28.7,-45.9,-50.5,-51.5,-53.1,-40.2,-41.3,-43.6,-52,-48.7,-50.5,-42.2,-37,-30.5,-30.3,-32.2,-19.5,-23,-18.6,-18.7,-11.7,-9.1,7,0.6,18.7,45,57.1,60,32,7.4,-1.6,-4.7,20.6,5.7,7.1,16,16.1,12.5,22.6,14.1,28.3,39,38.7,61.1,37.1,47.8,41.8,20.1,-11.3,-24.8,-16.9,-7.2,-7.4,-6.8,-20.2,-21.1,-14.8,-21.1,-26.2,-17,8.3,34.5,-4.1
17.거시경제분석 지표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주 : 증감률·등락률은 전년동기대비임(단, 경제성장률, 민간소비증감률, 설비투자증감률, 건설투자증감률은 전기대비임).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
