통계표,항목명1,항목명2,단위,변환,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19
3.7.3 은행대출금 연체율,기업대출,은행전체,% ,원자료,1,1.2,1.3,1.2,1.3,1.2,0.9,1.1,1.2,1.1,1.2,1.1,0.9,1.1,1.2,1.2,1.3,1.3,1,1.2,1.3,1.3,1.5,1.7,1.5,2,2.3,2,2.3,2.3,1.7,1.9,1.9,1.6,1.7,1.6,1,1.4,1.6,1.5,1.5,1.7,1.3,1.7,2.1,1.7,1.7,1.7,1.1,1.3,1.5,1.4,1.6,1.7,1.2,1.4,1.6,1.3,1.7,2,1.1,1.3,1.4,1.3,1.5,1.7,1.3,1.7,2,1.4,1.6,1.6,1.2,1.3,1.4,1.3,1.5,1.5,1.1,1.2,1.2,1.1,1.2,1.3,1.1,1.2,1.3,1.1,1.2,1.3,1,1.2,1.4,1.2,1.2,1.2,0.9,1,1,1,1.1,1.2,0.9,1,1.1,1,1.1,1.1,0.9,1,1.1,1,1,1.2,1.1,1.3,1.4,1.3,1.3,1,0.8,0.8,0.9,0.8,0.9,0.9,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.9,0.9,1,0.8,0.9,0.9,0.9,0.9,0.9,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.7
3.7.3 은행대출금 연체율,기업대출,일반은행,% ,원자료,1.2,1.4,1.5,1.2,1.3,1.3,1,1.2,1.3,1.2,1.3,1.2,1,1.2,1.4,1.2,1.3,1.4,1.1,1.3,1.4,1.3,1.6,1.6,1.6,2.1,2.4,2.1,2.3,2.3,1.6,1.9,1.9,1.6,1.6,1.5,1,1.4,1.6,1.5,1.5,1.7,1.2,1.7,2,1.6,1.7,1.6,1.1,1.4,1.6,1.6,1.8,1.9,1.2,1.5,1.6,1.4,1.6,1.8,1.1,1.3,1.4,1.3,1.5,1.7,1.3,1.6,1.8,1.4,1.7,1.6,1.2,1.4,1.5,1.3,1.5,1.5,1.1,1.2,1.3,1.1,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.1,1.2,1.4,1.2,1.2,1.2,0.8,1,1,1,1,1.1,0.9,1,1.2,1,1.1,1.1,0.9,1,1,0.9,0.9,1.1,0.8,0.9,0.9,0.8,0.8,0.8,0.6,0.7,0.8,0.7,0.7,0.8,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.6,0.4,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5
3.7.3 은행대출금 연체율,기업대출,특수은행,% ,원자료,0.8,1,1.1,1.1,1.2,1.1,0.8,1,1.1,1,1.1,1.1,0.7,1,1,1.1,1.2,1.2,0.9,1.1,1.2,1.2,1.4,1.5,1.3,1.9,2.1,2,2.2,2.2,1.8,1.9,2,1.6,1.7,1.7,0.9,1.3,1.5,1.2,1.5,1.7,1.6,1.9,2.1,1.7,1.8,1.8,1.1,1.2,1.4,1.2,1.3,1.5,1.1,1.3,1.5,1.3,1.9,2.2,1,1.4,1.4,1.3,1.5,1.8,1.3,1.9,2.3,1.4,1.6,1.5,1.1,1.2,1.4,1.3,1.5,1.5,1,1.1,1.2,1.1,1.3,1.4,1.1,1.2,1.3,1.1,1.2,1.3,0.9,1.2,1.4,1.2,1.2,1.2,1,1.1,1.1,1.2,1.2,1.3,0.9,1,1.2,1,1.1,1.1,0.9,1.1,1.1,1,1.1,1.4,1.7,2,2.1,2,2,1.2,1,1,1.1,1,1.1,1.1,0.9,0.9,0.9,0.8,0.9,0.9,0.7,0.8,0.9,1.4,1.4,1.5,1.3,1.4,1.5,1.4,1.5,1.4,0.8,0.9,1,0.9,1,1,0.8,0.9,1,0.9,1
3.7.3 은행대출금 연체율,가계대출,은행전체,% ,원자료,0.7,0.8,0.9,0.8,0.8,0.9,0.6,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.8,0.6,0.7,0.7,0.5,0.6,0.7,0.6,0.7,0.7,0.6,0.8,0.9,0.7,0.8,0.8,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.9,1,0.8,0.9,1,0.9,1,1,0.8,1,1,1,1,1,0.9,0.9,1,0.8,0.9,0.9,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3.7.3 은행대출금 연체율,가계대출,일반은행,% ,원자료,0.7,0.9,0.9,0.8,0.8,0.9,0.6,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.5,0.6,0.7,0.6,0.7,0.7,0.6,0.8,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.9,1,0.9,0.9,0.9,0.7,0.9,1,0.9,0.9,1,0.8,0.9,1,0.8,0.8,0.9,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3
3.7.3 은행대출금 연체율,가계대출,특수은행,% ,원자료,0.5,0.7,0.9,0.8,0.8,0.9,0.6,0.8,0.8,0.6,0.8,0.8,0.5,0.8,0.9,0.8,0.8,0.9,0.6,0.7,0.8,0.6,0.7,0.7,0.6,0.9,1.1,0.8,0.9,0.9,0.6,0.7,0.8,0.6,0.7,0.7,0.5,0.8,0.8,0.7,0.8,0.8,0.7,0.9,0.9,0.8,0.8,0.9,0.6,0.7,0.8,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,0.8,1,1.1,1,1.1,1.2,1,1.2,1.2,1.1,1.3,1.3,1.1,1.3,1.3,1.2,1.2,1.2,1,1.1,1.1,0.9,0.9,1,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.2
3.7.3 은행대출금 연체율,신용카드대출,은행전체,% ,원자료,1.7,1.9,2.1,1.7,1.8,1.8,1.4,1.6,1.8,0.1,1.6,1.7,1.3,1.6,1.9,1.4,1.5,1.8,1.4,1.6,1.9,1.6,1.8,2.1,1.8,2.4,2.8,2.2,2.4,2.7,2.1,2.3,2.4,1.8,2,1.9,1.4,1.7,1.8,1.4,1.6,1.8,0.1,1.7,1.8,1.5,1.7,1.7,1.3,1.6,1.9,1.6,1.7,1.9,0.1,2,2.1,1.8,2.1,2.3,1.9,2.2,2.6,2.1,2.3,2.4,2.1,2.2,2.5,2.1,2.3,2.4,1.9,2.2,2.6,2.2,2.4,2.5,2.1,2.1,2.4,1.9,2.1,2.3,1.8,2.1,2.4,2,2.1,2.3,2,2.1,2.4,1.9,2,2.3,1.6,1.9,2.1,1.8,1.9,2.1,1.7,1.9,2,1.6,1.8,1.8,1.5,1.7,1.8,1.8,1.9,2,1.7,1.8,1.8,1.7,1.8,1.9,1.6,1.8,2.1,1.7,1.9,1.9,1.7,1.8,1.9,1.7,1.8,1.9,1.6,1.8,2,1.8,1.8,1.9,1.7,1.8,2,1.8,1.9,1.9,1.6,1.7,2,1.8,1.8,1.9,1.7,1.8,2,1.7,1.8
3.7.3 은행대출금 연체율,신용카드대출,일반은행,% ,원자료,1.7,2,2.2,1.7,1.9,2,0.1,1.6,1.8,1.6,1.7,1.8,1.4,1.6,2,1.4,1.6,1.8,1.5,1.7,1.9,1.6,1.9,2.1,1.8,2.4,2.8,2.2,2.5,2.8,2.1,2.3,2.5,1.8,2,1.9,1.4,1.7,1.8,1.4,1.6,1.8,0.1,1.7,1.9,1.5,1.8,1.7,1.4,1.6,1.9,1.7,2,2.1,0.2,2,2.2,1.9,2.3,2.5,2.2,2.5,2.8,2.4,2.6,2.8,2.4,2.6,2.8,2.4,2.7,2.8,2.2,2.5,3,2.6,2.9,3.2,2.6,2.7,3,2.4,2.7,3,2.3,2.6,3,2.5,2.7,2.9,2.5,2.7,3,3,3.2,3.4,2.6,3,3.2,2.8,3,3.2,2.6,2.8,3.1,2.6,2.6,2.6,2.2,2.5,2.6,2.4,2.6,2.6,2.4,2.5,2.4,2.4,2.6,2.6,2.2,2.4,2.7,2.3,2.4,2.5,2.2,2.4,2.5,2.2,2.5,2.5,2.2,2.4,2.5,2.2,2.3,2.4,2.2,2.3,2.5,2.3,2.4,2.5,2.1,2.3,2.6,2.4,2.4,2.5,2.2,2.3,2.6,2.4,2.5
3.7.3 은행대출금 연체율,신용카드대출,특수은행,% ,원자료,1.4,1.4,1.5,1.5,1.5,1.2,0.1,1.3,1.4,0.1,1.3,1.3,1.2,1.3,1.6,1.4,1.4,1.5,1.4,1.5,1.7,1.6,1.7,2,1.7,2.2,2.5,2.2,2.2,2.5,2,2.1,2.3,1.8,1.9,2.1,1.5,1.8,1.8,1.6,1.6,1.8,1.3,1.5,1.6,1.3,1.5,1.6,1.1,1.3,1.6,1.4,1.2,1.6,0,1.8,1.8,1.5,1.8,1.8,1.5,1.7,1.9,1.5,1.6,1.7,1.3,1.5,1.7,1.4,1.5,1.6,1.3,1.5,1.8,1.5,1.5,1.6,1.3,1.3,1.5,1.2,1.3,1.4,1.1,1.3,1.6,1.2,1.3,1.5,1.4,1.4,1.6,1,1.1,1.4,1,1.1,1.4,1.1,1.2,1.4,1.1,1.2,1.4,1,1.3,1.4,1,1.2,1.4,1.4,1.5,1.6,1.2,1.4,1.5,1.3,1.4,1.5,1.3,1.4,1.7,1.4,1.6,1.6,1.4,1.4,1.6,1.4,1.5,1.6,1.4,1.5,1.7,1.5,1.6,1.7,1.5,1.5,1.7,1.5,1.6,1.7,1.3,1.4,1.7,1.5,1.5,1.6,1.5,1.5,1.7,1.4,1.5
3.7.3 은행대출금 연체율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
