계정항목코드별,"M2(평잔,원계열)",현금통화,요구불예금,MMF,만기2년미만정기예적금,양도성예금증서,매출어음,CMA,수익증권
2013. 01,1841128.1,44089.7,107531.1,50949.7,879435.9,20194.4,1567.9,38034.5,144956.7
2013. 02,1857135,46956.8,109337.5,55020.5,877297.3,19852.5,1558.3,37511.7,146954.1
2013. 03,1862405.5,46045.1,110212.3,55303,876604.7,20430.5,1435.2,38142.6,149050.3
2013. 04,1867726.3,47125.1,111790.2,51447.2,875048.2,21159.3,1408.7,38248.2,155254.8
2013. 05,1870289.7,47975.4,112217.8,50639.5,872104.9,19917.3,1382.2,38369.4,160391.1
2013. 06,1884193.2,48071.8,115451,51680.4,870156.6,20092.7,1284.6,37582.6,160456.2
2013. 07,1890728.6,48601.5,114758.9,54421.8,866663.6,19578.6,1325,37284.6,162712.3
2013. 08,1888658.4,49125.6,113593.9,52213.9,869586,21490.1,1318.1,37581.2,161151.2
2013. 09,1903187.1,51250.4,115887.3,49396.5,874185.2,21705.3,1311.8,38418.2,157272.4
2013. 10,1908557.6,51197.1,116187.4,49285.2,876568.9,21493.2,1326,37804.8,154688.8
2013. 11,1923339.2,51941.8,116655.2,49840.7,876987.6,21949.7,1331.1,37862.7,152245.9
2013. 12,1932026.4,52717.9,119728.6,47367.6,872483.1,21997.7,1373.6,38058.1,151575.3
2014. 01,1937045.6,54524.4,123932.4,48436,869324.6,21695.7,1367.8,38003.7,152919.9
2014. 02,1954340.7,56319.8,123578.9,54471.9,869355.7,21075.8,1347.2,38540.3,153383.1
2014. 03,1964954,55209.4,126574.6,51876.1,876446.1,20912.6,1318.7,38148.1,151776.2
2014. 04,1970361.6,55688.3,125363.8,50494.6,877401.7,21255.1,1315.5,38322.8,151997.1
2014. 05,1982390.9,56717.6,126207,50165.7,877130.5,20730.7,1292.9,38885.1,152938.9
2014. 06,1999376.3,56888.5,128606.8,50242.8,880302.2,20267,1318.7,38996.8,151902.9
2014. 07,2013935.1,57506.5,129032.2,50554.8,886277.1,19573.7,1382.4,38491,154769.3
2014. 08,2031777.2,58371.7,130551.9,60931.9,885874.7,17860.2,1362.9,39587.1,152451.2
2014. 09,2037600.8,60957.1,131896,61405.2,883415.6,17402.1,1391.4,39331.3,151766.1
2014. 10,2051149.8,60575.5,132882.6,61679.5,884019.5,16626.3,1407.6,38944.7,156118.7
2014. 11,2083253.5,61706.2,135031.4,68043.5,889069.3,15311.5,1404.1,39495,160175.7
2014. 12,2088729.8,63606.3,139738.4,62498.8,888076.3,15287.3,1410.2,40041,161834.9
2015. 01,2092223.5,64548.7,141491.1,67427.3,881397.3,15825.5,1398.7,40942.8,161560.8
2015. 02,2109892.3,67720.5,146138.1,71228.1,876609.3,16457.3,1335.6,41669,159831.6
2015. 03,2127887.8,67383.6,147327.9,75184.1,875125.6,16920.6,1264.9,41917.8,161938.1
2015. 04,2148114.7,67571.8,150234.9,80237.4,876151.9,16729.8,1142.3,42465.2,163043.3
2015. 05,2166741.1,68774.8,154228.8,78121.4,875344.1,16771.9,1115.2,43543,164157
2015. 06,2179561.1,68952.6,157900.5,77511.2,878704.4,18269.4,1121.2,42836.2,164007.9
2015. 07,2200510.9,69810.3,162781.1,77685.1,880189,18866.7,1102,42013.6,170292.5
2015. 08,2218660.3,70743,165647.2,79372.3,881068.3,19875.6,1046.8,42744.9,172481.1
2015. 09,2230000.7,72715.6,170718.5,75814.9,883601,21847.7,998.4,43277.3,175831.9
2015. 10,2232432,74002.4,172743.1,72541.4,884814.7,21949.9,971.2,42342,175567.2
2015. 11,2242848.2,74333.5,173574.2,68532.2,888342.6,22978.1,946.1,43998.9,175650.6
2015. 12,2246070.1,75318.2,176779.9,63465.1,889551.5,21454,924,45077.2,174668.7
2016. 01,2261356.4,76672.1,180934.2,65461.6,895802.6,21002,887.9,44824.9,175382.3
2016. 02,2285313.5,80249.2,183791.3,71397.6,901234.5,20946.7,837.1,44849.7,177387.1
2016. 03,2294544.7,78878,186876.3,66589.3,903620.5,20953.6,772,44889.4,179494.3
2016. 04,2299081.3,79368.1,187419.3,63233.7,902815.4,21366.7,710.4,45582.7,177788.8
2016. 05,2312801.2,80395,187622.4,67456.1,910413.5,20317.1,644.6,46375,177741.4
2016. 06,2334256.2,80618.2,191150.4,69069.6,916860.2,20496.3,584.7,45897.7,179042.2
2016. 07,2352245.1,81178.6,190503.2,71604.2,918586.9,19562.1,527.4,46300.5,183100.6
2016. 08,2377323.1,81619,193029.5,75984.9,923078.3,20119.5,463,46362.6,185445
2016. 09,2383040.5,84368.7,197318.8,70950.1,926511.3,19558.6,403.3,46669.1,184982.4
2016. 10,2391059.2,83988.8,200040,68275.6,935157.8,20012.7,355.6,46312.5,185921.2
2016. 11,2406393.5,84789.7,201793.3,63579.8,941772.1,20509.1,316.4,45447.5,184473.4
2016. 12,2414040.9,85824.8,204931.1,63210.7,939764.7,21033.6,316.8,47118.3,181816.6
2017. 01,2417807.6,88744,206754.3,68141.2,934548.5,21421.6,337.4,48642.2,181206
