계정항목코드별,"M2(평잔,원계열)",양도성예금증서,매출어음,CMA,수익증권,건축,선행종합지수(2015=100),소비자물가등락률(%),제조업 재고율지수(2015=100%),상품수지(백만달러),경상수지(백만달러),연체율_기업대출,연체율_가계대출,주택담보대출 대출금리,잔액기준금리_가계대출_고정금리대출
2013. 01,1841128.1,20194.4,1567.9,38034.5,144956.7,3218102,89.4,1.6,93.016,"3,766.10","2,752.40",1.3,1,5.46,20.7
2013. 02,1857135,19852.5,1558.3,37511.7,146954.1,3245106,89.7,1.6,92.526,"3,077.70","2,212.50",1.4,1,5.32,20.8
2013. 03,1862405.5,20430.5,1435.2,38142.6,149050.3,4103946,90,1.5,92.719,"6,898.90","6,740.20",1.3,1,5.23,21.7
2013. 04,1867726.3,21159.3,1408.7,38248.2,155254.8,4405888,90.4,1.3,91.396,"5,314.80","5,039.90",1.5,1,5.12,22
2013. 05,1870289.7,19917.3,1382.2,38369.4,160391.1,4331159,90.7,1.1,91.105,"9,172.10","9,608.20",1.5,1,4.93,22.4
2013. 06,1884193.2,20092.7,1284.6,37582.6,160456.2,4751609,91.2,1.2,89.5,"5,502.50","6,824.80",1.1,0.9,4.73,23.2
2013. 07,1890728.6,19578.6,1325,37284.6,162712.3,4181517,91.6,1.6,92.704,"7,232.60","6,964.60",1.2,0.9,4.77,23
2013. 08,1888658.4,21490.1,1318.1,37581.2,161151.2,4283145,91.9,1.5,90.634,"7,012.20","6,389.30",1.2,1,4.74,22.7
2013. 09,1903187.1,21705.3,1311.8,38418.2,157272.4,4447844,92.2,1,95.047,"8,338.50","7,847.70",1.1,0.8,4.75,22.1
2013. 10,1908557.6,21493.2,1326,37804.8,154688.8,4618520,92.6,0.9,93.954,"9,536.00","10,724.00",1.2,0.9,4.68,21.7
2013. 11,1923339.2,21949.7,1331.1,37862.7,152245.9,4952574,93,1.2,96.243,"7,817.10","5,891.60",1.3,0.9,4.65,21.5
2013. 12,1932026.4,21997.7,1373.6,38058.1,151575.3,5339694,93.5,1.1,96.535,"6,590.50","6,263.70",1.1,0.7,4.69,21.3
2014. 01,1937045.6,21695.7,1367.8,38003.7,152919.9,3970283,93.8,1.1,95.138,"3,674.40","1,837.70",1.2,0.7,4.62,20.8
