계정항목코드별,"M2(평잔,원계열)",양도성예금증서,매출어음,CMA,수익증권,건축,선행종합지수(2015=100),소비자물가등락률(%),미분양주택현황(호),제조업 재고율지수(2015=100%),상품수지(백만달러),경상수지(백만달러),행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],연체율_기업대출,연체율_가계대출,주택담보대출 대출금리,잔액기준금리_가계대출_고정금리대출
2013. 01,1841128.1,20194.4,1567.9,38034.5,144956.7,3218102,89.4,1.6,"75,180",93.016,"3,766.10","2,752.40",전국,609016,609016,0,서울특별시,118477,123006,-4529,부산광역시,39348,40048,-700,대구광역시,27304,28628,-1324,인천광역시,34637,33008,1629,광주광역시,18826,18535,291,대전광역시,20176,19570,606,울산광역시,12314,12103,211,세종특별자치시,2255,1482,773,경기도,150337,142267,8070,강원도,19387,20401,-1014,충청북도,17218,17487,-269,충청남도,24726,24286,440,전라북도,23622,24731,-1109,전라남도,22876,24481,-1605,경상북도,30503,30887,-384,경상남도,35686,36878,-1192,1.3,1,5.46,20.7
2013. 02,1857135,19852.5,1558.3,37511.7,146954.1,3245106,89.7,1.6,"73,386",92.526,"3,077.70","2,212.50",전국,721190,721190,0,서울특별시,150805,155528,-4723,부산광역시,42857,42807,50,대구광역시,31927,32886,-959,인천광역시,40399,38472,1927,광주광역시,21451,21254,197,대전광역시,25105,24585,520,울산광역시,14067,14297,-230,세종특별자치시,2982,1683,1299,경기도,181930,174428,7502,강원도,22535,23693,-1158,충청북도,19979,20596,-617,충청남도,29939,28774,1165,전라북도,26811,27474,-663,전라남도,25181,26459,-1278,경상북도,32645,34694,-2049,경상남도,39524,41430,-1906,1.4,1,5.32,20.8
2013. 03,1862405.5,20430.5,1435.2,38142.6,149050.3,4103946,90,1.5,"70,633",92.719,"6,898.90","6,740.20",전국,662370,662370,0,서울특별시,138507,146220,-7713,부산광역시,39546,41004,-1458,대구광역시,29535,30340,-805,인천광역시,38854,37011,1843,광주광역시,20177,20634,-457,대전광역시,20348,20459,-111,울산광역시,16725,15685,1040,세종특별자치시,2225,1538,687,경기도,162131,156634,5497,강원도,22902,21401,1501,충청북도,20314,20358,-44,충청남도,25808,24858,950,전라북도,24042,24547,-505,전라남도,24427,24395,32,경상북도,32014,32374,-360,경상남도,36638,37570,-932,1.3,1,5.23,21.7
2013. 04,1867726.3,21159.3,1408.7,38248.2,155254.8,4405888,90.4,1.3,"70,201",91.396,"5,314.80","5,039.90",전국,629241,629241,0,서울특별시,134581,144586,-10005,부산광역시,40603,41548,-945,대구광역시,29874,30197,-323,인천광역시,40720,38523,2197,광주광역시,18541,18639,-98,대전광역시,18779,18701,78,울산광역시,13512,13587,-75,세종특별자치시,1851,1473,378,경기도,160159,154667,5492,강원도,19265,18286,979,충청북도,19322,18701,621,충청남도,23314,21832,1482,전라북도,21558,21561,-3,전라남도,19558,19762,-204,경상북도,26969,27270,-301,경상남도,34219,34312,-93,1.5,1,5.12,22
2013. 05,1870289.7,19917.3,1382.2,38369.4,160391.1,4331159,90.7,1.1,"66,896",91.105,"9,172.10","9,608.20",전국,613463,613463,0,서울특별시,130619,138830,-8211,부산광역시,40967,42906,-1939,대구광역시,33939,34450,-511,인천광역시,41056,39520,1536,광주광역시,17835,17946,-111,대전광역시,17386,17412,-26,울산광역시,12597,12526,71,세종특별자치시,1542,1082,460,경기도,157401,150674,6727,강원도,17391,17186,205,충청북도,17058,16657,401,충청남도,22241,20972,1269,전라북도,19347,19913,-566,전라남도,18859,18990,-131,경상북도,25308,25424,-116,경상남도,33778,33552,226,1.5,1,4.93,22.4
2013. 06,1884193.2,20092.7,1284.6,37582.6,160456.2,4751609,91.2,1.2,"65,072",89.5,"5,502.50","6,824.80",전국,586000,586000,0,서울특별시,115773,124523,-8750,부산광역시,40432,42798,-2366,대구광역시,31582,33461,-1879,인천광역시,38589,36980,1609,광주광역시,19531,19928,-397,대전광역시,17161,17108,53,울산광역시,12595,12404,191,세종특별자치시,1229,1072,157,경기도,154291,148122,6169,강원도,15798,15539,259,충청북도,17100,15988,1112,충청남도,21880,20565,1315,전라북도,17975,18219,-244,전라남도,17279,17032,247,경상북도,25338,25153,185,경상남도,34276,32392,1884,1.1,0.9,4.73,23.2
2013. 07,1890728.6,19578.6,1325,37284.6,162712.3,4181517,91.6,1.6,"67,672",92.704,"7,232.60","6,964.60",전국,584697,584697,0,서울특별시,118420,127308,-8888,부산광역시,40876,42931,-2055,대구광역시,28359,29103,-744,인천광역시,37958,36000,1958,광주광역시,18767,18788,-21,대전광역시,17785,18014,-229,울산광역시,12839,12664,175,세종특별자치시,1332,1019,313,경기도,151228,142909,8319,강원도,16129,16027,102,충청북도,18288,18204,84,충청남도,22001,21098,903,전라북도,18799,18949,-150,전라남도,19067,19609,-542,경상북도,24320,25013,-693,경상남도,32709,32036,673,1.2,0.9,4.77,23
2013. 08,1888658.4,21490.1,1318.1,37581.2,161151.2,4283145,91.9,1.5,"68,119",90.634,"7,012.20","6,389.30",전국,558255,558255,0,서울특별시,119171,126101,-6930,부산광역시,35986,37829,-1843,대구광역시,26182,27073,-891,인천광역시,35348,34064,1284,광주광역시,17425,17489,-64,대전광역시,16597,16563,34,울산광역시,11696,10797,899,세종특별자치시,1581,1055,526,경기도,145126,138806,6320,강원도,15600,15446,154,충청북도,16447,16501,-54,충청남도,21141,20109,1032,전라북도,18883,19081,-198,전라남도,17233,17894,-661,경상북도,23380,23685,-305,경상남도,30675,30586,89,1.2,1,4.74,22.7
2013. 09,1903187.1,21705.3,1311.8,38418.2,157272.4,4447844,92.2,1,"66,110",95.047,"8,338.50","7,847.70",전국,485965,485965,0,서울특별시,103009,109528,-6519,부산광역시,31231,32143,-912,대구광역시,23283,23627,-344,인천광역시,31034,29511,1523,광주광역시,14487,14621,-134,대전광역시,14187,14360,-173,울산광역시,10089,10515,-426,세종특별자치시,1202,919,283,경기도,125658,121671,3987,강원도,14346,13824,522,충청북도,14295,13964,331,충청남도,18099,16842,1257,전라북도,16467,16409,58,전라남도,14945,15117,-172,경상북도,21252,21384,-132,경상남도,26759,26545,214,1.1,0.8,4.75,22.1
2013. 10,1908557.6,21493.2,1326,37804.8,154688.8,4618520,92.6,0.9,"64,433",93.954,"9,536.00","10,724.00",전국,637567,637567,0,서울특별시,133368,142141,-8773,부산광역시,40603,42438,-1835,대구광역시,30517,31260,-743,인천광역시,41867,39660,2207,광주광역시,18978,19199,-221,대전광역시,22122,21762,360,울산광역시,13051,13099,-48,세종특별자치시,1740,1294,446,경기도,160957,158057,2900,강원도,18157,17581,576,충청북도,19206,18317,889,충청남도,24328,22649,1679,전라북도,21374,21448,-74,전라남도,19205,19000,205,경상북도,27589,27210,379,경상남도,37838,36383,1455,1.2,0.9,4.68,21.7
2013. 11,1923339.2,21949.7,1331.1,37862.7,152245.9,4952574,93,1.2,"63,709",96.243,"7,817.10","5,891.60",전국,623006,623006,0,서울특별시,119741,131098,-11357,부산광역시,40244,41335,-1091,대구광역시,28429,29182,-753,인천광역시,41389,39006,2383,광주광역시,19692,19969,-277,대전광역시,20036,19934,102,울산광역시,14476,14064,412,세종특별자치시,1662,1129,533,경기도,164436,160975,3461,강원도,17350,16715,635,충청북도,16784,16492,292,충청남도,22466,21386,1080,전라북도,22605,21931,674,전라남도,20360,19395,965,경상북도,26866,25715,1151,경상남도,39758,38626,1132,1.3,0.9,4.65,21.5
2013. 12,1932026.4,21997.7,1373.6,38058.1,151575.3,5339694,93.5,1.1,"61,091",96.535,"6,590.50","6,263.70",전국,701014,701014,0,서울특별시,137619,151771,-14152,부산광역시,45758,48374,-2616,대구광역시,30942,33017,-2075,인천광역시,39762,37823,1939,광주광역시,20986,22286,-1300,대전광역시,21176,22079,-903,울산광역시,15531,15444,87,세종특별자치시,4204,1363,2841,경기도,181780,172093,9687,강원도,19057,18832,225,충청북도,19962,19595,367,충청남도,25485,24682,803,전라북도,26715,26132,583,전라남도,25339,24501,838,경상북도,32934,32174,760,경상남도,45798,43554,2244,1.1,0.7,4.69,21.3
2014. 01,1937045.6,21695.7,1367.8,38003.7,152919.9,3970283,93.8,1.1,"58,576",95.138,"3,674.40","1,837.70",전국,580370,580370,0,서울특별시,111094,115366,-4272,부산광역시,38460,39924,-1464,대구광역시,28927,29203,-276,인천광역시,31651,30438,1213,광주광역시,19571,19498,73,대전광역시,18486,18448,38,울산광역시,13381,13227,154,세종특별자치시,2838,1203,1635,경기도,140799,134553,6246,강원도,16030,17587,-1557,충청북도,16093,16363,-270,충청남도,22228,21804,424,전라북도,22206,23045,-839,전라남도,21057,21766,-709,경상북도,28460,29849,-1389,경상남도,37984,37591,393,1.2,0.7,4.62,20.8
2014. 02,1954340.7,21075.8,1347.2,38540.3,153383.1,3878221,94.1,1,"52,391",95.275,"5,930.70","4,812.50",전국,757702,757702,0,서울특별시,155429,158261,-2832,부산광역시,46888,46549,339,대구광역시,36448,37992,-1544,인천광역시,39921,38241,1680,광주광역시,25487,26162,-675,대전광역시,26749,26604,145,울산광역시,16262,16447,-185,세종특별자치시,3961,1851,2110,경기도,186403,181044,5359,강원도,21023,22411,-1388,충청북도,20323,20470,-147,충청남도,30886,30009,877,전라북도,28472,29514,-1042,전라남도,28378,29478,-1100,경상북도,34572,35785,-1213,경상남도,43886,45361,-1475,1.3,0.8,4.54,21
2014. 03,1964954,20912.6,1318.7,38148.1,151776.2,4537721,94.3,1.3,"48,167",95.126,"7,450.30","6,182.80",전국,708559,708559,0,서울특별시,148117,154260,-6143,부산광역시,40360,42710,-2350,대구광역시,33232,33682,-450,인천광역시,39839,39198,641,광주광역시,22220,23645,-1425,대전광역시,23396,23403,-7,울산광역시,14667,14677,-10,세종특별자치시,2467,1573,894,경기도,173771,169187,4584,강원도,25057,23179,1878,충청북도,18850,19187,-337,충청남도,27544,25750,1794,전라북도,27264,27444,-180,전라남도,28663,27877,786,경상북도,34295,34591,-296,경상남도,40389,40611,-222,1.1,0.7,4.51,21.4
2014. 04,1970361.6,21255.1,1315.5,38322.8,151997.1,4967888,94.6,1.5,"45,573",96.932,"9,833.70","6,875.50",전국,651825,651825,0,서울특별시,136230,144686,-8456,부산광역시,41140,43894,-2754,대구광역시,28486,30083,-1597,인천광역시,42157,40672,1485,광주광역시,19462,20664,-1202,대전광역시,20622,20947,-325,울산광역시,15708,15384,324,세종특별자치시,2903,1598,1305,경기도,160261,155741,4520,강원도,18848,18400,448,충청북도,20660,19391,1269,충청남도,24385,22877,1508,전라북도,22844,22888,-44,전라남도,23491,21927,1564,경상북도,28427,28351,76,경상남도,39448,38432,1016,1.2,0.7,4.50,23.8
2014. 05,1982390.9,20730.7,1292.9,38885.1,152938.9,4823633,94.9,1.7,"49,026",97.172,"8,560.90","9,148.30",전국,612796,612796,0,서울특별시,129645,137232,-7587,부산광역시,38604,41125,-2521,대구광역시,27424,29341,-1917,인천광역시,40270,39047,1223,광주광역시,20054,18696,1358,대전광역시,17976,18620,-644,울산광역시,15083,14709,374,세종특별자치시,2937,1514,1423,경기도,150654,146704,3950,강원도,18267,17992,275,충청북도,17741,17555,186,충청남도,23536,21712,1824,전라북도,20666,20550,116,전라남도,19210,20055,-845,경상북도,25454,25493,-39,경상남도,38979,37039,1940,1.3,0.7,4.46,25.4
2014. 06,1999376.3,20267,1318.7,38996.8,151902.9,5305303,95.1,1.7,"50,257",95.15,"6,088.30","7,768.80",전국,586855,586855,0,서울특별시,122547,130942,-8395,부산광역시,38505,39320,-815,대구광역시,25710,26529,-819,인천광역시,34348,34489,-141,광주광역시,20683,20301,382,대전광역시,16889,17242,-353,울산광역시,14342,14175,167,세종특별자치시,2272,1292,980,경기도,150137,141377,8760,강원도,17014,17303,-289,충청북도,17440,16743,697,충청남도,22336,21642,694,전라북도,19289,19838,-549,전라남도,19715,20937,-1222,경상북도,23808,24272,-464,경상남도,35741,35326,415,1,0.6,4.46,25.7
2014. 07,2013935.1,19573.7,1382.4,38491,154769.3,4625176,95.3,1.6,"51,287",96.778,"5,421.50","6,198.80",전국,599827,599827,0,서울특별시,128364,135883,-7519,부산광역시,35200,36809,-1609,대구광역시,25016,26416,-1400,인천광역시,35812,35290,522,광주광역시,20474,19825,649,대전광역시,19737,19695,42,울산광역시,14075,14033,42,세종특별자치시,2853,1576,1277,경기도,153043,145897,7146,강원도,17100,17468,-368,충청북도,17220,16858,362,충청남도,21978,21582,396,전라북도,22427,22029,398,전라남도,19488,20528,-1040,경상북도,25126,25295,-169,경상남도,35603,35313,290,1.2,0.7,4.45,26
2014. 08,2031777.2,17860.2,1362.9,39587.1,152451.2,4490243,95.7,1.4,"44,784",96.711,"6,749.30","6,793.90",전국,582734,582734,0,서울특별시,124922,130585,-5663,부산광역시,36033,36818,-785,대구광역시,24952,26653,-1701,인천광역시,33630,33621,9,광주광역시,19169,18830,339,대전광역시,18884,19606,-722,울산광역시,13856,13698,158,세종특별자치시,4434,1873,2561,경기도,147166,141985,5181,강원도,16477,16818,-341,충청북도,17009,16690,319,충청남도,21894,21853,41,전라북도,21180,20775,405,전라남도,19701,20738,-1037,경상북도,23385,23102,283,경상남도,33883,33758,125,1.4,0.7,4.45,26.8
2014. 09,2037600.8,17402.1,1391.4,39331.3,151766.1,4562819,96.1,1.1,"39,168",98.052,"8,012.60","7,418.70",전국,566855,566855,0,서울특별시,117715,123841,-6126,부산광역시,35922,36321,-399,대구광역시,25071,31165,-6094,인천광역시,33970,33505,465,광주광역시,18114,17659,455,대전광역시,17901,19048,-1147,울산광역시,12263,12114,149,세종특별자치시,5536,2099,3437,경기도,138030,134452,3578,강원도,17072,16760,312,충청북도,15801,15332,469,충청남도,20804,20872,-68,전라북도,19972,20298,-326,전라남도,17871,18676,-805,경상북도,30101,24329,5772,경상남도,34731,35217,-486,1.2,0.6,4.38,27.2
2014. 10,2051149.8,16626.3,1407.6,38944.7,156118.7,4702756,96.5,1.1,"40,092",99.281,"7,730.60","8,604.50",전국,669986,669986,0,서울특별시,142279,151401,-9122,부산광역시,47271,42703,4568,대구광역시,33552,32533,1019,인천광역시,42403,41566,837,광주광역시,19725,20000,-275,대전광역시,19537,21022,-1485,울산광역시,14072,14067,5,세종특별자치시,6921,2399,4522,경기도,165840,163552,2288,강원도,19944,19248,696,충청북도,18326,18128,198,충청남도,24082,23615,467,전라북도,22694,23051,-357,전라남도,19026,18930,96,경상북도,26552,30405,-3853,경상남도,40811,41366,-555,1.2,0.6,4.34,27.4
