행정구역(동읍면)별,전국,서울특별시 ,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구,부산광역시 ,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군,대구광역시 ,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군,인천광역시 ,인천광역시 중구,인천광역시 동구,인천광역시 남구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군,광주광역시 ,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구,대전광역시 ,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구,울산광역시 ,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군,세종특별자치시 ,경기도 ,경기도 수원시,경기도 장안구,경기도 권선구,경기도 팔달구,경기도 영통구,경기도 성남시,경기도 수정구,경기도 중원구,경기도 분당구,경기도 의정부시,경기도 안양시,경기도 만안구,경기도 동안구,경기도 부천시,경기도 원미구,경기도 소사구,경기도 오정구,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 상록구,경기도 단원구,경기도 고양시,경기도 덕양구,경기도 일산동구,경기도 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 처인구,경기도 기흥구,경기도 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 여주군,경기도 연천군,경기도 가평군,경기도 양평군,강원도 ,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군,충청북도 ,충청북도 청주시,충청북도 상당구,충청북도 서원구,충청북도 흥덕구,충청북도 청원구,충청북도 충주시,충청북도 제천시,충청북도 청원군,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군,충청남도 ,충청남도 천안시,충청남도 동남구,충청남도 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군,전라북도 ,전라북도 전주시,전라북도 완산구,전라북도 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군,전라남도 ,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군,경상북도 ,경상북도 포항시,경상북도 남구,경상북도 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군,경상남도 ,경상남도 창원시,경상남도 의창구,경상남도 성산구,경상남도 마산합포구,경상남도 마산회원구,경상남도 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2013. 01 월,50965180,10195064,164634,133155,243048,300628,371406,363032,418971,481521,342969,362046,596805,501639,315829,384670,496082,567173,427624,243344,391303,406449,522982,435019,564717,672250,487768,3538191,48078,120595,98328,139397,392735,278507,290635,313416,427919,352478,255679,65773,211371,176734,250103,116443,2504945,75362,342115,219759,168449,448348,459848,606540,184524,2846899,99463,76560,414149,,293489,503776,558947,342103,471682,66693,20037,1470061,105393,316723,218332,443803,385810,1525888,251908,263824,496762,307709,205685,1148130,232910,347110,175746,184321,208043,113911,12107216,1124374,291086,332412,206849,294027,979247,233887,254403,490957,429361,611281,253140,358141,869742,446495,231443,191804,355487,434736,97169,715232,381736,333496,971569,397826,282230,291513,70902,192137,601607,200301,399318,286824,155665,145980,917389,210649,376727,330013,394949,205003,181633,289624,525860,276201,200328,157217,,109481,45564,60719,102316,1537704,273483,324076,217517,93936,49354,83577,71992,69823,44550,40094,43637,39875,47867,25025,22776,32428,29936,27758,1565670,667311,240310,,427001,,208426,137328,154733,34378,53200,50543,34269,63513,37751,92989,31229,2029769,582837,258309,324528,117136,105477,281147,163530,126477,41209,155350,55603,73076,58819,32011,88741,85827,62529,1872500,649061,364114,284947,278298,306509,119286,86983,92224,86087,26918,25287,23207,29913,29842,60249,58636,1907945,244420,292057,273953,88148,150787,47450,30840,27041,71473,46989,68299,42188,40069,78135,59967,76052,35707,57180,46267,53791,33216,43916,2698263,519098,251481,267617,263996,135184,168119,417680,113003,101646,104098,75766,246867,24150,56943,26467,18226,40238,43933,35311,44988,120058,46100,33948,51794,10650,3318979,1091188,255410,246777,185392,221284,182325,337488,139317,115457,513539,108675,237258,270552,29869,67517,62959,56879,48060,50576,35738,40656,63092,50159
2013. 02 월,50991003,10196434,163881,132934,242815,301741,371409,362966,418897,481440,342692,361782,596575,502645,316439,384550,495985,567348,427475,242985,390987,407662,522903,437213,564275,671284,487551,3539455,48093,120278,98191,139178,392660,278241,290421,313752,428302,352516,256002,65847,211270,176693,249934,118077,2505040,75381,341964,219416,168448,448074,460396,606713,184648,2850543,100767,76364,414095,,294619,503804,558713,342064,473525,66572,20020,1470969,105200,316859,218365,443831,386714,1527383,252077,263798,496918,308980,205610,1148713,232789,347055,176217,184353,208299,115269,12123024,1127785,291049,332242,206721,297773,980548,233371,256096,491081,429720,611324,252953,358371,869583,446566,231364,191653,355440,435536,97110,714870,381875,332995,972897,398899,282542,291456,70899,191929,603499,200442,399231,286757,156881,145756,920232,210753,379026,330453,396208,204851,181712,291964,526040,276645,199980,157043,,109447,45571,60715,102409,1536718,273798,324046,217203,93973,49224,83578,71708,69764,44565,40102,43586,39836,47838,24964,22777,32277,29779,27700,1565697,667561,240209,,427352,,208377,137254,154896,34358,53058,50478,34280,63535,37824,92942,31134,2031839,583717,258855,324862,116923,105384,282359,163650,126304,41062,155792,55531,73037,58722,32040,89118,85701,62499,1872311,649571,364540,285031,278387,306891,119080,86859,91990,86055,26838,25262,23154,29833,29670,60160,58561,1907027,244218,292021,274107,88082,150898,47405,30789,26996,71335,46879,68311,41953,40013,78086,60000,76020,35671,57198,46217,53690,33188,43950,2696802,519214,251397,267817,263811,134908,167863,417684,112689,101405,104057,75814,247300,24148,56821,26442,18257,40130,43888,35254,44850,120063,45969,33915,51752,10568,3318548,1090687,255259,246649,185303,221215,182261,337532,139094,115686,513726,108621,237693,270692,29656,67532,63043,56804,47854,50426,35787,40656,63079,49980
2013. 03 월,51003843,10192057,162777,132652,242630,302038,371170,362625,418569,481651,342574,361572,595929,503231,316630,384314,495626,567582,427334,242824,390890,408843,523073,437689,563170,669688,486976,3538285,48016,120155,98016,138960,392516,277530,290352,313596,428408,352105,255874,66211,211029,176707,249924,118886,2504623,75366,341980,219256,168584,448103,460070,606673,184591,2853489,101776,76282,414144,,294885,504140,558426,342325,474949,66544,20018,1470979,104909,316708,218096,443714,387552,1527857,251914,263712,496884,309626,205721,1150215,232901,347351,177141,184296,208526,115955,12133590,1130315,292110,332129,206670,299406,980947,232833,257461,490653,429852,611106,252902,358204,869139,446486,231165,191488,355277,436018,97181,714733,381858,332875,973524,399581,282530,291413,70858,191645,604981,200659,399166,286553,157594,145697,921843,210779,380372,330692,396993,204736,181784,294377,526505,277437,199674,156946,,109403,45534,60647,102466,1538219,273873,323898,217216,94079,49280,83318,72855,69855,44714,40233,43494,39837,47782,24984,23055,32304,29784,27658,1565972,668164,240465,,427699,,208189,137104,154715,34286,52910,50624,34299,63675,37738,93168,31100,2033019,584240,258849,325391,116838,105355,283121,163800,126086,40997,156026,55433,72959,58740,32105,89174,85626,62519,1871818,649582,364518,285064,278515,306743,118931,86766,91924,86192,26806,25270,23135,29775,29564,60176,58439,1906887,243944,291909,274368,88070,150936,47396,31325,27027,71172,46828,68253,41857,40066,77973,59961,75879,35613,57348,46110,53708,33191,43953,2696554,519060,251325,267735,263704,135191,167826,417708,112482,101295,103950,75749,247613,24104,56777,26432,18259,40213,43787,35281,44824,120135,45948,33936,51723,10557,3318175,1089899,255307,246160,184951,221129,182352,337332,139021,115791,513921,108496,238048,270940,29553,67531,63060,56785,47758,50424,35793,40658,63058,50107
2013. 04 월,51018468,10185955,162281,132419,242255,302026,370866,362380,418360,481357,342241,361438,595157,503813,316444,384122,495115,567806,427237,242807,390508,409503,522650,438078,562361,668305,486426,3537758,47953,119930,97888,138669,392457,277173,289912,313494,428813,351912,255802,67045,210766,176724,249600,119620,2504888,75610,342076,218884,168479,448039,460163,606851,184786,2856667,102712,76144,413827,,295152,504526,558174,342590,476879,66463,20200,1471324,104694,316732,218071,443830,387997,1528578,251923,263698,497090,310314,205553,1150708,232649,347378,177636,184384,208661,116345,12144383,1131939,292489,332143,206597,300710,980946,232251,258355,490340,430028,610685,252500,358185,868517,446199,231051,191267,354958,436619,97310,714745,381977,332768,974327,400234,282596,291497,70837,191476,606717,200863,398852,286403,158263,145663,923937,211283,381531,331123,397568,204902,181782,296806,527046,278540,199531,156852,,109332,45631,60751,102557,1539169,273820,324152,217342,94144,49128,83282,73149,69873,44720,40330,43508,39858,47728,24972,23143,32391,29962,27667,1566920,668896,241165,,427731,,208215,137189,154494,34254,52894,50610,34394,63873,37771,93237,31093,2034946,585303,259301,326002,116909,105268,283623,163950,126005,40922,156473,55472,72921,58657,32120,89258,85555,62510,1871979,649615,364480,285135,278570,306690,118897,86788,91890,86457,26858,25286,23139,29742,29545,60130,58372,1906477,243295,292053,274446,87972,150985,47353,31352,27058,71058,46832,68139,41731,40043,77967,59873,76347,35562,57534,46114,53663,33147,43953,2696341,518956,251079,267877,263663,135082,167676,417958,112320,101165,103950,75693,247711,24124,56701,26445,18259,40280,43742,35243,44908,120188,45934,33978,51745,10620,3318877,1089406,255273,245853,184709,221197,182374,337159,139306,115868,514251,108431,238434,271212,29543,67590,63217,56796,47708,50366,35818,40631,63076,50065
2013. 05 월,51034494,10181807,161761,132281,242019,301787,370545,363793,418430,480931,341791,361022,594640,504382,316069,384252,494754,567872,427204,242680,390171,409574,522341,438122,561664,667633,486089,3536426,47800,119766,97731,138303,392584,276860,289647,313438,428837,351548,255717,67593,210677,176643,249121,120161,2505083,76284,341942,218360,168058,447579,459987,608400,184473,2859335,103461,76043,413608,,295490,505009,557922,342526,478510,66456,20310,1471801,104499,316665,218091,444189,388357,1529085,251958,263503,497241,310876,205507,1151340,232693,347457,177819,184612,208759,116842,12156714,1133623,292913,332454,206464,301792,980887,232149,258483,490255,430019,610244,252208,358036,867998,446071,230884,191043,354580,437180,97333,714692,382142,332550,975182,400521,282889,291772,70861,191117,608670,201149,398822,286406,158874,145584,926109,211987,382631,331491,398544,205142,181933,299289,527657,279823,199366,156904,,109345,45646,60886,102849,1539403,273851,324179,217213,94218,49230,83227,73343,69909,44677,40324,43497,39871,47641,24977,23163,32424,30008,27651,1567548,669188,241275,,427913,,208154,137125,154614,34221,52886,50604,34415,64031,37756,93442,31112,2036661,586154,259687,326467,116870,105185,284039,164185,125973,40902,156804,55531,72880,58690,32107,89298,85495,62548,1871592,649498,364448,285050,278662,306620,118801,86737,91730,86635,26861,25268,23158,29747,29458,60113,58304,1906335,242625,292100,274302,87998,151251,47412,31303,27101,70965,46828,68077,41656,40010,77931,59702,77030,35551,57618,46107,53684,33107,43977,2696447,518983,250959,268024,263659,135012,167577,418193,112222,101144,103900,75669,247963,24093,56625,26386,18267,40268,43751,35292,44861,120323,45875,33988,51716,10680,3320074,1088753,255123,245691,184483,220989,182467,337160,139324,116007,515014,108396,239011,271813,29504,67613,63325,56726,47631,50291,35782,40648,63057,50019
2013. 06 월,51047880,10176560,161485,132042,241818,301648,370279,364718,418266,480766,341293,360753,593840,504354,315746,384004,494375,568079,426901,242391,389618,409739,521781,438128,561782,667183,485571,3534500,47733,119527,97402,137944,392710,276392,290164,312886,428912,351026,255560,68009,210688,176361,248434,120752,2503728,76495,342261,217675,167713,446735,459314,609286,184249,2861722,104184,75921,413358,,295586,505173,557769,342570,480290,66497,20374,1471867,104139,316501,217846,444847,388534,1529655,252017,263423,497335,311597,205283,1152039,232777,347592,178066,184821,208783,117012,12167575,1136943,297286,331770,205878,302009,980669,231811,258427,490431,429881,609673,251939,357734,867329,446052,230570,190707,354323,438064,97384,714285,382066,332219,976722,401761,282773,292188,70898,190843,609964,201164,398251,286026,159397,145451,928434,212410,383895,332129,399081,205321,182297,301328,527787,280786,199373,156814,,109343,45673,60985,103086,1539767,273962,324264,217031,94364,49162,83216,73351,69918,44735,40286,43553,39913,47588,24992,23179,32423,30161,27669,1568860,670244,242050,,428194,,208202,137052,154693,34223,52854,50657,34500,64090,37773,93447,31125,2038322,587107,259639,327468,116773,105131,284329,164413,126049,40893,157167,55502,72825,58682,32102,89353,85466,62530,1871545,649489,364525,284964,278642,306760,118762,86748,91689,86607,26864,25314,23195,29690,29447,60050,58288,1906575,242175,291924,274521,87927,151201,47453,31276,27104,70923,46731,68101,41749,40292,77941,59619,77526,35584,57582,46145,53687,33081,44033,2696833,518975,250736,268239,263659,135185,167469,418297,112173,101131,103791,75648,248045,24149,56569,26398,18266,40288,43721,35233,44973,120637,45812,33949,51762,10703,3322702,1088046,255240,245318,184282,220877,182329,337081,139379,116105,515721,108375,239368,273964,29480,67591,63350,56663,47574,50324,35886,40654,63060,50081
2013. 07 월,51064841,10172002,161232,131745,241583,301384,370109,365094,418022,480439,340805,360428,593345,504006,315495,384022,493669,568086,426752,242203,389339,409674,521417,438496,562545,666847,485265,3532994,47499,119667,97046,137613,392339,275929,291131,312381,428422,350716,255070,68265,210472,176186,248127,122131,2503604,76606,342667,217295,167425,446155,459437,609871,184148,2864951,104881,75792,413139,,295724,505565,557593,342996,482164,66555,20542,1472357,103873,316172,217672,445360,389280,1530226,252111,263466,497306,311980,205363,1152765,233209,347535,178228,184859,208934,117369,12181553,1138826,298855,331755,205625,302591,980320,231504,258154,490662,429866,609213,251536,357677,866780,445722,230466,190592,354228,438790,97435,714300,382289,332011,978805,403454,282541,292810,70862,190644,611424,201885,397899,286162,159842,145282,931463,212976,385868,332619,399374,205993,182468,303833,527960,282207,199376,156749,,109436,45719,61155,103257,1540014,274092,324347,216982,94576,49127,83159,73146,69952,44772,40263,43610,39932,47547,24950,23249,32492,30166,27652,1569348,670684,243180,,427504,,208138,136951,154734,34258,52844,50628,34508,64203,37794,93454,31152,2039668,587764,259733,328031,116720,105098,284636,164569,126052,40921,157710,55476,72729,58637,32104,89342,85420,62490,1871570,649742,364723,285019,278615,306836,118689,86708,91626,86612,26876,25363,23181,29658,29459,60001,58204,1906028,241589,291696,275013,87845,151201,47423,31238,27045,70837,46641,68058,41647,40160,77863,59551,77977,35619,57567,46162,53680,33059,44157,2696446,518903,250523,268380,263770,134962,167422,418002,112018,101085,103727,75653,248182,24125,56531,26395,18262,40255,43747,35260,44920,120771,45814,33962,51786,10894,3324324,1087646,255418,245093,184151,220635,182349,337134,139369,116297,516321,108343,239554,275246,29460,67622,63404,56623,47522,50245,35859,40683,63038,49958
2013. 08 월,51081507,10168997,161137,131452,241214,301106,369908,365227,417685,480002,340530,359990,593360,503819,315315,383937,493493,568150,426435,241975,388871,410295,521097,438801,563217,666952,485029,3531796,47469,119517,96866,137232,392113,275605,291566,312021,427930,350651,254825,68353,210364,176033,248005,123246,2503400,76560,343093,216889,167133,445598,459612,610367,184148,2867429,105644,75702,412910,,295847,506111,557403,343118,483559,66578,20557,1472807,103730,316135,217605,445736,389601,1530908,252148,263351,497603,312381,205425,1154208,233355,347847,178670,185205,209131,117939,12193532,1140122,299650,331611,205339,303522,979890,231040,258106,490744,429892,609023,251200,357823,866181,445414,230382,190385,354079,439523,97371,714288,382442,331846,980385,404049,282839,293497,70785,190434,612877,203059,397529,286329,160006,145187,933932,213224,387578,333130,400031,206036,182645,305875,528335,283308,199577,156795,,109506,45708,61295,103529,1540264,274196,324527,216907,94736,49084,83069,73005,70027,44719,40281,43689,39948,47482,24922,23239,32504,30265,27664,1569731,671021,243757,,427264,,208083,136894,154873,34244,52847,50569,34529,64265,37770,93481,31155,2041263,588465,259859,328606,116596,105021,285030,164815,126023,40966,158220,55464,72720,58565,32068,89414,85361,62535,1871498,649859,364765,285094,278566,306887,118609,86660,91561,86621,26818,25338,23206,29599,29489,60099,58186,1905442,241300,291451,275167,87806,151268,47369,31203,27050,70791,46617,67999,41586,40078,77808,59459,78333,35621,57526,46169,53640,33042,44159,2696492,519210,250519,268691,263654,134812,167384,418362,111895,100999,103703,75632,248381,24126,56386,26353,18275,40193,43740,35203,44960,120788,45823,33941,51802,10870,3325351,1087089,255436,244851,184023,220484,182295,337114,139417,116375,516934,108289,239806,276028,29413,67688,63344,56517,47512,50287,35912,40664,63026,49936
2013. 09 월,51098531,10166691,161004,131085,240927,300734,370036,365227,417482,479537,340425,359827,593284,503875,315369,383769,493358,568483,426052,241898,388473,410741,520600,439079,563387,667139,484900,3531643,47295,119475,96708,136864,391765,275527,292221,311630,427442,350561,254640,68493,210222,175813,248028,124959,2503679,76445,343755,216503,166960,445207,459833,610663,184313,2870125,106204,75642,412678,,296024,506272,557594,343386,485077,66645,20603,1473229,103600,316130,217415,445942,390142,1531418,251959,263554,497711,312895,205299,1154382,233251,348357,178727,185183,208864,118273,12203080,1141456,300357,331760,205197,304142,979685,230390,257657,491638,429907,608903,251154,357749,865781,445130,230333,190318,353962,440269,97405,714017,382508,331509,981946,404720,283172,294054,70742,190366,613731,203789,397377,286369,160117,145144,936329,213472,389288,333569,400512,206104,182579,307277,528951,284112,199535,156789,109469,,45697,61288,103472,1540796,274223,324606,216979,94885,49009,83080,73010,70309,44786,40218,43669,39968,47470,24920,23264,32508,30277,27615,1570486,671454,244141,,427313,,207989,137079,154979,34276,52860,50536,34511,64357,37860,93448,31137,2043056,589291,260054,329237,116592,105087,285551,164999,125951,40971,158570,55409,72668,58554,32072,89474,85401,62466,1871726,650187,364844,285343,278566,306989,118557,86643,91451,86756,26759,25341,23175,29596,29560,60049,58097,1905374,241240,291310,275465,87830,151314,47373,31143,27097,70745,46553,68058,41537,40066,77742,59373,78530,35600,57502,46128,53646,33020,44102,2696705,519158,250428,268730,263618,135053,167379,418777,111793,100908,103633,75634,248498,24105,56323,26412,18269,40179,43737,35153,45012,120748,45784,33964,51777,10791,3326527,1086805,255571,244623,183935,220398,182278,337120,139610,116452,517739,108271,239841,276597,29413,67716,63272,56465,47435,50246,35958,40686,63017,49884
2013. 10 월,51115702,10162099,160882,130929,240526,300281,369632,365167,417095,478764,340058,359698,592832,504471,315222,383137,493213,568993,425846,241709,387987,411024,520060,439480,563655,666894,484544,3530579,47324,119253,96496,136554,391222,275332,292404,311148,426598,350331,254231,68675,210116,175609,247535,127751,2503648,76409,343968,216169,166716,445099,460169,610752,184366,2873451,106869,75479,412320,,296935,506550,557581,343506,486858,66714,20639,1473576,103471,316082,217081,445866,391076,1532456,251474,264335,498460,313329,204858,1154956,233178,348912,178725,185280,208861,118745,12211807,1142687,300677,331969,205113,304928,979684,229456,256871,493357,430025,608668,250758,357910,864819,444673,230057,190089,353784,440868,97468,714025,382798,331227,983507,405181,283615,294711,70671,190231,614526,204441,396997,286445,160093,145038,938597,213438,390997,334162,400793,206056,182444,308651,529447,285500,199508,156820,109435,,45715,61351,103513,1541457,274370,324981,216996,94863,48911,83051,73155,70390,44786,40228,43684,39976,47444,24844,23446,32487,30253,27592,1571704,672010,244631,,427379,,208119,137365,154986,34295,52820,50471,34519,64443,38050,93483,31143,2045203,590276,260419,329857,116560,105057,286149,165202,125951,41012,158914,55379,72648,58524,32097,89554,85390,62490,1871776,650616,364851,285765,278495,306983,118455,86605,91409,86623,26746,25303,23166,29572,29682,60046,58075,1905627,241006,291361,275681,87770,151316,47413,31097,27104,70677,46495,68034,41740,40013,77710,59296,78929,35596,57478,46171,53601,33009,44130,2697450,519249,250181,269068,263532,134891,167397,419228,112070,100804,103566,75625,248763,24141,56269,26443,18265,40228,43787,35156,45018,120869,45704,33890,51914,10641,3328969,1086675,255793,244262,183850,220322,182448,337218,139764,116597,519035,108298,240204,277241,29376,67691,63325,56418,47451,50157,35961,40685,63067,49806
