지역,시점,매매가격 대비 전세가격(전세지가)
서울특별시 종로구,2013. 01 월,59.05781687
서울특별시 종로구,2013. 02 월,59.11719734
서울특별시 종로구,2013. 03 월,59.64309112
서울특별시 종로구,2013. 04 월,59.99378443
서울특별시 종로구,2013. 05 월,60.24320042
서울특별시 종로구,2013. 06 월,60.65408468
서울특별시 종로구,2013. 07 월,61.18090684
서울특별시 종로구,2013. 08 월,61.52689005
서울특별시 종로구,2013. 09 월,61.95840316
서울특별시 종로구,2013. 10 월,62.27582773
서울특별시 종로구,2013. 11 월,62.41852529
서울특별시 종로구,2013. 12 월,62.47954492
서울특별시 종로구,2014. 01 월,63.67568974
서울특별시 종로구,2014. 02 월,63.98750031
서울특별시 종로구,2014. 03 월,64.13928526
서울특별시 종로구,2014. 04 월,64.28705115
서울특별시 종로구,2014. 05 월,64.33459069
서울특별시 종로구,2014. 06 월,64.38256696
서울특별시 종로구,2014. 07 월,64.38240861
서울특별시 종로구,2014. 08 월,64.48122492
서울특별시 종로구,2014. 09 월,64.72359519
서울특별시 종로구,2014. 10 월,64.88253718
서울특별시 종로구,2014. 11 월,64.94805117
서울특별시 종로구,2014. 12 월,66.11689269
서울특별시 종로구,2015. 01 월,66.20943568
서울특별시 종로구,2015. 02 월,66.28936575
서울특별시 종로구,2015. 03 월,66.64020775
서울특별시 종로구,2015. 04 월,66.76902831
서울특별시 종로구,2015. 05 월,66.79004021
서울특별시 종로구,2015. 06 월,66.87150549
서울특별시 종로구,2015. 07 월,70.48160452
서울특별시 종로구,2015. 08 월,70.50038467
서울특별시 종로구,2015. 09 월,70.7477337
서울특별시 종로구,2015. 10 월,71.03178734
서울특별시 종로구,2015. 11 월,71.28647269
서울특별시 종로구,2015. 12 월,71.38602511
서울특별시 종로구,2016. 01 월,71.44866757
서울특별시 종로구,2016. 02 월,71.5215248
서울특별시 종로구,2016. 03 월,71.56746505
서울특별시 종로구,2016. 04 월,71.63965527
서울특별시 종로구,2016. 05 월,71.86604677
서울특별시 종로구,2016. 06 월,71.92279599
서울특별시 종로구,2016. 07 월,72.11236226
서울특별시 종로구,2016. 08 월,72.2018057
서울특별시 종로구,2016. 09 월,72.21709684
서울특별시 종로구,2016. 10 월,72.3065614
서울특별시 종로구,2016. 11 월,72.4060936
서울특별시 종로구,2016. 12 월,72.49242358
서울특별시 종로구,2017. 01 월,72.52415209
서울특별시 종로구,2017. 02 월,72.62108069
서울특별시 종로구,2017. 03 월,72.67246359
서울특별시 종로구,2017. 04 월,72.70048703
서울특별시 종로구,2017. 05 월,72.72278514
서울특별시 종로구,2017. 06 월,72.6467952
서울특별시 종로구,2017. 07 월,72.60570562
서울특별시 종로구,2017. 08 월,72.47392908
서울특별시 종로구,2017. 09 월,72.51321243
서울특별시 종로구,2017. 10 월,72.4733389
서울특별시 종로구,2017. 11 월,72.45114165
서울특별시 종로구,2017. 12 월,72.11106498
서울특별시 종로구,2018. 01 월,71.93953241
서울특별시 종로구,2018. 02 월,71.57119554
서울특별시 종로구,2018. 03 월,71.52670104
서울특별시 종로구,2018. 04 월,71.09344126
