,,
지역,시점,매매가격 대비 전세가격(전세지가)
전국,2012. 01 월,63.42326596
전국,2012. 02 월,63.48840534
전국,2012. 03 월,63.53677771
전국,2012. 04 월,63.65111608
전국,2012. 05 월,63.79381335
전국,2012. 06 월,63.93760747
전국,2012. 07 월,64.02303014
전국,2012. 08 월,64.22057617
전국,2012. 09 월,64.58220516
전국,2012. 10 월,65.01082512
전국,2012. 11 월,65.39475446
전국,2012. 12 월,65.0067314
전국,2013. 01 월,65.37509028
전국,2013. 02 월,65.70192818
전국,2013. 03 월,66.0657087
전국,2013. 04 월,66.42027826
전국,2013. 05 월,66.53378596
전국,2013. 06 월,66.68215657
전국,2013. 07 월,66.96885308
전국,2013. 08 월,67.42466655
전국,2013. 09 월,67.82491391
전국,2013. 10 월,68.17274876
전국,2013. 11 월,68.46006804
전국,2013. 12 월,68.70328803
전국,2014. 01 월,69.05989325
전국,2014. 02 월,69.32865038
전국,2014. 03 월,69.55751607
전국,2014. 04 월,69.64861836
전국,2014. 05 월,69.6895689
전국,2014. 06 월,69.76015831
전국,2014. 07 월,69.84409161
전국,2014. 08 월,69.929335
전국,2014. 09 월,70.01247451
전국,2014. 10 월,70.09615046
전국,2014. 11 월,70.2050329
전국,2014. 12 월,70.33515967
전국,2015. 01 월,70.45027573
전국,2015. 02 월,70.57085069
전국,2015. 03 월,70.72089258
전국,2015. 04 월,70.90555465
전국,2015. 05 월,71.02650233
전국,2015. 06 월,71.14469742
전국,2015. 07 월,72.88312199
전국,2015. 08 월,72.93923879
전국,2015. 09 월,73.05270661
전국,2015. 10 월,73.15084119
전국,2015. 11 월,73.31022863
전국,2015. 12 월,73.44866123
전국,2016. 01 월,73.5594074
전국,2016. 02 월,73.73480767
전국,2016. 03 월,73.87640913
전국,2016. 04 월,74.03516155
전국,2016. 05 월,74.14687286
전국,2016. 06 월,74.30396763
전국,2016. 07 월,74.38911
전국,2016. 08 월,74.4486631
전국,2016. 09 월,74.45368679
전국,2016. 10 월,74.48464085
전국,2016. 11 월,74.50244889
전국,2016. 12 월,74.55563574
전국,2017. 01 월,74.58101221
전국,2017. 02 월,74.63375584
전국,2017. 03 월,74.68892609
전국,2017. 04 월,74.71059182
전국,2017. 05 월,74.7036952
전국,2017. 06 월,74.62881017
전국,2017. 07 월,74.55262988
전국,2017. 08 월,74.43867621
전국,2017. 09 월,74.44128935
전국,2017. 10 월,74.42420111
전국,2017. 11 월,74.4098395
전국,2017. 12 월,75.33813112
전국,2018. 01 월,75.18496744
전국,2018. 02 월,74.93986188
전국,2018. 03 월,74.72630133
전국,2018. 04 월,74.536188
전국,2018. 05 월,74.3421362
전국,2018. 06 월,74.18880728
전국,2018. 07 월,74.05435575
전국,2018. 08 월,73.92786804
전국,2018. 09 월,73.66067901
전국,2018. 10 월,73.51036437
전국,2018. 11 월,73.43557842
전국,2018. 12 월,73.36436185
전국,2019. 01 월,71.59757139
전국,2019. 02 월,71.55131267
전국,2019. 03 월,71.51857437
전국,2019. 04 월,71.49878392
전국,2019. 05 월,71.50328523
전국,2019. 06 월,71.48839645
전국,2019. 07 월,71.4788155
전국,2019. 08 월,71.48536377
전국,2019. 09 월,71.51389807
전국,2019. 10 월,71.5520747
전국,2019. 11 월,71.56989756
전국,2019. 12 월,71.49213362
수도권,2012. 01 월,56.60059433
수도권,2012. 02 월,56.73352688
수도권,2012. 03 월,56.85039827
수도권,2012. 04 월,56.95877101
수도권,2012. 05 월,57.11203774
수도권,2012. 06 월,57.33889656
수도권,2012. 07 월,57.45912337
수도권,2012. 08 월,57.73474275
수도권,2012. 09 월,58.3584386
수도권,2012. 10 월,59.05841623
수도권,2012. 11 월,59.5780213
수도권,2012. 12 월,59.23106648
수도권,2013. 01 월,59.74762749
수도권,2013. 02 월,60.18645344
수도권,2013. 03 월,60.68881718
수도권,2013. 04 월,61.14372738
수도권,2013. 05 월,61.23305888
수도권,2013. 06 월,61.42126982
수도권,2013. 07 월,61.89971291
수도권,2013. 08 월,62.63792211
수도권,2013. 09 월,63.2962846
수도권,2013. 10 월,63.86940852
수도권,2013. 11 월,64.3749886
수도권,2013. 12 월,64.80124421
수도권,2014. 01 월,65.39928915
수도권,2014. 02 월,65.84684825
수도권,2014. 03 월,66.22766789
수도권,2014. 04 월,66.36143149
수도권,2014. 05 월,66.43521004
수도권,2014. 06 월,66.55176518
수도권,2014. 07 월,66.7698868
수도권,2014. 08 월,66.93134719
수도권,2014. 09 월,67.08667635
수도권,2014. 10 월,67.24393906
수도권,2014. 11 월,67.45799556
수도권,2014. 12 월,67.71012494
수도권,2015. 01 월,67.93478514
수도권,2015. 02 월,68.16477099
수도권,2015. 03 월,68.42163922
수도권,2015. 04 월,68.74832862
수도권,2015. 05 월,68.98096546
수도권,2015. 06 월,69.20782476
수도권,2015. 07 월,71.99956051
수도권,2015. 08 월,72.12137359
수도권,2015. 09 월,72.335032
수도권,2015. 10 월,72.50472628
수도권,2015. 11 월,72.8126664
수도권,2015. 12 월,73.01814107
수도권,2016. 01 월,73.17122611
수도권,2016. 02 월,73.41551193
수도권,2016. 03 월,73.60140965
수도권,2016. 04 월,73.81088873
수도권,2016. 05 월,73.93408078
수도권,2016. 06 월,74.13778312
수도권,2016. 07 월,74.20351001
수도권,2016. 08 월,74.26587736
수도권,2016. 09 월,74.29331202
수도권,2016. 10 월,74.30639947
수도권,2016. 11 월,74.28643241
수도권,2016. 12 월,74.31602679
수도권,2017. 01 월,74.33635048
수도권,2017. 02 월,74.39616785
수도권,2017. 03 월,74.44460644
수도권,2017. 04 월,74.45964669
수도권,2017. 05 월,74.45046748
수도권,2017. 06 월,74.31707273
수도권,2017. 07 월,74.20685464
수도권,2017. 08 월,74.01984378
수도권,2017. 09 월,74.01578047
수도권,2017. 10 월,73.95315829
수도권,2017. 11 월,73.88087294
수도권,2017. 12 월,75.51036611
