지수별,선행종합지수(2015=100),,,
2013. 01,89.4,,,
2013. 02,89.7,,,
2013. 03,90,,,
2013. 04,90.4,,,
2013. 05,90.7,,,
2013. 06,91.2,,,
2013. 07,91.6,,,
2013. 08,91.9,,,
2013. 09,92.2,,,
2013. 10,92.6,,,
2013. 11,93,,,
2013. 12,93.5,,,
2014. 01,93.8,,,
2014. 02,94.1,,,
2014. 03,94.3,,,
2014. 04,94.6,,,
2014. 05,94.9,,,
2014. 06,95.1,,,
2014. 07,95.3,,,
2014. 08,95.7,,,
2014. 09,96.1,,,
2014. 10,96.5,,,
2014. 11,96.9,,,
2014. 12,97.2,,,
2015. 01,97.8,,,
2015. 02,98.2,,,
2015. 03,98.7,,,
2015. 04,99.2,,,
2015. 05,99.7,,,
2015. 06,99.9,,,
2015. 07,100.2,,,
2015. 08,100.5,,,
2015. 09,101,,,
2015. 10,101.4,,,
2015. 11,101.7,,,
2015. 12,101.8,,,
2016. 01,101.8,,,
2016. 02,101.8,,,
2016. 03,102.2,,,
2016. 04,102.6,,,
2016. 05,103,,,
2016. 06,103.4,,,
2016. 07,103.8,,,
2016. 08,104.3,,,
2016. 09,104.8,,,
2016. 10,105.3,,,
2016. 11,105.8,,,
2016. 12,106.3,,,
2017. 01,106.9,,,
2017. 02,107.3,,,
2017. 03,107.8,,,
2017. 04,108.3,,,
2017. 05,108.8,,,
2017. 06,109.3,,,
2017. 07,109.7,,,
2017. 08,110.1,,,
2017. 09,110.4,,,
2017. 10,110.8,,,
2017. 11,111.2,,,
2017. 12,111.4,,,
2018. 01,111.7,,,
2018. 02,112,,,
2018. 03,112.2,,,
2018. 04,112.3,,,
2018. 05,112.7,,,
2018. 06,113,,,
2018. 07,113.2,,,
2018. 08,113.1,,,
2018. 09,113.3,,,
2018. 10,113.4,,,
2018. 11,113.4,,,
2018. 12,113.5,,,
2019. 01,113.6,,,
2019. 02,113.8,,,
2019. 03,114.1,,,
2019. 04,114.5,,,
2019. 05,114.6,,,
2019. 06,114.7,,,
2019. 07,114.7,,,
2019. 08,114.9,,,
2019. 09,115.4,,,
2019. 10 p),116.1,,,
2019. 11 p),116.9,,,
2019. 12 p),117.7,,,
