"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"전국","2006. 01 월","680685","680685","0","244380","205760","205760","230545","230545",
"전국","2006. 02 월","941854","941854","0","332367","291617","291617","317870","317870",
"전국","2006. 03 월","955211","955211","0","364972","289808","289808","300431","300431",
"전국","2006. 04 월","752611","752611","0","294934","230503","230503","227174","227174",
"전국","2006. 05 월","761311","761311","0","295247","233233","233233","232831","232831",
"전국","2006. 06 월","747841","747841","0","291756","230075","230075","226010","226010",
"전국","2006. 07 월","603773","603773","0","230348","181657","181657","191768","191768",
"전국","2006. 08 월","713278","713278","0","260334","214812","214812","238132","238132",
"전국","2006. 09 월","692121","692121","0","269475","210952","210952","211694","211694",
"전국","2006. 10 월","748367","748367","0","294041","229426","229426","224900","224900",
"전국","2006. 11 월","838983","838983","0","333881","256368","256368","248734","248734",
"전국","2006. 12 월","906039","906039","0","335381","274078","274078","296580","296580",
"전국","2007. 01 월","870481","870481","0","316180","266444","266444","287857","287857",
"전국","2007. 02 월","899570","899570","0","316616","280997","280997","301957","301957",
"전국","2007. 03 월","836839","836839","0","312546","252143","252143","272150","272150",
"전국","2007. 04 월","741193","741193","0","283278","223224","223224","234691","234691",
"전국","2007. 05 월","735973","735973","0","285765","220216","220216","229992","229992",
"전국","2007. 06 월","630810","630810","0","240055","190028","190028","200727","200727",
"전국","2007. 07 월","627353","627353","0","235989","187820","187820","203544","203544",
"전국","2007. 08 월","719574","719574","0","257824","221175","221175","240575","240575",
"전국","2007. 09 월","591931","591931","0","223507","181602","181602","186822","186822",
"전국","2007. 10 월","857977","857977","0","327081","262782","262782","268114","268114",
"전국","2007. 11 월","774668","774668","0","307427","233686","233686","233555","233555",
"전국","2007. 12 월","783733","783733","0","284253","237461","237461","262019","262019",
"전국","2008. 01 월","780030","780030","0","281595","239310","239310","259125","259125",
"전국","2008. 02 월","899237","899237","0","317098","281343","281343","300796","300796",
"전국","2008. 03 월","845111","845111","0","317931","252856","252856","274324","274324",
"전국","2008. 04 월","785865","785865","0","310628","234726","234726","240511","240511",
"전국","2008. 05 월","741984","741984","0","292168","223887","223887","225929","225929",
"전국","2008. 06 월","703925","703925","0","276177","214257","214257","213491","213491",
"전국","2008. 07 월","691177","691177","0","261646","213941","213941","215590","215590",
"전국","2008. 08 월","673647","673647","0","249486","205663","205663","218498","218498",
"전국","2008. 09 월","642956","642956","0","240961","195533","195533","206462","206462",
"전국","2008. 10 월","717175","717175","0","278899","221382","221382","216894","216894",
"전국","2008. 11 월","626139","626139","0","244314","196055","196055","185770","185770",
"전국","2008. 12 월","701010","701010","0","251008","215241","215241","234761","234761",
"전국","2009. 01 월","582164","582164","0","198107","179891","179891","204166","204166",
"전국","2009. 02 월","847598","847598","0","286022","267091","267091","294485","294485",
"전국","2009. 03 월","841214","841214","0","310693","254263","254263","276258","276258",
"전국","2009. 04 월","705290","705290","0","278278","212367","212367","214645","214645",
"전국","2009. 05 월","669378","669378","0","257172","202262","202262","209944","209944",
"전국","2009. 06 월","685789","685789","0","264149","205262","205262","216378","216378",
"전국","2009. 07 월","671305","671305","0","256853","201890","201890","212562","212562",
"전국","2009. 08 월","683893","683893","0","250434","207089","207089","226370","226370",
"전국","2009. 09 월","670762","670762","0","254664","204767","204767","211331","211331",
"전국","2009. 10 월","708767","708767","0","278871","212751","212751","217145","217145",
"전국","2009. 11 월","678715","678715","0","273149","203387","203387","202179","202179",
"전국","2009. 12 월","742400","742400","0","274634","224257","224257","243509","243509",
"전국","2010. 01 월","631545","631545","0","221718","190804","190804","219023","219023",
"전국","2010. 02 월","783081","783081","0","265412","240035","240035","277634","277634",
"전국","2010. 03 월","882541","882541","0","324720","262284","262284","295537","295537",
"전국","2010. 04 월","709932","709932","0","276612","209063","209063","224257","224257",
"전국","2010. 05 월","663632","663632","0","259609","197069","197069","206954","206954",
"전국","2010. 06 월","648218","648218","0","252687","193993","193993","201538","201538",
"전국","2010. 07 월","602993","602993","0","230998","179415","179415","192580","192580",
"전국","2010. 08 월","655501","655501","0","238275","195368","195368","221858","221858",
"전국","2010. 09 월","552496","552496","0","208270","165055","165055","179171","179171",
"전국","2010. 10 월","670594","670594","0","263178","202361","202361","205055","205055",
"전국","2010. 11 월","698948","698948","0","284062","207351","207351","207535","207535",
"전국","2010. 12 월","727113","727113","0","279255","216707","216707","231151","231151",
"전국","2011. 01 월","640249","640249","0","235393","189114","189114","215742","215742",
"전국","2011. 02 월","786551","786551","0","278682","234216","234216","273653","273653",
"전국","2011. 03 월","824688","824688","0","317229","239779","239779","267680","267680",
"전국","2011. 04 월","673541","673541","0","271305","194548","194548","207688","207688",
"전국","2011. 05 월","672248","672248","0","273121","193755","193755","205372","205372",
"전국","2011. 06 월","630295","630295","0","252041","181420","181420","196834","196834",
"전국","2011. 07 월","575022","575022","0","224909","166938","166938","183175","183175",
"전국","2011. 08 월","704132","704132","0","266671","205892","205892","231569","231569",
"전국","2011. 09 월","593848","593848","0","226716","174583","174583","192549","192549",
"전국","2011. 10 월","653713","653713","0","259582","193032","193032","201099","201099",
"전국","2011. 11 월","666142","666142","0","268267","195879","195879","201996","201996",
"전국","2011. 12 월","706766","706766","0","269813","209797","209797","227156","227156",
"전국","2012. 01 월","582501","582501","0","200726","171874","171874","209901","209901",
"전국","2012. 02 월","819205","819205","0","275505","244116","244116","299584","299584",
"전국","2012. 03 월","717005","717005","0","264348","205342","205342","247315","247315",
"전국","2012. 04 월","630685","630685","0","249616","179326","179326","201743","201743",
"전국","2012. 05 월","624944","624944","0","247637","178683","178683","198624","198624",
"전국","2012. 06 월","542041","542041","0","212794","153548","153548","175699","175699",
"전국","2012. 07 월","559846","559846","0","216967","159546","159546","183333","183333",
"전국","2012. 08 월","584403","584403","0","215602","167760","167760","201041","201041",
"전국","2012. 09 월","505118","505118","0","195106","145703","145703","164309","164309",
