기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.2/4	합계	합계	4,304,243	10,041,574	4,899,133	5,142,441	9,757,144	4,762,711	4,994,433	284,430	136,422	148,008	2.27	1,451,564
2019.2/4	종로구	소계	73,828	162,413	78,657	83,756	152,026	74,190	77,836	10,387	4,467	5,920	2.06	27,155
2019.2/4	종로구	사직동	4,552	9,724	4,419	5,305	9,447	4,256	5,191	277	163	114	2.08	1,783
2019.2/4	종로구	삼청동	1,401	3,030	1,446	1,584	2,803	1,335	1,468	227	111	116	2	635
2019.2/4	종로구	부암동	4,287	10,477	4,989	5,488	10,068	4,801	5,267	409	188	221	2.35	1,747
2019.2/4	종로구	평창동	7,495	18,820	8,822	9,998	18,667	8,747	9,920	153	75	78	2.49	3,184
2019.2/4	종로구	무악동	3,155	8,702	4,063	4,639	8,655	4,046	4,609	47	17	30	2.74	1,369
2019.2/4	종로구	교남동	4,574	10,760	4,997	5,763	10,609	4,926	5,683	151	71	80	2.32	1,529
2019.2/4	종로구	가회동	2,042	4,472	2,089	2,383	4,364	2,028	2,336	108	61	47	2.14	910
2019.2/4	종로구	종로1.2.3.4가동	5,290	8,500	4,979	3,521	7,364	4,390	2,974	1,136	589	547	1.39	1,914
2019.2/4	종로구	종로5·6가동	3,174	5,667	3,119	2,548	5,203	2,859	2,344	464	260	204	1.64	1,105
2019.2/4	종로구	이화동	4,509	8,582	3,957	4,625	7,998	3,757	4,241	584	200	384	1.77	1,353
2019.2/4	종로구	창신1동	2,952	6,166	3,312	2,854	5,297	2,859	2,438	869	453	416	1.79	1,190
2019.2/4	종로구	창신2동	4,134	9,874	5,006	4,868	8,652	4,416	4,236	1,222	590	632	2.09	1,695
2019.2/4	종로구	창신3동	2,892	7,354	3,634	3,720	7,183	3,548	3,635	171	86	85	2.48	1,177
