기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2005	서울특별시	합계	합계	1,990,749	2,041,756	1,397,713	628,013	769,700	769,700	593,036	644,043	-51,007
2005	서울특별시	합계	남자	986,271	1,019,884	692,889	308,951	383,938	383,938	293,382	326,995	-33,613
2005	서울특별시	합계	여자	1,004,478	1,021,872	704,824	319,062	385,762	385,762	299,654	317,048	-17,394
2005	서울특별시	1월	합계	129,452	128,063	83,344	34,748	48,596	48,596	46,108	44,719	1,389
2005	서울특별시	1월	남자	63,570	63,779	41,162	17,095	24,067	24,067	22,408	22,617	-209
2005	서울특별시	1월	여자	65,882	64,284	42,182	17,653	24,529	24,529	23,700	22,102	1,598
2005	서울특별시	2월	합계	160,365	157,308	103,002	42,217	60,785	60,785	57,363	54,306	3,057
2005	서울특별시	2월	남자	78,697	78,161	50,656	20,714	29,942	29,942	28,041	27,505	536
2005	서울특별시	2월	여자	81,668	79,147	52,346	21,503	30,843	30,843	29,322	26,801	2,521
2005	서울특별시	3월	합계	194,805	198,710	135,624	61,508	74,116	74,116	59,181	63,086	-3,905
2005	서울특별시	3월	남자	97,012	99,540	67,065	30,136	36,929	36,929	29,947	32,475	-2,528
2005	서울특별시	3월	여자	97,793	99,170	68,559	31,372	37,187	37,187	29,234	30,611	-1,377
2005	서울특별시	4월	합계	180,653	186,144	129,988	60,372	69,616	69,616	50,665	56,156	-5,491
2005	서울특별시	4월	남자	90,923	94,124	65,147	29,979	35,168	35,168	25,776	28,977	-3,201
2005	서울특별시	4월	여자	89,730	92,020	64,841	30,393	34,448	34,448	24,889	27,179	-2,290
2005	서울특별시	5월	합계	176,918	183,726	129,441	60,105	69,336	69,336	47,477	54,285	-6,808
2005	서울특별시	5월	남자	87,918	92,005	64,271	29,461	34,810	34,810	23,647	27,734	-4,087
2005	서울특별시	5월	여자	89,000	91,721	65,170	30,644	34,526	34,526	23,830	26,551	-2,721
2005	서울특별시	6월	합계	161,699	169,102	117,629	54,027	63,602	63,602	44,070	51,473	-7,403
2005	서울특별시	6월	남자	80,004	84,295	58,230	26,561	31,669	31,669	21,774	26,065	-4,291
2005	서울특별시	6월	여자	81,695	84,807	59,399	27,466	31,933	31,933	22,296	25,408	-3,112
2005	서울특별시	7월	합계	142,256	145,441	100,476	45,030	55,446	55,446	41,780	44,965	-3,185
2005	서울특별시	7월	남자	70,890	73,101	50,114	22,369	27,745	27,745	20,776	22,987	-2,211
2005	서울특별시	7월	여자	71,366	72,340	50,362	22,661	27,701	27,701	21,004	21,978	-974
2005	서울특별시	8월	합계	178,385	182,813	124,851	55,208	69,643	69,643	53,534	57,962	-4,428
2005	서울특별시	8월	남자	88,182	90,674	61,653	27,170	34,483	34,483	26,529	29,021	-2,492
2005	서울특별시	8월	여자	90,203	92,139	63,198	28,038	35,160	35,160	27,005	28,941	-1,936
2005	서울특별시	9월	합계	163,207	167,230	115,320	52,671	62,649	62,649	47,887	51,910	-4,023
2005	서울특별시	9월	남자	81,344	83,938	57,457	25,963	31,494	31,494	23,887	26,481	-2,594
2005	서울특별시	9월	여자	81,863	83,292	57,863	26,708	31,155	31,155	24,000	25,429	-1,429
2005	서울특별시	10월	합계	171,058	176,642	124,048	57,462	66,586	66,586	47,010	52,594	-5,584
2005	서울특별시	10월	남자	85,269	88,952	62,020	28,464	33,556	33,556	23,249	26,932	-3,683
