기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2013	합계	합계	1,520,090	1,620,640	468,394	468,394	584,614	584,614	467,082	567,632
2013	종로구	소계	24,676	30,007	4,921	4,921	11,803	16,405	7,952	8,681
2013	종로구	사직동	1,665	1,872	406	360	828	990	431	522
2013	종로구	삼청동	431	538	85	123	228	267	118	148
2013	종로구	부암동	1,668	1,802	473	391	750	845	445	566
2013	종로구	평창동	2,534	2,559	502	372	1,315	1,301	717	886
2013	종로구	무악동	1,249	1,256	228	117	742	801	279	338
2013	종로구	교남동	849	3,676	144	364	417	2,625	288	687
2013	종로구	가회동	671	845	129	147	330	451	212	247
2013	종로구	종로1.2.3.4가동	1,686	1,756	183	218	839	926	664	612
2013	종로구	종로5·6가동	892	1,069	203	258	374	519	315	292
2013	종로구	이화동	1,694	1,739	330	317	754	916	610	506
2013	종로구	창신1동	932	1,210	312	320	393	605	227	285
2013	종로구	창신2동	1,029	1,405	343	335	403	718	283	352
2013	종로구	창신3동	1,004	1,247	286	334	479	595	239	318
2013	종로구	숭인1동	1,096	1,205	360	292	498	606	238	307
2013	종로구	숭인2동	2,054	1,732	239	167	1,114	1,056	701	509
2013	종로구	청운효자동	2,057	2,622	418	592	980	1,269	659	761
2013	종로구	혜화동	3,165	3,474	280	214	1,359	1,915	1,526	1,345
2013	중구	소계	19,191	22,508	3,608	3,608	9,623	12,152	5,960	6,748
2013	중구	소공동	356	392	24	10	206	239	126	143
2013	중구	회현동	1,003	995	60	64	625	618	318	313
2013	중구	명동	438	545	22	55	252	311	164	179
2013	중구	필동	773	861	102	109	339	425	332	327
2013	중구	장충동	1,029	1,079	176	187	316	518	537	374
2013	중구	광희동	726	955	118	175	331	445	277	335
2013	중구	을지로동	299	369	37	30	156	207	106	132
2013	중구	신당5동	1,732	1,853	428	461	936	997	368	395
2013	중구	황학동	1,867	2,001	281	261	956	1,114	630	626
2013	중구	중림동	1,497	2,646	68	82	944	1,895	485	669
2013	중구	신당동	1,197	1,425	313	372	519	652	365	401
2013	중구	다산동	2,282	2,575	608	532	981	1,237	693	806
2013	중구	약수동	2,362	2,828	372	332	1,323	1,607	667	889
2013	중구	청구동	1,970	2,266	431	494	981	1,101	558	671
2013	중구	동화동	1,660	1,718	568	444	758	786	334	488
2013	용산구	소계	34,935	39,623	8,140	8,140	15,304	17,614	11,491	13,869
2013	용산구	후암동	2,577	3,020	709	690	1,004	1,226	864	1,104
2013	용산구	용산2가동	1,585	1,931	445	423	599	741	541	767
2013	용산구	남영동	1,920	1,719	475	404	869	762	576	553
2013	용산구	원효로2동	1,868	2,037	513	440	833	969	522	628
2013	용산구	효창동	1,723	1,846	580	488	751	779	392	579
2013	용산구	용문동	1,843	2,028	594	572	759	810	490	646
2013	용산구	이촌1동	2,998	3,252	609	573	1,572	1,625	817	1,054
2013	용산구	이촌2동	1,126	1,517	361	340	459	611	306	566
2013	용산구	이태원1동	1,263	1,542	346	464	506	614	411	464
2013	용산구	이태원2동	1,608	1,759	352	457	697	739	559	563
2013	용산구	서빙고동	2,247	2,512	464	451	801	963	982	1,098
2013	용산구	보광동	2,340	2,775	709	503	819	1,170	812	1,102
2013	용산구	청파동	3,516	4,127	468	550	1,656	2,096	1,392	1,481
2013	용산구	원효로1동	2,448	2,459	654	558	1,046	1,106	748	795
2013	용산구	한강로동	2,569	3,019	477	572	1,229	1,438	863	1,009
2013	용산구	한남동	3,304	4,080	384	655	1,704	1,965	1,216	1,460
2013	성동구	소계	45,399	47,356	11,302	11,302	21,032	21,460	13,065	14,594
2013	성동구	왕십리2동	2,298	2,681	669	754	1,019	1,165	610	762
2013	성동구	마장동	3,170	3,601	716	764	1,307	1,697	1,147	1,140
2013	성동구	사근동	2,088	2,139	323	408	503	887	1,262	844
2013	성동구	행당1동	2,481	2,820	775	782	1,035	1,207	671	831
2013	성동구	행당2동	3,099	3,605	880	824	1,431	1,669	788	1,112
2013	성동구	응봉동	2,305	2,622	856	725	848	1,091	601	806
2013	성동구	금호1가동	1,684	2,996	567	1,185	717	1,134	400	677
2013	성동구	금호4가동	2,617	2,557	822	869	1,274	1,014	521	674
2013	성동구	성수1가1동	2,357	2,804	705	819	994	1,098	658	887
2013	성동구	성수1가2동	2,696	3,222	677	633	1,152	1,473	867	1,116
2013	성동구	성수2가1동	2,444	2,996	592	577	1,064	1,401	788	1,018
2013	성동구	성수2가3동	2,096	2,209	457	472	935	1,025	704	712
2013	성동구	송정동	1,683	1,831	235	155	1,003	1,082	445	594
2013	성동구	용답동	2,113	2,314	209	134	1,197	1,433	707	747
2013	성동구	왕십리도선동	1,836	2,037	526	573	762	845	548	619
2013	성동구	금호2.3가동	3,503	3,429	1,153	980	1,509	1,509	841	940
2013	성동구	옥수동	6,929	3,493	1,140	648	4,282	1,730	1,507	1,115
2013	광진구	소계	56,235	60,597	16,772	16,772	21,261	23,081	18,202	20,744
2013	광진구	화양동	5,403	5,014	646	959	1,693	2,032	3,064	2,023
2013	광진구	군자동	3,474	3,691	744	758	1,372	1,621	1,358	1,312
2013	광진구	중곡1동	2,772	3,047	973	985	1,077	1,203	722	859
2013	광진구	중곡2동	3,727	3,968	1,393	1,383	1,373	1,458	961	1,127
2013	광진구	중곡3동	2,899	3,263	900	868	1,243	1,392	756	1,003
2013	광진구	중곡4동	4,606	5,115	1,706	1,587	1,813	1,929	1,087	1,599
2013	광진구	능동	2,253	2,310	635	602	878	985	740	723
2013	광진구	구의1동	4,150	4,519	1,295	1,413	1,420	1,537	1,435	1,569
2013	광진구	구의2동	3,650	3,711	1,456	1,145	1,253	1,264	941	1,302
2013	광진구	구의3동	4,105	4,549	1,471	1,228	1,479	1,654	1,155	1,667
2013	광진구	광장동	4,797	4,552	1,034	1,097	2,238	1,758	1,525	1,697
2013	광진구	자양1동	3,706	4,211	1,402	1,436	1,150	1,315	1,154	1,460
2013	광진구	자양2동	3,582	4,244	1,374	1,237	1,190	1,486	1,018	1,521
2013	광진구	자양3동	3,813	4,374	1,042	1,090	1,716	1,826	1,055	1,458
2013	광진구	자양4동	3,298	4,029	701	984	1,366	1,621	1,231	1,424
2013	동대문구	소계	56,066	56,084	16,464	16,464	22,709	21,505	16,893	18,115
2013	동대문구	회기동	2,432	2,384	595	613	700	876	1,137	895
2013	동대문구	휘경1동	2,743	3,073	858	898	878	1,109	1,007	1,066
2013	동대문구	휘경2동	3,707	4,099	971	1,246	1,236	1,346	1,500	1,507
2013	동대문구	청량리동	2,807	3,308	866	1,046	1,142	1,217	799	1,045
2013	동대문구	용신동	4,700	5,481	714	1,132	2,337	2,577	1,649	1,772
2013	동대문구	제기동	3,921	4,386	885	961	1,708	2,047	1,328	1,378
2013	동대문구	전농1동	9,546	3,842	3,717	1,111	3,999	1,408	1,830	1,323
2013	동대문구	전농2동	2,954	3,181	1,212	1,396	1,102	964	640	821
2013	동대문구	답십리1동	2,819	3,179	779	1,223	1,296	1,127	744	829
2013	동대문구	답십리2동	3,540	4,283	1,245	1,692	1,386	1,377	909	1,214
2013	동대문구	장안1동	5,134	5,353	1,337	1,480	2,372	2,133	1,425	1,740
2013	동대문구	장안2동	4,385	4,907	1,526	1,786	1,781	1,631	1,078	1,490
2013	동대문구	이문1동	4,773	5,499	1,166	1,283	1,533	2,235	2,074	1,981
2013	동대문구	이문2동	2,605	3,109	593	597	1,239	1,458	773	1,054
2013	중랑구	소계	61,677	65,539	24,314	24,314	21,331	19,517	16,032	21,708
2013	중랑구	면목2동	4,052	4,255	1,550	1,637	1,429	1,203	1,073	1,415
2013	중랑구	면목4동	3,112	3,629	767	976	1,476	1,514	869	1,139
2013	중랑구	면목5동	1,898	2,404	824	1,118	690	630	384	656
2013	중랑구	면목7동	3,392	4,048	1,231	1,357	1,316	1,399	845	1,292
2013	중랑구	상봉1동	3,626	3,348	1,757	1,481	995	845	874	1,022
2013	중랑구	상봉2동	3,424	3,657	1,284	1,433	1,117	981	1,023	1,243
2013	중랑구	중화1동	3,108	3,380	1,211	1,325	1,061	913	836	1,142
2013	중랑구	중화2동	4,250	4,898	1,690	1,673	1,442	1,458	1,118	1,767
2013	중랑구	묵1동	5,340	5,415	1,611	1,396	2,330	1,989	1,399	2,030
2013	중랑구	묵2동	3,230	3,549	1,189	1,119	1,237	1,278	804	1,152
2013	중랑구	망우3동	2,953	3,195	1,419	1,521	826	754	708	920
2013	중랑구	신내1동	5,214	4,207	2,375	1,553	1,787	1,176	1,052	1,478
2013	중랑구	신내2동	3,128	3,532	1,218	1,306	1,052	1,049	858	1,177
2013	중랑구	면목본동	5,849	5,911	2,435	2,501	1,928	1,687	1,486	1,723
2013	중랑구	면목3.8동	4,379	4,945	2,002	2,055	1,364	1,469	1,013	1,421
2013	중랑구	망우본동	4,722	5,166	1,751	1,863	1,281	1,172	1,690	2,131
2013	성북구	소계	64,081	71,262	19,260	19,260	26,903	29,945	17,918	22,057
2013	성북구	돈암1동	1,872	2,216	647	676	759	825	466	715
