기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.1/4	합계	합계	4,290,922	10,054,979	4,909,387	5,145,592	9,770,216	4,772,134	4,998,082	284,763	137,253	147,510	2.28	1,436,125
2019.1/4	종로구	소계	73,914	162,913	78,963	83,950	152,778	74,536	78,242	10,135	4,427	5,708	2.07	26,981
2019.1/4	종로구	사직동	4,552	9,782	4,432	5,350	9,504	4,270	5,234	278	162	116	2.09	1,770
2019.1/4	종로구	삼청동	1,400	3,045	1,445	1,600	2,804	1,322	1,482	241	123	118	2	636
2019.1/4	종로구	부암동	4,295	10,523	5,012	5,511	10,111	4,832	5,279	412	180	232	2.35	1,752
2019.1/4	종로구	평창동	7,552	19,002	8,909	10,093	18,844	8,834	10,010	158	75	83	2.5	3,186
2019.1/4	종로구	무악동	3,111	8,585	4,023	4,562	8,542	4,008	4,534	43	15	28	2.75	1,335
2019.1/4	종로구	교남동	4,584	10,848	5,039	5,809	10,702	4,973	5,729	146	66	80	2.33	1,510
2019.1/4	종로구	가회동	2,061	4,512	2,114	2,398	4,400	2,051	2,349	112	63	49	2.13	906
2019.1/4	종로구	종로1.2.3.4가동	5,269	8,518	4,973	3,545	7,361	4,374	2,987	1,157	599	558	1.4	1,895
2019.1/4	종로구	종로5·6가동	3,182	5,681	3,123	2,558	5,230	2,865	2,365	451	258	193	1.64	1,108
2019.1/4	종로구	이화동	4,487	8,576	4,004	4,572	8,025	3,809	4,216	551	195	356	1.79	1,343
2019.1/4	종로구	창신1동	2,970	6,200	3,327	2,873	5,334	2,884	2,450	866	443	423	1.8	1,186
2019.1/4	종로구	창신2동	4,163	9,954	5,034	4,920	8,722	4,450	4,272	1,232	584	648	2.1	1,690
2019.1/4	종로구	창신3동	2,891	7,412	3,655	3,757	7,234	3,562	3,672	178	93	85	2.5	1,159
