기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1971	서울특별시	합계	합계	1,671,705	1,419,016	1,158,556	…	…	…	513,149	260,460	252,689
1971	서울특별시	합계	남자	867,884	735,214	593,846	…	…	…	274,038	141,368	132,670
1971	서울특별시	합계	여자	803,821	683,802	564,710	…	…	…	239,111	119,092	120,019
1971	서울특별시	1월	합계	164,619	148,071	120,336	…	…	…	44,283	27,735	16,548
1971	서울특별시	1월	남자	85,175	76,537	61,958	…	…	…	23,217	14,579	8,638
1971	서울특별시	1월	여자	79,444	71,534	58,378	…	…	…	21,066	13,156	7,910
1971	서울특별시	2월	합계	195,392	158,831	134,888	…	…	…	60,504	23,943	36,561
1971	서울특별시	2월	남자	101,005	82,249	69,607	…	…	…	31,398	12,642	18,756
1971	서울특별시	2월	여자	94,387	76,582	65,281	…	…	…	29,106	11,301	17,805
1971	서울특별시	3월	합계	203,616	162,901	131,788	…	…	…	71,828	31,113	40,715
1971	서울특별시	3월	남자	105,772	84,727	68,102	…	…	…	37,670	16,625	21,045
1971	서울특별시	3월	여자	97,844	78,174	63,686	…	…	…	34,158	14,488	19,670
1971	서울특별시	4월	합계	155,412	130,833	102,155	…	…	…	53,257	28,678	24,579
1971	서울특별시	4월	남자	80,689	67,219	52,041	…	…	…	28,648	15,178	13,470
1971	서울특별시	4월	여자	74,723	63,614	50,114	…	…	…	24,609	13,500	11,109
1971	서울특별시	5월	합계	120,948	105,169	83,351	…	…	…	37,597	21,818	15,779
1971	서울특별시	5월	남자	62,143	53,479	42,020	…	…	…	20,123	11,459	8,664
1971	서울특별시	5월	여자	58,805	51,690	41,331	…	…	…	17,474	10,359	7,115
1971	서울특별시	6월	합계	132,941	114,427	93,671	…	…	…	39,270	20,756	18,514
1971	서울특별시	6월	남자	69,881	59,739	48,460	…	…	…	21,421	11,279	10,142
1971	서울특별시	6월	여자	63,060	54,688	45,211	…	…	…	17,849	9,477	8,372
1971	서울특별시	7월	합계	138,980	119,378	100,474	…	…	…	38,506	18,904	19,602
1971	서울특별시	7월	남자	71,950	61,594	50,941	…	…	…	21,009	10,653	10,356
1971	서울특별시	7월	여자	67,030	57,784	49,533	…	…	…	17,497	8,251	9,246
1971	서울특별시	8월	합계	116,876	99,889	78,782	…	…	…	38,094	21,107	16,987
1971	서울특별시	8월	남자	61,379	52,409	40,703	…	…	…	20,676	11,706	8,970
1971	서울특별시	8월	여자	55,497	47,480	38,079	…	…	…	17,418	9,401	8,017
1971	서울특별시	9월	합계	121,728	102,429	83,827	…	…	…	37,901	18,602	19,299
1971	서울특별시	9월	남자	63,754	53,350	43,151	…	…	…	20,603	10,199	10,404
1971	서울특별시	9월	여자	57,974	49,079	40,676	…	…	…	17,298	8,403	8,895
1971	서울특별시	10월	합계	110,601	95,027	79,921	…	…	…	30,680	15,106	15,574
1971	서울특별시	10월	남자	57,041	49,010	40,513	…	…	…	16,528	8,497	8,031
1971	서울특별시	10월	여자	53,560	46,017	39,408	…	…	…	14,152	6,609	7,543
1971	서울특별시	11월	합계	108,160	93,580	76,917	…	…	…	31,243	16,663	14,580
1971	서울특별시	11월	남자	56,082	48,888	39,436	…	…	…	16,646	9,452	7,194
1971	서울특별시	11월	여자	52,078	44,692	37,481	…	…	…	14,597	7,211	7,386
1971	서울특별시	12월	합계	102,432	88,481	72,446	…	…	…	29,986	16,035	13,951
