기간	자치구	동	성별	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2008	합계	합계	계	2,025,358	2,083,352	633,437	633,437	792,776	792,776	599,145	657,139
2008	합계	합계	남자	1,002,192	1,036,800	309,566	309,566	393,626	393,626	299,000	333,608
2008	합계	합계	여자	1,023,166	1,046,552	323,871	323,871	399,150	399,150	300,145	323,531
2008	종로구	소계	계	39,726	35,456	7,181	7,181	21,190	18,573	11,355	9,702
2008	종로구	소계	남자	20,058	18,071	3,542	3,542	10,567	9,375	5,949	5,154
2008	종로구	소계	여자	19,668	17,385	3,639	3,639	10,623	9,198	5,406	4,548
2008	종로구	사직동	계	3,591	2,029	669	435	2,071	1,098	851	496
2008	종로구	사직동	남자	1,705	986	299	215	983	513	423	258
2008	종로구	사직동	여자	1,886	1,043	370	220	1,088	585	428	238
2008	종로구	삼청동	계	663	854	145	183	295	426	223	245
2008	종로구	삼청동	남자	326	435	70	84	144	232	112	119
2008	종로구	삼청동	여자	337	419	75	99	151	194	111	126
2008	종로구	부암동	계	2,380	2,656	542	656	1,189	1,316	649	684
2008	종로구	부암동	남자	1,151	1,354	267	340	570	660	314	354
2008	종로구	부암동	여자	1,229	1,302	275	316	619	656	335	330
2008	종로구	평창동	계	3,295	3,281	688	563	1,688	1,799	919	919
2008	종로구	평창동	남자	1,593	1,593	334	271	821	884	438	438
2008	종로구	평창동	여자	1,702	1,688	354	292	867	915	481	481
2008	종로구	무악동	계	3,673	1,271	294	193	2,672	767	707	311
2008	종로구	무악동	남자	1,779	573	143	81	1,275	343	361	149
2008	종로구	무악동	여자	1,894	698	151	112	1,397	424	346	162
2008	종로구	교남동	계	1,946	1,884	227	244	1,159	1,115	560	525
