기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2010	합계	합계	1,733,015	1,848,038	520,345	520,345	679,363	679,363	533,307	648,330
2010	종로구	소계	29,208	32,928	5,703	5,703	14,256	17,822	9,249	9,403
2010	종로구	사직동	2,041	2,261	433	445	1,017	1,209	591	607
2010	종로구	삼청동	535	718	119	158	255	361	161	199
2010	종로구	부암동	1,800	2,076	458	455	859	1,058	483	563
2010	종로구	평창동	3,030	3,129	493	457	1,694	1,838	843	834
2010	종로구	무악동	1,329	1,541	170	171	786	1,016	373	354
2010	종로구	교남동	1,535	1,656	230	168	825	977	480	511
2010	종로구	가회동	818	1,053	171	215	433	604	214	234
2010	종로구	종로1.2.3.4가동	1,815	1,876	229	212	889	1,014	697	650
2010	종로구	종로5·6가동	1,126	1,276	235	291	552	659	339	326
2010	종로구	이화동	1,800	2,071	334	385	781	1,072	685	614
2010	종로구	혜화동	2,613	2,873	442	358	1,133	1,613	1,038	902
2010	종로구	명륜3가동	1,414	1,683	222	268	467	770	725	645
2010	종로구	창신1동	1,150	1,345	335	377	477	613	338	355
2010	종로구	창신2동	1,366	1,600	383	370	591	755	392	475
2010	종로구	창신3동	1,206	1,349	271	280	641	729	294	340
2010	종로구	숭인1동	1,352	1,476	353	307	699	777	300	392
2010	종로구	숭인2동	1,840	2,046	275	206	994	1,257	571	583
2010	종로구	청운효자동	2,438	2,899	550	580	1,163	1,500	725	819
2010	중구	소계	23,524	24,766	4,296	4,296	12,336	13,273	6,892	7,197
2010	중구	소공동	427	354	16	15	262	227	149	112
2010	중구	회현동	1,460	1,007	47	84	980	603	433	320
2010	중구	명동	927	572	42	36	586	341	299	195
2010	중구	필동	908	1,011	172	162	448	509	288	340
2010	중구	장충동	1,179	1,386	212	293	425	603	542	490
2010	중구	광희동	1,439	1,183	280	253	770	559	389	371
2010	중구	을지로동	467	543	41	75	231	293	195	175
2010	중구	신당1동	1,453	1,732	385	453	602	770	466	509
2010	중구	신당2동	2,666	3,171	786	714	1,116	1,509	764	948
2010	중구	신당3동	2,863	3,254	504	500	1,557	1,811	802	943
2010	중구	신당4동	2,133	2,708	502	573	1,007	1,286	624	849
2010	중구	신당5동	1,296	1,475	374	402	615	780	307	293
2010	중구	신당6동	1,449	1,685	470	432	668	886	311	367
2010	중구	황학동	2,983	2,577	400	240	1,833	1,670	750	667
2010	중구	중림동	1,874	2,108	65	64	1,236	1,426	573	618
2010	용산구	소계	40,673	44,770	9,341	9,341	18,295	20,165	13,037	15,264
2010	용산구	후암동	3,107	3,495	817	744	1,318	1,504	972	1,247
2010	용산구	용산2가동	1,905	2,181	520	545	743	836	642	800
2010	용산구	남영동	1,731	1,838	405	422	719	826	607	590
2010	용산구	원효로2동	2,325	2,636	588	534	1,082	1,247	655	855
2010	용산구	효창동	2,570	2,061	800	579	1,199	919	571	563
2010	용산구	용문동	2,451	2,266	778	631	1,057	986	616	649
2010	용산구	이촌1동	3,760	4,679	677	837	1,949	2,274	1,134	1,568
2010	용산구	이촌2동	1,189	1,325	352	300	452	559	385	466
2010	용산구	이태원1동	1,532	1,670	437	519	585	644	510	507
2010	용산구	이태원2동	1,716	2,028	396	449	750	864	570	715
2010	용산구	서빙고동	1,511	1,687	423	372	627	749	461	566
2010	용산구	보광동	2,679	3,383	750	725	1,076	1,402	853	1,256
2010	용산구	청파동	4,327	4,945	521	706	1,992	2,456	1,814	1,783
2010	용산구	원효로1동	2,719	2,373	704	548	1,253	1,039	762	786
2010	용산구	한강로동	3,165	3,603	580	767	1,577	1,638	1,008	1,198
2010	용산구	한남동	3,986	4,600	593	663	1,916	2,222	1,477	1,715
2010	성동구	소계	46,630	52,843	11,055	11,055	21,479	24,862	14,096	16,926
2010	성동구	왕십리2동	2,678	3,341	783	920	1,223	1,471	672	950
2010	성동구	마장동	3,545	4,050	928	759	1,507	1,944	1,110	1,347
2010	성동구	사근동	2,402	2,558	383	552	662	964	1,357	1,042
2010	성동구	행당1동	2,943	3,413	939	1,004	1,121	1,396	883	1,013
2010	성동구	행당2동	4,449	3,769	1,411	767	2,037	1,856	1,001	1,146
2010	성동구	응봉동	2,641	3,035	845	818	1,107	1,258	689	959
2010	성동구	금호1가동	2,148	2,643	667	801	944	1,100	537	742
2010	성동구	금호4가동	2,423	2,767	583	628	1,186	1,338	654	801
2010	성동구	성수1가1동	2,543	2,992	695	686	1,091	1,192	757	1,114
2010	성동구	성수1가2동	3,241	3,706	690	694	1,448	1,746	1,103	1,266
2010	성동구	성수2가1동	2,825	3,202	567	510	1,354	1,502	904	1,190
2010	성동구	성수2가3동	2,098	2,352	381	423	1,077	1,193	640	736
2010	성동구	송정동	1,914	2,252	210	171	1,175	1,290	529	791
2010	성동구	용답동	2,310	2,766	237	206	1,273	1,668	800	892
2010	성동구	왕십리도선동	2,197	2,633	603	756	1,029	1,219	565	658
2010	성동구	금호2.3가동	3,018	3,490	784	855	1,323	1,621	911	1,014
2010	성동구	옥수동	3,255	3,874	349	505	1,922	2,104	984	1,265
2010	광진구	소계	63,624	69,973	18,517	18,517	24,714	26,928	20,393	24,528
2010	광진구	화양동	5,343	5,588	695	1,186	1,872	2,270	2,776	2,132
2010	광진구	군자동	3,938	4,373	872	929	1,707	1,931	1,359	1,513
2010	광진구	중곡1동	3,194	3,540	1,078	1,085	1,305	1,350	811	1,105
2010	광진구	중곡2동	3,983	4,566	1,461	1,640	1,514	1,611	1,008	1,315
2010	광진구	중곡3동	3,264	3,846	996	997	1,460	1,723	808	1,126
2010	광진구	중곡4동	5,261	5,535	1,998	1,616	2,004	2,103	1,259	1,816
2010	광진구	능동	2,422	2,523	641	747	961	939	820	837
2010	광진구	구의1동	4,468	4,864	1,423	1,351	1,520	1,637	1,525	1,876
2010	광진구	구의2동	4,053	4,353	1,535	1,314	1,359	1,493	1,159	1,546
2010	광진구	구의3동	5,102	5,382	1,650	1,242	1,896	2,109	1,556	2,031
2010	광진구	광장동	4,579	5,154	948	1,107	2,031	2,153	1,600	1,894
2010	광진구	자양1동	4,486	4,964	1,553	1,550	1,479	1,657	1,454	1,757
2010	광진구	자양2동	4,515	5,088	1,559	1,435	1,617	1,712	1,339	1,941
2010	광진구	자양3동	4,965	5,172	1,222	1,218	2,272	2,132	1,471	1,822
2010	광진구	자양4동	4,051	5,025	886	1,100	1,717	2,108	1,448	1,817
2010	동대문구	소계	57,780	61,558	15,897	15,897	24,186	25,651	17,697	20,010
2010	동대문구	회기동	2,475	2,814	631	719	751	1,052	1,093	1,043
2010	동대문구	휘경1동	3,184	3,693	943	1,022	1,056	1,415	1,185	1,256
2010	동대문구	휘경2동	3,923	4,220	1,087	1,006	1,326	1,665	1,510	1,549
2010	동대문구	청량리동	3,117	3,697	1,003	983	1,168	1,524	946	1,190
2010	동대문구	용신동	7,406	5,386	1,353	900	4,128	2,642	1,925	1,844
2010	동대문구	제기동	4,506	5,673	838	1,316	2,043	2,657	1,625	1,700
2010	동대문구	전농1동	3,654	4,522	1,284	1,571	1,257	1,563	1,113	1,388
2010	동대문구	전농2동	3,199	2,566	1,296	786	1,213	969	690	811
2010	동대문구	답십리1동	4,601	3,576	1,511	1,266	2,191	1,411	899	899
2010	동대문구	답십리2동	3,720	4,415	1,289	1,539	1,513	1,708	918	1,168
2010	동대문구	장안1동	5,147	5,741	1,317	1,355	2,353	2,461	1,477	1,925
2010	동대문구	장안2동	4,672	5,277	1,465	1,514	1,999	2,046	1,208	1,717
2010	동대문구	이문1동	5,365	6,398	1,348	1,383	1,826	2,687	2,191	2,328
2010	동대문구	이문2동	2,811	3,580	532	537	1,362	1,851	917	1,192
2010	중랑구	소계	69,532	75,310	27,296	27,296	24,441	22,713	17,795	25,301
2010	중랑구	면목2동	4,373	5,144	1,726	1,920	1,454	1,553	1,193	1,671
2010	중랑구	면목4동	3,972	4,582	1,059	1,132	1,818	1,905	1,095	1,545
2010	중랑구	면목5동	2,161	2,621	912	1,014	715	785	534	822
2010	중랑구	면목7동	4,308	4,843	1,552	1,697	1,622	1,667	1,134	1,479
2010	중랑구	상봉1동	3,441	3,841	1,579	1,518	960	982	902	1,341
2010	중랑구	상봉2동	3,427	4,159	1,454	1,605	997	1,158	976	1,396
2010	중랑구	중화1동	3,467	3,851	1,449	1,433	1,184	1,137	834	1,281
2010	중랑구	중화2동	4,538	5,576	1,634	1,926	1,557	1,693	1,347	1,957
2010	중랑구	묵1동	5,128	5,488	1,505	1,497	2,256	2,171	1,367	1,820
2010	중랑구	묵2동	3,330	3,801	1,139	1,334	1,347	1,261	844	1,206
2010	중랑구	망우3동	3,280	3,863	1,669	1,813	782	824	829	1,226
2010	중랑구	신내1동	8,466	4,510	3,525	1,568	3,704	1,197	1,237	1,745
2010	중랑구	신내2동	3,320	4,093	1,236	1,506	1,186	1,271	898	1,316
2010	중랑구	면목본동	6,093	7,176	2,577	2,836	1,936	2,079	1,580	2,261
