"행정구역","2014년01월_총인구수","2014년01월_세대수","2014년01월_세대당 인구","2014년02월_총인구수","2014년02월_세대수","2014년02월_세대당 인구","2014년03월_총인구수","2014년03월_세대수","2014년03월_세대당 인구","2014년04월_총인구수","2014년04월_세대수","2014년04월_세대당 인구","2014년05월_총인구수","2014년05월_세대수","2014년05월_세대당 인구","2014년06월_총인구수","2014년06월_세대수","2014년06월_세대당 인구","2014년07월_총인구수","2014년07월_세대수","2014년07월_세대당 인구","2014년08월_총인구수","2014년08월_세대수","2014년08월_세대당 인구","2014년09월_총인구수","2014년09월_세대수","2014년09월_세대당 인구","2014년10월_총인구수","2014년10월_세대수","2014년10월_세대당 인구","2014년11월_총인구수","2014년11월_세대수","2014년11월_세대당 인구","2014년12월_총인구수","2014년12월_세대수","2014년12월_세대당 인구","2015년01월_총인구수","2015년01월_세대수","2015년01월_세대당 인구","2015년02월_총인구수","2015년02월_세대수","2015년02월_세대당 인구","2015년03월_총인구수","2015년03월_세대수","2015년03월_세대당 인구","2015년04월_총인구수","2015년04월_세대수","2015년04월_세대당 인구","2015년05월_총인구수","2015년05월_세대수","2015년05월_세대당 인구","2015년06월_총인구수","2015년06월_세대수","2015년06월_세대당 인구","2015년07월_총인구수","2015년07월_세대수","2015년07월_세대당 인구","2015년08월_총인구수","2015년08월_세대수","2015년08월_세대당 인구","2015년09월_총인구수","2015년09월_세대수","2015년09월_세대당 인구","2015년10월_총인구수","2015년10월_세대수","2015년10월_세대당 인구","2015년11월_총인구수","2015년11월_세대수","2015년11월_세대당 인구","2015년12월_총인구수","2015년12월_세대수","2015년12월_세대당 인구","2016년01월_총인구수","2016년01월_세대수","2016년01월_세대당 인구","2016년02월_총인구수","2016년02월_세대수","2016년02월_세대당 인구","2016년03월_총인구수","2016년03월_세대수","2016년03월_세대당 인구","2016년04월_총인구수","2016년04월_세대수","2016년04월_세대당 인구","2016년05월_총인구수","2016년05월_세대수","2016년05월_세대당 인구","2016년06월_총인구수","2016년06월_세대수","2016년06월_세대당 인구","2016년07월_총인구수","2016년07월_세대수","2016년07월_세대당 인구","2016년08월_총인구수","2016년08월_세대수","2016년08월_세대당 인구","2016년09월_총인구수","2016년09월_세대수","2016년09월_세대당 인구","2016년10월_총인구수","2016년10월_세대수","2016년10월_세대당 인구","2016년11월_총인구수","2016년11월_세대수","2016년11월_세대당 인구","2016년12월_총인구수","2016년12월_세대수","2016년12월_세대당 인구"
"전국  (0000000000000)","51,156,168","20,466,884","      2.50","51,171,176","20,500,837","      2.50","51,185,882","20,527,351","      2.49","51,202,130","20,549,492","      2.49","51,218,424","20,567,959","      2.49","51,233,579","20,586,788","      2.49","51,250,261","20,606,866","      2.49","51,266,779","20,628,782","      2.49","51,284,774","20,655,145","      2.48","51,302,044","20,682,278","      2.48","51,314,683","20,702,623","      2.48","51,327,916","20,724,094","      2.48","51,342,881","20,740,958","      2.48","51,360,454","20,772,167","      2.47","51,378,174","20,801,104","      2.47","51,395,238","20,821,017","      2.47","51,413,925","20,844,274","      2.47","51,431,100","20,870,280","      2.46","51,448,183","20,892,349","      2.46","51,465,228","20,916,461","      2.46","51,482,816","20,940,559","      2.46","51,500,986","20,967,469","      2.46","51,515,399","20,988,782","      2.45","51,529,338","21,011,152","      2.45","51,541,582","21,026,847","      2.45","51,555,409","21,057,262","      2.45","51,569,536","21,084,550","      2.45","51,584,349","21,104,857","      2.44","51,601,265","21,130,317","      2.44","51,619,330","21,153,853","      2.44","51,634,618","21,173,397","      2.44","51,649,552","21,192,974","      2.44","51,664,244","21,214,428","      2.44","51,677,054","21,241,538","      2.43","51,687,682","21,267,187","      2.43","51,696,216","21,294,009","      2.43"
"서울특별시  (1100000000)","10,143,164","4,182,556","      2.43","10,144,173","4,188,621","      2.42","10,141,727","4,190,331","      2.42","10,137,313","4,189,778","      2.42","10,133,734","4,189,440","      2.42","10,129,223","4,189,495","      2.42","10,125,912","4,190,836","      2.42","10,124,243","4,193,111","      2.41","10,122,661","4,195,210","      2.41","10,117,909","4,195,960","      2.41","10,112,156","4,195,300","      2.41","10,103,233","4,194,176","      2.41","10,104,515","4,196,435","      2.41","10,105,206","4,201,451","      2.41","10,100,987","4,202,812","      2.40","10,094,889","4,200,803","      2.40","10,088,393","4,199,356","      2.40","10,078,850","4,197,478","      2.40","10,071,654","4,196,515","      2.40","10,063,197","4,196,071","      2.40","10,055,027","4,195,438","      2.40","10,045,027","4,194,103","      2.40","10,035,597","4,192,412","      2.39","10,022,181","4,189,948","      2.39","10,018,537","4,190,415","      2.39","10,014,261","4,193,517","      2.39","10,009,588","4,194,485","      2.39","10,002,979","4,193,887","      2.39","9,995,784","4,193,473","      2.38","9,989,795","4,193,712","      2.38","9,981,673","4,192,776","      2.38","9,971,111","4,191,784","      2.38","9,964,291","4,191,411","      2.38","9,954,791","4,191,313","      2.38","9,943,333","4,190,260","      2.37","9,930,616","4,189,839","      2.37"
"부산광역시  (2600000000)","3,526,648","1,405,145","      2.51","3,527,439","1,408,084","      2.51","3,525,512","1,409,289","      2.50","3,523,386","1,409,861","      2.50","3,521,473","1,410,558","      2.50","3,521,210","1,412,091","      2.49","3,520,288","1,413,009","      2.49","3,520,287","1,414,444","      2.49","3,520,732","1,416,330","      2.49","3,525,913","1,420,692","      2.48","3,522,643","1,421,185","      2.48","3,519,401","1,421,648","      2.48","3,517,898","1,422,500","      2.47","3,517,939","1,424,605","      2.47","3,515,839","1,425,630","      2.47","3,515,439","1,426,601","      2.46","3,515,806","1,428,115","      2.46","3,517,491","1,430,441","      2.46","3,518,955","1,432,723","      2.46","3,517,907","1,434,025","      2.45","3,516,704","1,434,668","      2.45","3,515,689","1,435,812","      2.45","3,514,842","1,436,851","      2.45","3,513,777","1,437,818","      2.44","3,513,361","1,438,704","      2.44","3,513,192","1,440,354","      2.44","3,512,444","1,442,013","      2.44","3,511,974","1,443,215","      2.43","3,510,833","1,444,666","      2.43","3,509,462","1,445,614","      2.43","3,508,095","1,446,165","      2.43","3,507,205","1,446,943","      2.42","3,505,821","1,447,601","      2.42","3,503,789","1,448,657","      2.42","3,501,671","1,449,892","      2.42","3,498,529","1,451,270","      2.41"
"대구광역시  (2700000000)","2,501,823","960,941","      2.60","2,500,778","962,186","      2.60","2,500,874","963,633","      2.60","2,499,880","964,238","      2.59","2,498,632","964,444","      2.59","2,498,450","965,153","      2.59","2,497,705","965,763","      2.59","2,496,596","966,249","      2.58","2,491,269","966,291","      2.58","2,492,994","968,167","      2.57","2,493,857","969,415","      2.57","2,493,264","970,618","      2.57","2,492,658","971,407","      2.57","2,492,583","973,010","      2.56","2,491,897","974,079","      2.56","2,491,545","975,002","      2.56","2,491,867","976,576","      2.55","2,491,137","977,714","      2.55","2,490,799","978,719","      2.54","2,490,621","979,556","      2.54","2,490,584","980,589","      2.54","2,489,847","981,517","      2.54","2,489,339","981,816","      2.54","2,487,829","982,360","      2.53","2,487,823","983,114","      2.53","2,486,589","984,228","      2.53","2,486,059","985,155","      2.52","2,485,663","985,801","      2.52","2,485,134","986,568","      2.52","2,484,864","987,531","      2.52","2,484,856","988,639","      2.51","2,485,537","989,966","      2.51","2,485,692","991,084","      2.51","2,485,484","992,240","      2.50","2,485,535","993,116","      2.50","2,484,557","994,220","      2.50"
"인천광역시  (2800000000)","2,882,047","1,119,942","      2.57","2,884,824","1,122,115","      2.57","2,886,580","1,123,401","      2.57","2,889,258","1,125,002","      2.57","2,891,615","1,126,619","      2.57","2,892,483","1,127,861","      2.56","2,894,151","1,129,205","      2.56","2,895,292","1,130,171","      2.56","2,897,018","1,131,694","      2.56","2,899,071","1,133,548","      2.56","2,900,996","1,135,047","      2.56","2,902,608","1,136,280","      2.55","2,904,876","1,137,515","      2.55","2,906,603","1,138,893","      2.55","2,908,418","1,140,542","      2.55","2,910,307","1,141,851","      2.55","2,912,114","1,143,404","      2.55","2,914,271","1,145,232","      2.54","2,916,719","1,146,895","      2.54","2,918,982","1,148,532","      2.54","2,920,938","1,149,918","      2.54","2,923,030","1,151,528","      2.54","2,924,578","1,152,662","      2.54","2,925,815","1,154,004","      2.54","2,927,195","1,154,780","      2.53","2,928,596","1,156,103","      2.53","2,929,817","1,157,568","      2.53","2,932,141","1,159,109","      2.53","2,933,959","1,161,005","      2.53","2,935,314","1,162,725","      2.52","2,937,217","1,164,597","      2.52","2,938,902","1,166,089","      2.52","2,940,436","1,167,574","      2.52","2,941,793","1,169,208","      2.52","2,942,613","1,170,416","      2.51","2,943,069","1,171,399","      2.51"
"광주광역시  (2900000000)","1,473,529","563,922","      2.61","1,473,327","564,920","      2.61","1,472,490","565,417","      2.60","1,471,850","566,030","      2.60","1,473,697","567,451","      2.60","1,474,546","568,269","      2.59","1,475,676","569,296","      2.59","1,476,459","570,145","      2.59","1,477,517","570,894","      2.59","1,477,780","572,059","      2.58","1,478,204","572,998","      2.58","1,475,884","573,043","      2.58","1,476,891","573,780","      2.57","1,477,340","574,766","      2.57","1,477,504","575,879","      2.57","1,477,609","576,988","      2.56","1,477,212","577,428","      2.56","1,476,974","577,941","      2.56","1,476,716","578,360","      2.55","1,476,152","579,012","      2.55","1,475,590","579,646","      2.55","1,474,603","579,861","      2.54","1,474,910","580,347","      2.54","1,472,199","580,427","      2.54","1,472,802","580,921","      2.54","1,472,153","581,429","      2.53","1,471,618","582,107","      2.53","1,471,819","582,731","      2.53","1,472,317","583,621","      2.52","1,472,285","584,218","      2.52","1,472,481","584,679","      2.52","1,472,432","585,038","      2.52","1,472,379","585,499","      2.51","1,471,911","585,972","      2.51","1,471,384","586,281","      2.51","1,469,214","586,464","      2.51"
"대전광역시  (3000000000)","1,533,497","585,415","      2.62","1,534,335","586,973","      2.61","1,534,954","587,986","      2.61","1,535,367","588,803","      2.61","1,535,415","589,333","      2.61","1,535,701","590,008","      2.60","1,536,349","590,759","      2.60","1,536,286","591,457","      2.60","1,535,815","591,975","      2.59","1,535,028","592,431","      2.59","1,534,041","592,500","      2.59","1,531,809","592,508","      2.59","1,531,287","593,049","      2.58","1,529,431","593,926","      2.58","1,528,090","594,388","      2.57","1,527,314","594,606","      2.57","1,526,568","594,811","      2.57","1,525,656","595,216","      2.56","1,525,195","595,692","      2.56","1,524,025","596,046","      2.56","1,523,338","596,471","      2.55","1,522,288","596,840","      2.55","1,521,142","596,962","      2.55","1,518,775","597,008","      2.54","1,518,024","597,529","      2.54","1,517,716","599,010","      2.53","1,517,118","599,751","      2.53","1,516,904","600,185","      2.53","1,516,494","600,754","      2.52","1,516,208","601,356","      2.52","1,516,291","602,065","      2.52","1,516,165","602,899","      2.51","1,516,241","603,565","      2.51","1,515,787","604,251","      2.51","1,515,394","605,178","      2.50","1,514,370","606,137","      2.50"
"울산광역시  (3100000000)","1,157,199","432,230","      2.68","1,157,627","433,156","      2.67","1,158,245","434,103","      2.67","1,159,234","434,999","      2.66","1,160,275","435,848","      2.66","1,161,019","436,822","      2.66","1,161,538","437,607","      2.65","1,162,316","438,527","      2.65","1,163,048","439,277","      2.65","1,163,690","440,161","      2.64","1,166,229","441,762","      2.64","1,166,377","442,250","      2.64","1,167,232","443,134","      2.63","1,167,385","443,806","      2.63","1,168,692","445,153","      2.63","1,169,433","446,056","      2.62","1,169,658","446,572","      2.62","1,169,768","447,229","      2.62","1,170,232","447,789","      2.61","1,170,640","448,384","      2.61","1,170,980","448,968","      2.61","1,173,050","450,705","      2.60","1,174,051","451,621","      2.60","1,173,534","451,688","      2.60","1,173,568","452,104","      2.60","1,173,143","452,603","      2.59","1,172,959","452,988","      2.59","1,172,925","453,256","      2.59","1,173,147","453,640","      2.59","1,173,143","453,982","      2.58","1,173,066","454,235","      2.58","1,173,005","454,409","      2.58","1,172,965","454,631","      2.58","1,173,178","454,982","      2.58","1,172,891","455,271","      2.58","1,172,304","455,352","      2.57"
"세종특별자치시  (3600000000)","123,802","50,676","      2.44","125,944","51,502","      2.45","126,857","51,915","      2.44","128,200","52,484","      2.44","129,669","53,101","      2.44","130,708","53,497","      2.44","132,016","53,955","      2.45","134,631","54,856","      2.45","138,136","56,169","      2.46","142,686","57,771","      2.47","148,151","59,807","      2.48","156,125","62,807","      2.49","161,716","64,643","      2.50","169,762","67,187","      2.53","174,920","68,987","      2.54","178,656","70,344","      2.54","182,028","71,570","      2.54","185,212","72,733","      2.55","189,478","74,191","      2.55","194,173","75,849","      2.56","197,964","77,316","      2.56","202,214","78,835","      2.57","206,044","80,222","      2.57","210,884","81,806","      2.58","215,418","83,357","      2.58","220,108","85,048","      2.59","223,461","86,302","      2.59","225,488","87,157","      2.59","227,972","88,256","      2.58","230,327","89,204","      2.58","232,117","89,848","      2.58","234,510","90,537","      2.59","236,134","91,093","      2.59","238,533","91,955","      2.59","240,560","93,096","      2.58","243,048","94,343","      2.58"
"경기도  (4100000000)","12,245,960","4,716,710","      2.60","12,256,617","4,725,455","      2.59","12,266,541","4,731,176","      2.59","12,276,751","4,737,047","      2.59","12,286,470","4,742,158","      2.59","12,300,698","4,748,611","      2.59","12,313,649","4,755,195","      2.59","12,324,470","4,761,863","      2.59","12,334,023","4,769,074","      2.59","12,342,448","4,776,263","      2.58","12,348,078","4,781,545","      2.58","12,357,830","4,786,718","      2.58","12,366,711","4,790,844","      2.58","12,376,944","4,799,046","      2.58","12,392,297","4,807,275","      2.58","12,405,279","4,813,561","      2.58","12,418,899","4,821,745","      2.58","12,432,063","4,829,521","      2.57","12,444,924","4,836,786","      2.57","12,460,604","4,846,467","      2.57","12,475,565","4,856,337","      2.57","12,491,080","4,866,246","      2.57","12,504,790","4,875,733","      2.56","12,522,606","4,885,012","      2.56","12,536,474","4,891,903","      2.56","12,551,398","4,901,579","      2.56","12,565,891","4,910,886","      2.56","12,578,597","4,918,017","      2.56","12,594,829","4,928,079","      2.56","12,610,877","4,937,454","      2.55","12,629,325","4,947,194","      2.55","12,649,894","4,957,788","      2.55","12,666,278","4,968,547","      2.55","12,683,730","4,980,827","      2.55","12,699,920","4,992,605","      2.54","12,716,780","5,003,406","      2.54"
